TIMESTAMP,SC_CLOSE_PRICE_USD,SC_OPEN_PRICE_USD,SC_HIGH_PRICE_USD,SC_LOW_PRICE_USD
2017-12-08,0.015873,0.0,0.015873,0.0
2017-12-09,0.014706,0.015873,0.016129,0.012987
2017-12-10,0.007813,0.014706,0.015625,0.0
2017-12-11,0.016667,0.0,0.017241,0.0
2017-12-12,0.016949,0.016667,0.017544,0.016129
2017-12-13,0.016129,0.016949,0.017241,0.015625
2017-12-14,0.016393,0.016129,0.016949,0.015873
2017-12-15,0.017544,0.016393,0.018182,0.016393
2017-12-16,0.019231,0.017544,0.019608,0.017241
2017-12-17,0.018868,0.019231,0.02,0.018519
2017-12-18,0.018868,0.018868,0.019231,0.017857
2017-12-19,0.017241,0.018868,0.018868,0.016667
2017-12-20,0.016393,0.017241,0.017857,0.015625
2017-12-21,0.015625,0.016393,0.033333,0.014925
2017-12-22,0.013158,0.015625,0.03125,0.010753
2017-12-23,0.028169,0.013158,0.029851,0.012987
2017-12-24,0.027027,0.028169,0.028169,0.023256
2017-12-25,0.027397,0.027027,0.041667,0.025316
2017-12-26,0.03125,0.027397,0.032258,0.027027
2017-12-27,0.030769,0.03125,0.032787,0.028986
2017-12-28,0.028571,0.030769,0.030769,0.026667
2017-12-29,0.028571,0.028571,0.030303,0.027778
2017-12-30,0.024691,0.028571,0.028571,0.023529
2017-12-31,0.027778,0.025316,0.028169,0.025
2018-01-01,0.026667,0.027397,0.027778,0.025641
2018-01-02,0.029412,0.026667,0.030769,0.025641
2018-01-03,0.030303,0.029412,0.030769,0.028986
2018-01-04,0.045455,0.030303,0.045455,0.028169
2018-01-05,0.050847,0.045455,0.051724,0.032787
2018-01-06,0.068966,0.050847,0.068966,0.04918
2018-01-07,0.061954,0.068966,0.068966,0.058156
2018-01-08,0.050943,0.062105,0.062137,0.042921
2018-01-09,0.04719,0.050649,0.055024,0.046051
2018-01-10,0.050149,0.047444,0.050585,0.042137
2018-01-11,0.052216,0.050328,0.052979,0.040369
2018-01-12,0.061501,0.052133,0.065967,0.048103
2018-01-13,0.062598,0.061819,0.067389,0.060508
2018-01-14,0.057267,0.062518,0.062535,0.050831
2018-01-15,0.051666,0.057174,0.059651,0.050726
2018-01-16,0.03442,0.051577,0.051577,0.028106
2018-01-17,0.04403,0.034401,0.047447,0.0305
2018-01-18,0.046016,0.044636,0.052547,0.042256
2018-01-19,0.044907,0.046125,0.049109,0.043079
2018-01-20,0.048186,0.044818,0.049509,0.043353
2018-01-21,0.04109,0.048116,0.050554,0.038953
2018-01-22,0.037069,0.041527,0.042269,0.033743
2018-01-23,0.037645,0.037167,0.041189,0.033894
2018-01-24,0.040055,0.03762,0.04131,0.035963
2018-01-25,0.041021,0.039895,0.041397,0.037398
2018-01-26,0.039396,0.040924,0.042153,0.035519
2018-01-27,0.041543,0.0393,0.042262,0.037955
2018-01-28,0.046251,0.0416,0.04765,0.041423
2018-01-29,0.041067,0.046127,0.046153,0.039949
2018-01-30,0.034016,0.041026,0.04169,0.033116
2018-01-31,0.034651,0.034001,0.035908,0.032307
2018-02-01,0.028447,0.034647,0.03508,0.026735
2018-02-02,0.02738,0.028487,0.02851,0.019138
2018-02-03,0.029062,0.027355,0.030875,0.023102
2018-02-04,0.023425,0.028997,0.029789,0.02212
2018-02-05,0.018255,0.023405,0.023972,0.016749
2018-02-06,0.022285,0.018328,0.022644,0.01479
2018-02-07,0.020083,0.022198,0.024044,0.019548
2018-02-08,0.022259,0.020146,0.023019,0.020146
2018-02-09,0.024702,0.02219,0.025219,0.020471
2018-02-10,0.02405,0.02472,0.027602,0.022542
2018-02-11,0.02213,0.024062,0.024062,0.021075
2018-02-12,0.023672,0.022155,0.024647,0.022155
2018-02-13,0.022847,0.023725,0.023909,0.022155
2018-02-14,0.026097,0.022863,0.026191,0.022838
2018-02-15,0.026321,0.026084,0.027583,0.025358
2018-02-16,0.026388,0.026224,0.027034,0.025342
2018-02-17,0.030194,0.026423,0.030194,0.026067
2018-02-18,0.027112,0.030003,0.030357,0.02674
2018-02-19,0.028153,0.027158,0.028805,0.026817
2018-02-20,0.02327,0.02815,0.028831,0.022986
2018-02-21,0.023411,0.023415,0.02631,0.022076
2018-02-22,0.02067,0.023563,0.024607,0.020433
2018-02-23,0.021774,0.020678,0.022678,0.019948
2018-02-24,0.020077,0.021759,0.022351,0.019333
2018-02-25,0.020302,0.020056,0.020688,0.019369
2018-02-26,0.021302,0.020315,0.021998,0.020217
2018-02-27,0.020515,0.021302,0.021524,0.019985
2018-02-28,0.018564,0.020515,0.021252,0.018154
2018-03-01,0.020378,0.018564,0.020895,0.018138
2018-03-02,0.019899,0.020378,0.020755,0.01934
2018-03-03,0.019382,0.019899,0.020256,0.018763
2018-03-04,0.019965,0.019332,0.020346,0.018294
2018-03-05,0.020276,0.019965,0.020783,0.019402
2018-03-06,0.017639,0.020276,0.020276,0.017431
2018-03-07,0.015267,0.017639,0.018064,0.014011
2018-03-08,0.013809,0.015267,0.015767,0.013793
2018-03-09,0.013323,0.013809,0.014067,0.011566
2018-03-10,0.012652,0.013318,0.013984,0.012609
2018-03-11,0.013647,0.012665,0.014035,0.012324
2018-03-12,0.014227,0.013647,0.015298,0.013336
2018-03-13,0.013383,0.014227,0.014448,0.013181
2018-03-14,0.011663,0.013383,0.013896,0.01137
2018-03-15,0.011515,0.011663,0.011756,0.01041
2018-03-16,0.011153,0.011515,0.011812,0.010947
2018-03-17,0.009405,0.011097,0.011179,0.009013
2018-03-18,0.010629,0.009384,0.011044,0.008402
2018-03-19,0.011567,0.010629,0.011839,0.010437
2018-03-20,0.013477,0.011567,0.013831,0.011033
2018-03-21,0.013216,0.013477,0.014296,0.01292
2018-03-22,0.013206,0.013216,0.013856,0.012252
2018-03-23,0.012953,0.013206,0.013206,0.011978
2018-03-24,0.013653,0.012966,0.014275,0.012637
2018-03-25,0.015244,0.013683,0.015861,0.013035
2018-03-26,0.013609,0.015244,0.015337,0.012629
2018-03-27,0.013272,0.013609,0.014116,0.012525
2018-03-28,0.013222,0.013272,0.013899,0.012904
2018-03-29,0.011028,0.013222,0.013242,0.010651
2018-03-30,0.010603,0.011028,0.011432,0.010065
2018-03-31,0.01063,0.010603,0.01119,0.010559
2018-04-01,0.010249,0.01063,0.010876,0.009427
2018-04-02,0.010579,0.010249,0.01084,0.010072
2018-04-03,0.012033,0.010579,0.012276,0.01047
2018-04-04,0.010485,0.012033,0.012112,0.010436
2018-04-05,0.011056,0.010485,0.011786,0.00999
2018-04-06,0.010682,0.011056,0.011358,0.010368
2018-04-07,0.011123,0.010678,0.011382,0.010659
2018-04-08,0.011329,0.011132,0.011486,0.011117
2018-04-09,0.010784,0.011329,0.011601,0.010614
2018-04-10,0.011594,0.010784,0.011747,0.010719
2018-04-11,0.012426,0.011594,0.012642,0.011389
2018-04-12,0.013727,0.012426,0.013775,0.011934
2018-04-13,0.014773,0.013727,0.015563,0.013382
2018-04-14,0.01637,0.014777,0.017933,0.01451
2018-04-15,0.018511,0.016367,0.018739,0.016367
2018-04-16,0.017441,0.018511,0.018703,0.016337
2018-04-17,0.017792,0.017441,0.019262,0.01697
2018-04-18,0.019396,0.017792,0.019774,0.01765
2018-04-19,0.019652,0.019396,0.019764,0.0187
2018-04-20,0.019471,0.019652,0.019915,0.018663
2018-04-21,0.019032,0.019466,0.020731,0.018027
2018-04-22,0.018875,0.019044,0.0198,0.018536
2018-04-23,0.021142,0.018875,0.021221,0.018681
2018-04-24,0.021666,0.021142,0.022478,0.020629
2018-04-25,0.019482,0.021666,0.021981,0.018483
2018-04-26,0.02691,0.019482,0.026913,0.018746
2018-04-27,0.028217,0.02691,0.030527,0.026651
2018-04-28,0.029373,0.028187,0.029926,0.027667
2018-04-29,0.02843,0.029373,0.030746,0.02758
2018-04-30,0.026462,0.02843,0.028551,0.026333
2018-05-01,0.026065,0.026462,0.026682,0.024736
2018-05-02,0.027752,0.026065,0.027783,0.025893
2018-05-03,0.027979,0.027752,0.029102,0.027227
2018-05-04,0.027764,0.027979,0.028522,0.026874
2018-05-05,0.027343,0.027751,0.028211,0.02694
