TIMESTAMP,CHAINCADE_OPEN_PRICE_USD,CHAINCADE_HIGH_PRICE_USD,CHAINCADE_LOW_PRICE_USD,CHAINCADE_CLOSE_PRICE_USD,CHAINCADE_VOLUME_USD,CHAINCADE_DIVIDENDS_USD,CHAINCADE_STOCK_SPLITS_USD
2021-07-13 00:00:00+00:00,,,,0.0,642442,0.0,0.0
2021-07-14 00:00:00+00:00,,,,0.0,622218,0.0,0.0
2021-07-15 00:00:00+00:00,,,,0.0,289388,0.0,0.0
2021-07-16 00:00:00+00:00,,,,0.0,203450,0.0,0.0
2021-07-17 00:00:00+00:00,,,,0.0,189203,0.0,0.0
2021-07-18 00:00:00+00:00,,,,0.0,219358,0.0,0.0
2021-07-19 00:00:00+00:00,,,,0.0,125738,0.0,0.0
2021-07-20 00:00:00+00:00,,,,0.0,55582,0.0,0.0
2021-07-21 00:00:00+00:00,,,,0.0,30955,0.0,0.0
2021-07-22 00:00:00+00:00,,,,0.0,68535,0.0,0.0
2021-07-23 00:00:00+00:00,,,,0.0,93370,0.0,0.0
2021-07-24 00:00:00+00:00,,,,0.0,59605,0.0,0.0
2021-07-25 00:00:00+00:00,,,,0.0,31147,0.0,0.0
2021-07-26 00:00:00+00:00,,,,0.0,27160,0.0,0.0
2021-07-27 00:00:00+00:00,,,,0.0,149732,0.0,0.0
2021-07-28 00:00:00+00:00,,,,0.0,436211,0.0,0.0
2021-07-29 00:00:00+00:00,,,,0.0,437355,0.0,0.0
2021-07-30 00:00:00+00:00,,,,0.0,172582,0.0,0.0
2021-07-31 00:00:00+00:00,,,,0.0,485877,0.0,0.0
2021-08-01 00:00:00+00:00,,,,0.0,752796,0.0,0.0
2021-08-02 00:00:00+00:00,,,,0.0,729531,0.0,0.0
2021-08-03 00:00:00+00:00,,,,0.0,589540,0.0,0.0
2021-08-04 00:00:00+00:00,,,,0.0,312763,0.0,0.0
2021-08-05 00:00:00+00:00,,,,0.0,207269,0.0,0.0
2021-08-06 00:00:00+00:00,,,,0.0,226419,0.0,0.0
2021-08-07 00:00:00+00:00,,,,0.0,206415,0.0,0.0
2021-08-08 00:00:00+00:00,,,,0.0,80346,0.0,0.0
2021-08-09 00:00:00+00:00,,,,0.0,60074,0.0,0.0
2021-08-10 00:00:00+00:00,,,,0.0,69437,0.0,0.0
2021-08-11 00:00:00+00:00,,,,0.0,84946,0.0,0.0
2021-08-12 00:00:00+00:00,,,,0.0,71875,0.0,0.0
2021-08-13 00:00:00+00:00,,,,0.0,94790,0.0,0.0
2021-08-14 00:00:00+00:00,,,,0.0,141847,0.0,0.0
2021-08-15 00:00:00+00:00,,,,0.0,160826,0.0,0.0
2021-08-16 00:00:00+00:00,,,,0.0,162123,0.0,0.0
2021-08-17 00:00:00+00:00,,,,0.0,115065,0.0,0.0
2021-08-18 00:00:00+00:00,,,,0.0,87969,0.0,0.0
2021-08-19 00:00:00+00:00,,,,0.0,137488,0.0,0.0
2021-08-20 00:00:00+00:00,,,,0.0,113196,0.0,0.0
2021-08-21 00:00:00+00:00,,,,0.0,75720,0.0,0.0
2021-08-22 00:00:00+00:00,,,,0.0,111575,0.0,0.0
2021-08-23 00:00:00+00:00,,,,0.0,128307,0.0,0.0
2021-08-24 00:00:00+00:00,,,,0.0,96856,0.0,0.0
2021-08-25 00:00:00+00:00,,,,0.0,107465,0.0,0.0
2021-08-26 00:00:00+00:00,,,,0.0,167113,0.0,0.0
2021-08-27 00:00:00+00:00,,,,0.0,134602,0.0,0.0
2021-08-28 00:00:00+00:00,,,,0.0,54801,0.0,0.0
2021-08-29 00:00:00+00:00,,,,0.0,73937,0.0,0.0
2021-08-30 00:00:00+00:00,,,,0.0,60272,0.0,0.0
2021-08-31 00:00:00+00:00,,,,0.0,52177,0.0,0.0
2021-09-01 00:00:00+00:00,,,,0.0,61010,0.0,0.0
2021-09-02 00:00:00+00:00,,,,0.0,42247,0.0,0.0
2021-09-03 00:00:00+00:00,,,,0.0,49340,0.0,0.0
2021-09-04 00:00:00+00:00,,,,0.0,54783,0.0,0.0
2021-09-05 00:00:00+00:00,,,,0.0,34139,0.0,0.0
2021-09-06 00:00:00+00:00,,,,0.0,26328,0.0,0.0
2021-09-07 00:00:00+00:00,,,,0.0,32506,0.0,0.0
2021-09-08 00:00:00+00:00,,,,0.0,35036,0.0,0.0
2021-09-09 00:00:00+00:00,,,,0.0,29690,0.0,0.0
2021-09-10 00:00:00+00:00,,,,0.0,20379,0.0,0.0
2021-09-11 00:00:00+00:00,,,,0.0,11240,0.0,0.0
2021-09-12 00:00:00+00:00,,,,0.0,10575,0.0,0.0
2021-09-13 00:00:00+00:00,,,,0.0,27381,0.0,0.0
2021-09-14 00:00:00+00:00,,,,0.0,96588,0.0,0.0
2021-09-15 00:00:00+00:00,,,,0.0,80996,0.0,0.0
