,nMSE,nRMSE,nMAE,nMAPE,MSE,RMSE,MAE,MAPE,R2
0,0.0175370194193212,0.1324274118878761,0.1127754713610711,0.9714860546214558,61040.63635464801,247.0640329037151,210.40026956938647,0.8570387762871913,0.8726921072888942
1,0.0055351082813554,0.0743983083232102,0.0623372146857285,0.2592264750448508,19265.903226745195,138.80166867421008,116.29981541000284,0.767421171024219,0.8313735669320143
2,0.0162284155305313,0.1273907984531509,0.1044155876496432,0.7689642676056816,56485.81202783156,237.66743998249223,194.80359305913493,1.413539425212084,0.7766676037016537
3,0.0352708219745743,0.187805276748483,0.1566050398372112,1.5975457075133803,122766.20943340562,350.38009280409415,292.1711803663004,0.9924269439286352,0.6971318858160187
4,0.025426492980763,0.1594568687161611,0.140071177364434,0.9336512909621236,88501.30942666167,297.4916963995158,261.3246549309186,1.9215463179892556,0.8920667624339057
5,0.0213741641827194,0.1461990567094036,0.1237083268331036,0.4855400570960125,74396.4803675946,272.75718206418435,230.79720868267677,0.6467985679493233,0.9090558912080364
6,0.0077821427103636,0.0882164537394449,0.0642250247199197,0.177115999466065,78978.2742591479,281.03073543501944,204.60135314170964,1.1671690022745935,0.7999237908608359
7,0.0025714578491779,0.0507095439653913,0.0402716479945585,0.0868074873403977,33660.408392261714,183.46773120159773,145.70330052738095,9.676796816635935,0.8125189227121666
8,0.0040906419077458,0.0639581262057121,0.0530308117621765,0.165154751305187,53546.540377400095,231.401254053214,191.86610417831025,0.8074810024684863,0.8247521725122909
9,0.0042764432995676,0.0653945204093401,0.053066956133096,0.1149900518767759,55978.68321234063,236.5981471025093,191.99687505079535,1.2045591977854395,0.7557314128787201
10,0.0010142941806255,0.0318479855034119,0.0246549155869061,0.0523674969535132,13277.120170540002,115.22638660714829,89.20177301122199,0.4532455636514689,0.9239654331929624
11,0.0010213340028672,0.0319583166463318,0.0255388378819263,0.0552003278548446,13369.272172317096,115.6255688518638,92.39981778113015,0.6649408581218628,0.7770163006503853
Mean,0.011844028026634352,0.09664688894232641,0.08005841765081456,0.4723374973033574,55938.88745174117,225.62599467329701,185.13049547574732,1.714413636944041,0.8227413208489905
