TIMESTAMP,MOLLY32119_OPEN_PRICE_USD,MOLLY32119_HIGH_PRICE_USD,MOLLY32119_LOW_PRICE_USD,MOLLY32119_CLOSE_PRICE_USD,MOLLY32119_VOLUME_USD,MOLLY32119_DIVIDENDS_USD,MOLLY32119_STOCK_SPLITS_USD
2024-07-04 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,731254,0.0,0.0
2024-07-05 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,328048,0.0,0.0
2024-07-06 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,9.999999974752427e-07,1.9999999949504854e-06,589787,0.0,0.0
2024-07-07 00:00:00+00:00,1.9999999949504854e-06,3.999999989900971e-06,9.999999974752427e-07,3.000000106112566e-06,809264,0.0,0.0
2024-07-08 00:00:00+00:00,3.000000106112566e-06,4.999999873689376e-06,1.9999999949504854e-06,3.000000106112566e-06,1003918,0.0,0.0
2024-07-09 00:00:00+00:00,3.000000106112566e-06,9.999999747378752e-06,1.9999999949504854e-06,7.999999979801942e-06,2398342,0.0,0.0
2024-07-10 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,6.000000212225132e-06,7.999999979801942e-06,1596558,0.0,0.0
2024-07-11 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,3.999999989900971e-06,3.999999989900971e-06,847785,0.0,0.0
2024-07-12 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,9.999999974752427e-07,3.000000106112566e-06,1452473,0.0,0.0
2024-07-13 00:00:00+00:00,3.000000106112566e-06,1.4999999621068127e-05,1.9999999949504854e-06,1.2000000424450263e-05,4564060,0.0,0.0
2024-07-14 00:00:00+00:00,1.2000000424450263e-05,1.5999999959603883e-05,9.000000318337698e-06,1.1000000085914508e-05,2773212,0.0,0.0
2024-07-15 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,7.000000096013537e-06,9.000000318337698e-06,1148136,0.0,0.0
2024-07-16 00:00:00+00:00,9.000000318337698e-06,1.2000000424450263e-05,7.000000096013537e-06,9.000000318337698e-06,699528,0.0,0.0
