TIMESTAMP,MANUSAI_OPEN_PRICE_USD,MANUSAI_HIGH_PRICE_USD,MANUSAI_LOW_PRICE_USD,MANUSAI_CLOSE_PRICE_USD,MANUSAI_VOLUME_USD,MANUSAI_DIVIDENDS_USD,MANUSAI_STOCK_SPLITS_USD
2025-04-03 00:00:00+00:00,,,,0.0,136,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,287,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,793,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,126,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,494,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,312,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,171,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,218,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,187,0.0,0.0
2025-06-01 00:00:00+00:00,2.191799937075259e-13,2.191799937075259e-13,2.1917949226402111e-13,2.1917949226402111e-13,95,0.0,0.0
