TIMESTAMP,KANGO_OPEN_PRICE_USD,KANGO_HIGH_PRICE_USD,KANGO_LOW_PRICE_USD,KANGO_CLOSE_PRICE_USD,KANGO_VOLUME_USD,KANGO_DIVIDENDS_USD,KANGO_STOCK_SPLITS_USD
2024-12-17 00:00:00+00:00,0.00010299999848939478,0.00011500000255182385,8.600000001024455e-05,0.00010199999815085903,2529201,0.0,0.0
2024-12-18 00:00:00+00:00,0.00010199999815085903,0.00012799999967683107,9.40000027185306e-05,0.0001140000022132881,2882532,0.0,0.0
2024-12-19 00:00:00+00:00,0.0001140000022132881,0.00011500000255182385,8.800000068731606e-05,9.40000027185306e-05,2295717,0.0,0.0
2024-12-20 00:00:00+00:00,9.40000027185306e-05,0.00010199999815085903,7.899999764049426e-05,0.00010199999815085903,2087941,0.0,0.0
2024-12-21 00:00:00+00:00,0.00010199999815085903,0.00011200000153621659,9.999999747378752e-05,0.00010299999848939478,1970630,0.0,0.0
2024-12-22 00:00:00+00:00,0.00010299999848939478,0.00010599999950500205,9.500000305706635e-05,0.00010399999882793054,1868676,0.0,0.0
2024-12-23 00:00:00+00:00,0.00010399999882793054,0.0001049999991664663,9.7999996796716e-05,0.00010099999781232327,2024709,0.0,0.0
2024-12-24 00:00:00+00:00,0.00010099999781232327,0.00010299999848939478,9.699999645818025e-05,9.999999747378752e-05,2383093,0.0,0.0
2024-12-25 00:00:00+00:00,9.999999747378752e-05,0.00010199999815085903,9.7999996796716e-05,0.00010099999781232327,2459868,0.0,0.0
2024-12-26 00:00:00+00:00,0.00010099999781232327,0.00010099999781232327,8.499999967170879e-05,8.600000001024455e-05,2238657,0.0,0.0
2024-12-27 00:00:00+00:00,8.600000001024455e-05,9.100000170292333e-05,7.100000220816582e-05,7.999999797903001e-05,2237864,0.0,0.0
2024-12-28 00:00:00+00:00,7.999999797903001e-05,8.099999831756577e-05,6.399999983841553e-05,7.200000254670158e-05,2254570,0.0,0.0
2024-12-29 00:00:00+00:00,7.200000254670158e-05,7.300000288523734e-05,6.299999949987978e-05,6.900000153109431e-05,1885281,0.0,0.0
2024-12-30 00:00:00+00:00,6.900000153109431e-05,8.399999933317304e-05,4.8000001697801054e-05,7.699999696342275e-05,2351306,0.0,0.0
2024-12-31 00:00:00+00:00,7.699999696342275e-05,8.099999831756577e-05,6.399999983841553e-05,6.500000017695129e-05,1585038,0.0,0.0
