TIMESTAMP,XCASH_OPEN_PRICE_USD,XCASH_HIGH_PRICE_USD,XCASH_LOW_PRICE_USD,XCASH_CLOSE_PRICE_USD,XCASH_VOLUME_USD,XCASH_DIVIDENDS_USD,XCASH_STOCK_SPLITS_USD
2018-09-24 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.499999936844688e-05,2.499999936844688e-05,4979,0.0,0.0
2018-09-25 00:00:00+00:00,2.499999936844688e-05,3.400000059627928e-05,2.4000000848900527e-05,3.199999991920777e-05,11446,0.0,0.0
2018-09-26 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,2.5999999706982635e-05,2.5999999706982635e-05,4706,0.0,0.0
2018-09-27 00:00:00+00:00,2.5999999706982635e-05,5.900000178371556e-05,2.499999936844688e-05,4.70000013592653e-05,13536,0.0,0.0
2018-09-28 00:00:00+00:00,4.600000102072954e-05,4.8000001697801054e-05,3.300000025774352e-05,4.8000001697801054e-05,13999,0.0,0.0
2018-09-29 00:00:00+00:00,4.8999998398358e-05,5.2999999752501026e-05,3.9999998989515007e-05,4.3000000005122274e-05,5642,0.0,0.0
2018-09-30 00:00:00+00:00,4.199999966658652e-05,4.8999998398358e-05,3.199999991920777e-05,3.600000127335079e-05,13779,0.0,0.0
2018-10-01 00:00:00+00:00,3.600000127335079e-05,3.9999998989515007e-05,3.199999991920777e-05,3.600000127335079e-05,3207,0.0,0.0
2018-10-02 00:00:00+00:00,3.600000127335079e-05,4.5000000682193786e-05,3.199999991920777e-05,4.400000034365803e-05,4641,0.0,0.0
2018-10-03 00:00:00+00:00,4.400000034365803e-05,5.700000110664405e-05,3.400000059627928e-05,4.600000102072954e-05,4847,0.0,0.0
2018-10-04 00:00:00+00:00,4.600000102072954e-05,5.0999999075429514e-05,2.9999999242136255e-05,3.199999991920777e-05,6661,0.0,0.0
2018-10-05 00:00:00+00:00,3.199999991920777e-05,3.7000001611886546e-05,2.8000000384054147e-05,3.600000127335079e-05,6040,0.0,0.0
2018-10-06 00:00:00+00:00,3.5000000934815034e-05,4.199999966658652e-05,3.199999991920777e-05,3.899999865097925e-05,6328,0.0,0.0
2018-10-07 00:00:00+00:00,3.9999998989515007e-05,3.9999998989515007e-05,3.400000059627928e-05,3.600000127335079e-05,2634,0.0,0.0
2018-10-08 00:00:00+00:00,3.600000127335079e-05,3.7999998312443495e-05,3.400000059627928e-05,3.600000127335079e-05,3747,0.0,0.0
2018-10-09 00:00:00+00:00,3.600000127335079e-05,3.7000001611886546e-05,2.9999999242136255e-05,3.400000059627928e-05,3683,0.0,0.0
2018-10-10 00:00:00+00:00,3.400000059627928e-05,3.9999998989515007e-05,3.300000025774352e-05,3.899999865097925e-05,7978,0.0,0.0
2018-10-11 00:00:00+00:00,3.9999998989515007e-05,4.099999932805076e-05,3.5000000934815034e-05,3.5000000934815034e-05,12591,0.0,0.0
2018-10-12 00:00:00+00:00,3.600000127335079e-05,3.7000001611886546e-05,3.199999991920777e-05,3.199999991920777e-05,9334,0.0,0.0
2018-10-13 00:00:00+00:00,3.199999991920777e-05,3.400000059627928e-05,2.8000000384054147e-05,2.9000000722589903e-05,3905,0.0,0.0
2018-10-14 00:00:00+00:00,2.9000000722589903e-05,3.099999958067201e-05,2.700000004551839e-05,2.9999999242136255e-05,2694,0.0,0.0
2018-10-15 00:00:00+00:00,2.9999999242136255e-05,3.7999998312443495e-05,2.9999999242136255e-05,3.5000000934815034e-05,1825,0.0,0.0
2018-10-16 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,2.9000000722589903e-05,3.300000025774352e-05,920,0.0,0.0
