TIMESTAMP,APX28353_OPEN_PRICE_USD,APX28353_HIGH_PRICE_USD,APX28353_LOW_PRICE_USD,APX28353_CLOSE_PRICE_USD,APX28353_VOLUME_USD,APX28353_DIVIDENDS_USD,APX28353_STOCK_SPLITS_USD
2023-11-03 00:00:00+00:00,2.700000004551839e-05,3.199999991920777e-05,2.499999936844688e-05,2.9999999242136255e-05,403476,0.0,0.0
2023-11-04 00:00:00+00:00,2.9999999242136255e-05,3.9999998989515007e-05,2.9000000722589903e-05,2.9000000722589903e-05,398191,0.0,0.0
2023-11-05 00:00:00+00:00,2.9000000722589903e-05,3.099999958067201e-05,2.300000051036477e-05,2.8000000384054147e-05,354356,0.0,0.0
2023-11-06 00:00:00+00:00,2.8000000384054147e-05,4.099999932805076e-05,2.700000004551839e-05,3.5000000934815034e-05,555965,0.0,0.0
2023-11-07 00:00:00+00:00,3.5000000934815034e-05,4.70000013592653e-05,3.400000059627928e-05,3.7999998312443495e-05,979796,0.0,0.0
2023-11-08 00:00:00+00:00,3.7999998312443495e-05,4.3000000005122274e-05,3.7999998312443495e-05,3.899999865097925e-05,663285,0.0,0.0
2023-11-09 00:00:00+00:00,3.899999865097925e-05,5.0999999075429514e-05,2.8000000384054147e-05,4.999999873689376e-05,1687233,0.0,0.0
2023-11-10 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.3000000005122274e-05,4.5000000682193786e-05,1120479,0.0,0.0
2023-11-11 00:00:00+00:00,4.5000000682193786e-05,4.600000102072954e-05,3.400000059627928e-05,3.600000127335079e-05,732900,0.0,0.0
2023-11-12 00:00:00+00:00,3.600000127335079e-05,5.199999941396527e-05,3.600000127335079e-05,4.3000000005122274e-05,756390,0.0,0.0
2023-11-13 00:00:00+00:00,4.3000000005122274e-05,7.699999696342275e-05,4.3000000005122274e-05,6.399999983841553e-05,1506133,0.0,0.0
2023-11-14 00:00:00+00:00,6.399999983841553e-05,7.599999662488699e-05,4.999999873689376e-05,5.2999999752501026e-05,1319692,0.0,0.0
2023-11-15 00:00:00+00:00,5.2999999752501026e-05,7.599999662488699e-05,4.70000013592653e-05,7.100000220816582e-05,1390985,0.0,0.0
2023-11-16 00:00:00+00:00,7.100000220816582e-05,7.400000322377309e-05,5.6000000768108293e-05,6.0999998822808266e-05,999088,0.0,0.0
2023-11-17 00:00:00+00:00,6.0999998822808266e-05,6.70000008540228e-05,4.600000102072954e-05,5.6000000768108293e-05,910132,0.0,0.0
2023-11-18 00:00:00+00:00,5.6000000768108293e-05,6.299999949987978e-05,4.400000034365803e-05,4.400000034365803e-05,531920,0.0,0.0
2023-11-19 00:00:00+00:00,4.400000034365803e-05,5.700000110664405e-05,4.400000034365803e-05,4.8999998398358e-05,522423,0.0,0.0
2023-11-20 00:00:00+00:00,4.8999998398358e-05,5.6000000768108293e-05,3.600000127335079e-05,3.9999998989515007e-05,984134,0.0,0.0
2023-11-21 00:00:00+00:00,3.9999998989515007e-05,4.8999998398358e-05,3.7000001611886546e-05,3.7000001611886546e-05,1007704,0.0,0.0
2023-11-22 00:00:00+00:00,3.7000001611886546e-05,4.3000000005122274e-05,3.199999991920777e-05,4.099999932805076e-05,1066145,0.0,0.0
2023-11-23 00:00:00+00:00,4.099999932805076e-05,4.099999932805076e-05,2.700000004551839e-05,3.5000000934815034e-05,744305,0.0,0.0
2023-11-24 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.199999991920777e-05,3.199999991920777e-05,770159,0.0,0.0
2023-11-25 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,2.8000000384054147e-05,2.9000000722589903e-05,405299,0.0,0.0
2023-11-26 00:00:00+00:00,2.9000000722589903e-05,4.099999932805076e-05,2.8000000384054147e-05,4.099999932805076e-05,636953,0.0,0.0
2023-11-27 00:00:00+00:00,4.099999932805076e-05,4.5000000682193786e-05,3.400000059627928e-05,3.600000127335079e-05,653634,0.0,0.0
2023-11-28 00:00:00+00:00,3.600000127335079e-05,3.7000001611886546e-05,2.9999999242136255e-05,3.099999958067201e-05,821144,0.0,0.0
2023-11-29 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.499999936844688e-05,2.5999999706982635e-05,631782,0.0,0.0
2023-11-30 00:00:00+00:00,2.5999999706982635e-05,2.9999999242136255e-05,2.300000051036477e-05,2.5999999706982635e-05,563812,0.0,0.0
2023-12-01 00:00:00+00:00,2.5999999706982635e-05,2.8000000384054147e-05,2.499999936844688e-05,2.700000004551839e-05,730474,0.0,0.0
2023-12-02 00:00:00+00:00,2.700000004551839e-05,2.9999999242136255e-05,2.499999936844688e-05,2.5999999706982635e-05,510267,0.0,0.0
2023-12-03 00:00:00+00:00,2.5999999706982635e-05,4.5000000682193786e-05,2.300000051036477e-05,3.7999998312443495e-05,1056194,0.0,0.0
2023-12-04 00:00:00+00:00,3.7999998312443495e-05,4.099999932805076e-05,2.700000004551839e-05,2.700000004551839e-05,1084327,0.0,0.0
2023-12-05 00:00:00+00:00,2.700000004551839e-05,3.099999958067201e-05,2.4000000848900527e-05,2.8000000384054147e-05,1283011,0.0,0.0
