TIMESTAMP,SNPAD_OPEN_PRICE_USD,SNPAD_HIGH_PRICE_USD,SNPAD_LOW_PRICE_USD,SNPAD_CLOSE_PRICE_USD,SNPAD_VOLUME_USD,SNPAD_DIVIDENDS_USD,SNPAD_STOCK_SPLITS_USD
2024-06-04 00:00:00+00:00,0.010563000105321407,0.022691000252962112,0.009952000342309475,0.02027999982237816,1148845,0.0,0.0
2024-06-05 00:00:00+00:00,0.015514999628067017,0.016085999086499214,0.014650999568402767,0.014650999568402767,139208,0.0,0.0
2024-06-06 00:00:00+00:00,0.01463599968701601,0.014752999879419804,0.012955999933183193,0.012992000207304955,38225,0.0,0.0
2024-06-07 00:00:00+00:00,0.012990999966859818,0.013001999817788601,0.011707000434398651,0.011905999854207039,18535,0.0,0.0
2024-06-08 00:00:00+00:00,0.011905999854207039,0.011905999854207039,0.011110999621450901,0.011655000038444996,27336,0.0,0.0
2024-06-09 00:00:00+00:00,0.011655000038444996,0.012873999774456024,0.011655000038444996,0.012644000351428986,22860,0.0,0.0
2024-06-10 00:00:00+00:00,0.012644000351428986,0.01669600047171116,0.012505999766290188,0.016651999205350876,64491,0.0,0.0
2024-06-11 00:00:00+00:00,0.016651999205350876,0.016652999445796013,0.014674000442028046,0.014763999730348587,32805,0.0,0.0
2024-06-12 00:00:00+00:00,0.014763999730348587,0.015776000916957855,0.014607000164687634,0.015689000487327576,14738,0.0,0.0
2024-06-13 00:00:00+00:00,0.015689000487327576,0.01610800065100193,0.015312000177800655,0.015312000177800655,22126,0.0,0.0
2024-06-14 00:00:00+00:00,0.015312000177800655,0.01817299984395504,0.015312000177800655,0.01775199919939041,57741,0.0,0.0
2024-06-15 00:00:00+00:00,0.01775199919939041,0.02128399908542633,0.01775199919939041,0.020617999136447906,63779,0.0,0.0
2024-06-16 00:00:00+00:00,0.020617999136447906,0.020873000845313072,0.020586000755429268,0.020587999373674393,15368,0.0,0.0
2024-06-17 00:00:00+00:00,0.020587999373674393,0.021185999736189842,0.02024099975824356,0.02100900001823902,28897,0.0,0.0
2024-06-18 00:00:00+00:00,0.02100900001823902,0.021460000425577164,0.01925400085747242,0.019891999661922455,82754,0.0,0.0
2024-06-19 00:00:00+00:00,0.019891999661922455,0.02087699994444847,0.019891999661922455,0.020868999883532524,7598,0.0,0.0
