TIMESTAMP,PLAYFUN_OPEN_PRICE_USD,PLAYFUN_HIGH_PRICE_USD,PLAYFUN_LOW_PRICE_USD,PLAYFUN_CLOSE_PRICE_USD,PLAYFUN_VOLUME_USD,PLAYFUN_DIVIDENDS_USD,PLAYFUN_STOCK_SPLITS_USD
2025-05-13 00:00:00+00:00,3.400000059627928e-05,4.8999998398358e-05,3.199999991920777e-05,4.3000000005122274e-05,2113622,0.0,0.0
2025-05-14 00:00:00+00:00,4.199999966658652e-05,5.0999999075429514e-05,3.7000001611886546e-05,5.0999999075429514e-05,2206283,0.0,0.0
2025-05-15 00:00:00+00:00,5.0999999075429514e-05,5.0999999075429514e-05,2.9999999242136255e-05,3.899999865097925e-05,2071088,0.0,0.0
2025-05-16 00:00:00+00:00,3.899999865097925e-05,3.9999998989515007e-05,2.700000004551839e-05,3.7999998312443495e-05,1252219,0.0,0.0
2025-05-17 00:00:00+00:00,3.7999998312443495e-05,4.5000000682193786e-05,3.300000025774352e-05,3.899999865097925e-05,1439130,0.0,0.0
2025-05-18 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,2.9999999242136255e-05,3.199999991920777e-05,680175,0.0,0.0
2025-05-19 00:00:00+00:00,3.199999991920777e-05,3.400000059627928e-05,1.4999999621068127e-05,1.9999999494757503e-05,1215388,0.0,0.0
2025-05-20 00:00:00+00:00,1.9999999494757503e-05,2.5999999706982635e-05,1.5999999959603883e-05,1.9999999494757503e-05,1009825,0.0,0.0
2025-05-21 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,1.5999999959603883e-05,1.8000000636675395e-05,436284,0.0,0.0
2025-05-22 00:00:00+00:00,1.8000000636675395e-05,2.300000051036477e-05,1.5999999959603883e-05,2.2000000171829015e-05,632605,0.0,0.0
2025-05-23 00:00:00+00:00,2.2000000171829015e-05,2.700000004551839e-05,1.9999999494757503e-05,2.5999999706982635e-05,759466,0.0,0.0
2025-05-24 00:00:00+00:00,2.5999999706982635e-05,3.099999958067201e-05,2.4000000848900527e-05,2.5999999706982635e-05,632730,0.0,0.0
2025-05-25 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,1.2000000424450263e-05,1.5999999959603883e-05,966839,0.0,0.0
2025-05-26 00:00:00+00:00,1.5999999959603883e-05,1.8000000636675395e-05,9.000000318337698e-06,9.999999747378752e-06,846015,0.0,0.0
2025-05-27 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,3.000000106112566e-06,3.999999989900971e-06,1307505,0.0,0.0
2025-05-28 00:00:00+00:00,3.999999989900971e-06,6.000000212225132e-06,3.000000106112566e-06,3.999999989900971e-06,387386,0.0,0.0
2025-05-29 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,193415,0.0,0.0
2025-05-30 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,138226,0.0,0.0
2025-05-31 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,51349,0.0,0.0
2025-06-01 00:00:00+00:00,3.0462254017038504e-06,4.078666279383469e-06,2.877472979889717e-06,3.971340447606053e-06,109324,0.0,0.0
