TIMESTAMP,ELONMARS_OPEN_PRICE_USD,ELONMARS_HIGH_PRICE_USD,ELONMARS_LOW_PRICE_USD,ELONMARS_CLOSE_PRICE_USD,ELONMARS_VOLUME_USD,ELONMARS_DIVIDENDS_USD,ELONMARS_STOCK_SPLITS_USD
2023-11-29 00:00:00+00:00,,,,0.0,103782,0.0,0.0
2023-11-30 00:00:00+00:00,,,,0.0,65539,0.0,0.0
2023-12-01 00:00:00+00:00,,,,0.0,25073,0.0,0.0
2023-12-02 00:00:00+00:00,,,,0.0,18987,0.0,0.0
2023-12-03 00:00:00+00:00,,,,0.0,8476,0.0,0.0
2023-12-04 00:00:00+00:00,,,,0.0,8533,0.0,0.0
2023-12-05 00:00:00+00:00,,,,0.0,10365,0.0,0.0
2023-12-06 00:00:00+00:00,,,,0.0,5077,0.0,0.0
2023-12-07 00:00:00+00:00,,,,0.0,7569,0.0,0.0
2023-12-08 00:00:00+00:00,,,,0.0,153903,0.0,0.0
2023-12-09 00:00:00+00:00,,,,0.0,733415,0.0,0.0
2023-12-10 00:00:00+00:00,,,,0.0,1271374,0.0,0.0
2023-12-11 00:00:00+00:00,,,,0.0,314272,0.0,0.0
2023-12-12 00:00:00+00:00,,,,0.0,189712,0.0,0.0
2023-12-13 00:00:00+00:00,,,,0.0,215405,0.0,0.0
2023-12-14 00:00:00+00:00,,,,0.0,104069,0.0,0.0
2023-12-15 00:00:00+00:00,,,,0.0,95588,0.0,0.0
2023-12-16 00:00:00+00:00,,,,0.0,100189,0.0,0.0
2023-12-17 00:00:00+00:00,,,,0.0,47375,0.0,0.0
2023-12-18 00:00:00+00:00,,,,0.0,40298,0.0,0.0
2023-12-19 00:00:00+00:00,,,,0.0,36403,0.0,0.0
2023-12-20 00:00:00+00:00,,,,0.0,27723,0.0,0.0
2023-12-21 00:00:00+00:00,,,,0.0,30357,0.0,0.0
2023-12-22 00:00:00+00:00,,,,0.0,24635,0.0,0.0
2023-12-23 00:00:00+00:00,,,,0.0,18397,0.0,0.0
2023-12-24 00:00:00+00:00,,,,0.0,20875,0.0,0.0
2023-12-25 00:00:00+00:00,,,,0.0,11511,0.0,0.0
2023-12-26 00:00:00+00:00,,,,0.0,20389,0.0,0.0
2023-12-27 00:00:00+00:00,,,,0.0,35298,0.0,0.0
2023-12-28 00:00:00+00:00,,,,0.0,13078,0.0,0.0
2023-12-29 00:00:00+00:00,,,,0.0,5666,0.0,0.0
2023-12-30 00:00:00+00:00,,,,0.0,6155,0.0,0.0
2023-12-31 00:00:00+00:00,,,,0.0,5579,0.0,0.0
2024-01-01 00:00:00+00:00,,,,0.0,3057,0.0,0.0
2024-01-02 00:00:00+00:00,,,,0.0,6633,0.0,0.0
2024-01-03 00:00:00+00:00,,,,0.0,6417,0.0,0.0
2024-01-04 00:00:00+00:00,,,,0.0,2470,0.0,0.0
2024-01-05 00:00:00+00:00,,,,0.0,3676,0.0,0.0
2024-01-06 00:00:00+00:00,,,,0.0,1900,0.0,0.0
2024-01-07 00:00:00+00:00,,,,0.0,1229,0.0,0.0
2024-01-08 00:00:00+00:00,,,,0.0,4022,0.0,0.0
2024-01-09 00:00:00+00:00,,,,0.0,11105,0.0,0.0
2024-01-10 00:00:00+00:00,,,,0.0,10104,0.0,0.0
2024-01-11 00:00:00+00:00,,,,0.0,17103,0.0,0.0
2024-01-12 00:00:00+00:00,,,,0.0,4465,0.0,0.0
2024-01-13 00:00:00+00:00,,,,0.0,1667,0.0,0.0
2024-01-14 00:00:00+00:00,,,,0.0,3389,0.0,0.0
2024-01-15 00:00:00+00:00,,,,0.0,4328,0.0,0.0
2024-01-16 00:00:00+00:00,,,,0.0,4183,0.0,0.0
2024-01-17 00:00:00+00:00,,,,0.0,2418,0.0,0.0
2024-01-18 00:00:00+00:00,,,,0.0,1079,0.0,0.0
2024-01-19 00:00:00+00:00,,,,0.0,1749,0.0,0.0
2024-01-20 00:00:00+00:00,,,,0.0,2542,0.0,0.0
2024-01-21 00:00:00+00:00,,,,0.0,1883,0.0,0.0
2024-01-22 00:00:00+00:00,,,,0.0,1734,0.0,0.0
2024-01-23 00:00:00+00:00,,,,0.0,4489,0.0,0.0
2024-01-24 00:00:00+00:00,,,,0.0,10983,0.0,0.0
2024-01-25 00:00:00+00:00,,,,0.0,22425,0.0,0.0
2024-01-26 00:00:00+00:00,,,,0.0,3857,0.0,0.0
2024-01-27 00:00:00+00:00,,,,0.0,5944,0.0,0.0
2024-01-28 00:00:00+00:00,,,,0.0,2952,0.0,0.0
2024-01-29 00:00:00+00:00,,,,0.0,4614,0.0,0.0
2024-01-30 00:00:00+00:00,,,,0.0,2692,0.0,0.0
2024-01-31 00:00:00+00:00,,,,0.0,1789,0.0,0.0
2024-02-01 00:00:00+00:00,,,,0.0,2471,0.0,0.0
2024-02-02 00:00:00+00:00,,,,0.0,2132,0.0,0.0
2024-02-03 00:00:00+00:00,,,,0.0,4091,0.0,0.0
2024-02-04 00:00:00+00:00,,,,0.0,859,0.0,0.0
2024-02-05 00:00:00+00:00,,,,0.0,1536,0.0,0.0
2024-02-06 00:00:00+00:00,,,,0.0,2732,0.0,0.0
2024-02-07 00:00:00+00:00,,,,0.0,2141,0.0,0.0
2024-02-08 00:00:00+00:00,,,,0.0,1153,0.0,0.0
2024-02-09 00:00:00+00:00,,,,0.0,2017,0.0,0.0
2024-02-10 00:00:00+00:00,,,,0.0,715,0.0,0.0
2024-02-11 00:00:00+00:00,,,,0.0,958,0.0,0.0
2024-02-12 00:00:00+00:00,,,,0.0,2135,0.0,0.0
2024-02-13 00:00:00+00:00,,,,0.0,2381,0.0,0.0
2024-02-14 00:00:00+00:00,,,,0.0,2785,0.0,0.0
2024-02-15 00:00:00+00:00,,,,0.0,1833,0.0,0.0
2024-02-16 00:00:00+00:00,,,,0.0,1153,0.0,0.0
2024-02-17 00:00:00+00:00,,,,0.0,1575,0.0,0.0
2024-02-18 00:00:00+00:00,,,,0.0,2065,0.0,0.0
2024-02-19 00:00:00+00:00,,,,0.0,2885,0.0,0.0
2024-02-20 00:00:00+00:00,,,,0.0,4475,0.0,0.0
