TIMESTAMP,BTC_OPEN_PRICE_USD,BTC_HIGH_PRICE_USD,BTC_LOW_PRICE_USD,BTC_CLOSE_PRICE_USD,BTC_MARKET_CAP_USD_PER_BLOCKCHAIN_VIA_QUANDL,BTC_SUPPLY_PER_BLOCKCHAIN_VIA_QUANDL,BTC_VOLUME_USD_PER_CMC,BTC_MARKET_CAP_USD_PER_CMC
2017-06-01,2303.3,2460.8,2303.3,2412.6,39445011896.3655,16365412.5,1653180032.0,39407633762.6
2017-06-02,2412.6,2494.0,2385.6,2492.6,40038367306.7,16367962.5,1317030016.0,40732491835.1
2017-06-03,2492.6,2582.8,2449.9,2545.4,41347691234.0,16370362.5,1514950016.0,41177190056.7
2017-06-04,2545.4,2559.8,2478.2,2524.1,41397189656.25,16370937.5,1355120000.0,41124262595.2
2017-06-05,2524.1,2705.4,2523.9,2705.0,44183337149.2,16374425.0,1369309952.0,43994968834.2
2017-06-06,2705.0,2931.2,2699.7,2870.5,47218046131.7,16376312.5,2089609984.0,46888622160.0
2017-06-07,2870.5,2880.9,2626.6,2691.5,46433892657.5,16376487.5,1517709952.0,44748237217.9
2017-06-08,2691.5,2808.4,2623.6,2798.8,45750548628.4,16380437.5,1281170048.0,45957247988.5
2017-06-09,2798.8,2852.1,2786.1,2811.4,46482251332.5,16381987.5,1348950016.0,46260465853.5
2017-06-10,2811.4,2914.2,2807.4,2900.3,46618837861.6,16384087.5,2018889984.0,48295501718.2
2017-06-11,2900.3,2977.9,2867.3,2973.4,48532280870.3,16385912.5,1752400000.0,48471330146.3
2017-06-12,2973.4,2985.1,2483.6,2656.8,42958786426.8595,16387550.0,2569530112.0,43585351532.5
2017-06-13,2656.8,2784.8,2647.4,2713.0,45041413814.6,16389512.5,1781200000.0,44530631894.2
2017-06-14,2713.0,2803.7,2349.0,2467.3,40110100599.3,16391262.5,1696560000.0,41082567338.9
2017-06-15,2467.3,2521.6,2125.6,2442.5,38697463337.5,16393062.5,2026259968.0,40402259202.0
2017-06-16,2442.5,2536.4,2335.3,2508.6,40413077779.2,16395025.0,1195190016.0,41291821422.7
2017-06-17,2508.6,2690.7,2454.8,2655.1,43712771805.9,16396837.5,1534509952.0,43548031451.6
2017-06-18,2655.1,2676.0,2488.6,2539.6,41037465218.75,16398587.5,1178659968.0,41788418973.5
2017-06-19,2539.6,2617.8,2518.8,2616.8,42923655055.5,16400537.5,1446840064.0,42470734800.0
2017-06-20,2616.8,2800.5,2614.0,2754.4,45187876438.3,16402262.5,1854189952.0,44643512689.0
2017-06-21,2754.4,2804.4,2624.4,2677.6,43815826861.0,16404012.5,1626579968.0,44111929172.5
2017-06-22,2677.6,2757.3,2623.2,2722.8,43390650228.75,16404162.5,1097939968.0,44384244937.2
2017-06-23,2722.8,2759.7,2699.5,2710.4,44471767180.9,16407750.0,961318976.0,45037797052.5
2017-06-24,2710.4,2741.6,2540.4,2590.1,42487095408.8,16409575.0,982750016.0,42807952580.6
2017-06-25,2590.1,2660.7,2472.4,2541.6,41607071881.9977,16409687.5,1161100032.0,42495001715.8
2017-06-26,2541.6,2584.8,2327.3,2446.1,39989166644.5,16412875.0,1663280000.0,40677994353.8
2017-06-27,2446.1,2585.1,2309.6,2583.8,41330152143.2,16414512.5,1489789952.0,41897190525.0
2017-06-28,2583.8,2616.9,2490.1,2577.7,41105302320.0,16415200.0,1183869952.0,42268942193.0
2017-06-29,2577.7,2605.9,2526.5,2558.4,41774133240.2,16417975.0,949979008.0,41690395782.8
2017-06-30,2558.4,2576.3,2469.5,2480.6,40682623613.4,16419900.0,860273024.0,40735082695.0
2017-07-01,2480.6,2529.6,2387.5,2424.6,40852607008.3399,16420787.5,779913984.0,39980058372.5
2017-07-02,2424.6,2555.3,2375.9,2536.5,42071777410.5,16426425.0,803747008.0,41167015221.0
2017-07-03,2536.5,2617.5,2506.3,2572.5,42187666290.0,16426300.0,964112000.0,42118211082.5
2017-07-04,2572.5,2658.7,2570.0,2617.3,42709239179.3,16428337.5,985516032.0,42740618672.7
2017-07-05,2617.3,2642.7,2562.0,2627.9,43033774511.9,16430200.0,941566016.0,42751085998.5
2017-07-06,2627.9,2634.8,2581.8,2614.2,42686594985.0,16431825.0,761956992.0,42863758794.7
2017-07-07,2614.2,2617.5,2484.7,2513.9,40939964795.4,16433825.0,917411968.0,41391217674.5
2017-07-08,2513.9,2568.7,2480.6,2564.9,42110891329.2,16435887.5,733329984.0,42262222822.5
2017-07-09,2564.9,2576.7,2509.6,2511.4,41737814340.0,16437387.5,527856000.0,41397076604.3
2017-07-10,2511.4,2530.3,2271.8,2344.0,38900014611.3,16440075.0,1111200000.0,39005033498.7
2017-07-11,2344.0,2412.8,2265.5,2324.3,38965835960.2,16442237.5,1329760000.0,38438497236.2
2017-07-12,2324.3,2424.8,2262.1,2403.1,38229771562.5,16442912.5,1117410048.0,39447604438.0
