TIMESTAMP,CBPAY_OPEN_PRICE_USD,CBPAY_HIGH_PRICE_USD,CBPAY_LOW_PRICE_USD,CBPAY_CLOSE_PRICE_USD,CBPAY_VOLUME_USD,CBPAY_DIVIDENDS_USD,CBPAY_STOCK_SPLITS_USD
2024-09-11 00:00:00+00:00,0.0006270000012591481,0.0006900000153109431,0.0005890000029467046,0.0006900000153109431,900914,0.0,0.0
2024-09-12 00:00:00+00:00,0.0006900000153109431,0.0007670000195503235,0.0005590000073425472,0.000653000024612993,1177807,0.0,0.0
2024-09-13 00:00:00+00:00,0.000653000024612993,0.0006590000120922923,0.0004870000120718032,0.0005169999785721302,986267,0.0,0.0
2024-09-14 00:00:00+00:00,0.0005169999785721302,0.0005469999741762877,0.00046800001291558146,0.0005230000242590904,1209438,0.0,0.0
2024-09-15 00:00:00+00:00,0.0005230000242590904,0.0006949999951757491,0.0005189999938011169,0.0005699999746866524,1294019,0.0,0.0
2024-09-16 00:00:00+00:00,0.0005699999746866524,0.000577000027988106,0.0004189999890513718,0.00042299999040551484,1115279,0.0,0.0
2024-09-17 00:00:00+00:00,0.00042299999040551484,0.0005929999751970172,0.0004079999926034361,0.0004569999873638153,989008,0.0,0.0
2024-09-18 00:00:00+00:00,0.0004569999873638153,0.0005039999959990382,0.0004290000069886446,0.0004440000047907233,1133731,0.0,0.0
2024-09-19 00:00:00+00:00,0.0004440000047907233,0.00046499999007210135,0.0004149999876972288,0.00044999999227002263,918491,0.0,0.0
2024-09-20 00:00:00+00:00,0.00044999999227002263,0.0004769999941345304,0.0003969999961555004,0.0004349999944679439,987000,0.0,0.0
2024-09-21 00:00:00+00:00,0.0004349999944679439,0.0004529999860096723,0.00037900000461377203,0.00040099999750964344,895004,0.0,0.0
2024-09-22 00:00:00+00:00,0.00040099999750964344,0.00044100001105107367,0.000371000001905486,0.00040600000647827983,404017,0.0,0.0
2024-09-23 00:00:00+00:00,0.00040600000647827983,0.00042699999175965786,0.00038300000596791506,0.00041099998634308577,451616,0.0,0.0
2024-09-24 00:00:00+00:00,0.00041099998634308577,0.0004939999780617654,0.00041099998634308577,0.00046400001156143844,278295,0.0,0.0
2024-09-25 00:00:00+00:00,0.00046400001156143844,0.0004689999914262444,0.00039000000106170774,0.00039000000106170774,467511,0.0,0.0
2024-09-26 00:00:00+00:00,0.00039000000106170774,0.0004070000140927732,0.0003659999929368496,0.00039900001138448715,240484,0.0,0.0
