TIMESTAMP,MOODENG_OPEN_PRICE_USD,MOODENG_HIGH_PRICE_USD,MOODENG_LOW_PRICE_USD,MOODENG_CLOSE_PRICE_USD,MOODENG_VOLUME_USD,MOODENG_DIVIDENDS_USD,MOODENG_STOCK_SPLITS_USD
2024-09-18 00:00:00+00:00,,,,0.0,126778,0.0,0.0
2024-09-19 00:00:00+00:00,,,,0.0,32234,0.0,0.0
2024-09-20 00:00:00+00:00,,,,0.0,10772,0.0,0.0
2024-09-21 00:00:00+00:00,,,,0.0,10182,0.0,0.0
2024-09-22 00:00:00+00:00,,,,0.0,5654,0.0,0.0
2024-09-23 00:00:00+00:00,,,,0.0,4225,0.0,0.0
2024-09-24 00:00:00+00:00,,,,0.0,5580,0.0,0.0
2024-09-25 00:00:00+00:00,,,,0.0,2460,0.0,0.0
2024-09-26 00:00:00+00:00,,,,0.0,1927,0.0,0.0
2024-09-27 00:00:00+00:00,,,,0.0,50418,0.0,0.0
2024-09-28 00:00:00+00:00,,,,0.0,94939,0.0,0.0
2024-09-29 00:00:00+00:00,,,,0.0,47109,0.0,0.0
2024-09-30 00:00:00+00:00,,,,0.0,13627,0.0,0.0
2024-10-01 00:00:00+00:00,,,,0.0,7545,0.0,0.0
2024-10-02 00:00:00+00:00,,,,0.0,7984,0.0,0.0
2024-10-03 00:00:00+00:00,,,,0.0,7450,0.0,0.0
2024-10-04 00:00:00+00:00,,,,0.0,1847,0.0,0.0
2024-10-05 00:00:00+00:00,,,,0.0,1919,0.0,0.0
2024-10-06 00:00:00+00:00,,,,0.0,7618,0.0,0.0
2024-10-07 00:00:00+00:00,,,,0.0,9185,0.0,0.0
2024-10-08 00:00:00+00:00,,,,0.0,15849,0.0,0.0
2024-10-09 00:00:00+00:00,,,,0.0,3495,0.0,0.0
2024-10-10 00:00:00+00:00,,,,0.0,1704,0.0,0.0
2024-10-11 00:00:00+00:00,,,,0.0,3080,0.0,0.0
2024-10-12 00:00:00+00:00,,,,0.0,2283,0.0,0.0
