,LTC,Lag
QTUM,9.021544447134842e-08,17
IOTA,1.782340012502109e-07,14
DCR,1.3584537615583356e-06,16
ETC,8.579450905257067e-05,1
XMR,0.0001015152540443,11
USDT,0.0005648299952923,2
DASH,0.0006993903093626,30
BTC,0.0027308091946082,5
DOGE,0.0042527396831845,20
ZEC,0.004555444162727,1
GNO,0.0075493773176707,5
BAT,0.0108388289644671,1
XRP,0.0145849569383442,19
ETH,0.0147878954967095,12
XLM,0.0476212732998213,1
