,Time,BTC_Confirmed_Transaction_Count,ETH_Confirmed_Transaction_Count,XRP_Confirmed_Transaction_Count,DOGE_Confirmed_Transaction_Count,LTC_Confirmed_Transaction_Count,BCH_Confirmed_Transaction_Count,XMR_Confirmed_Transaction_Count,DASH_Confirmed_Transaction_Count,ZEC_Confirmed_Transaction_Count
0,2009-01-03,,,,,,,,,
1,2009-01-04,,,,,,,,,
2,2009-01-05,,,,,,,,,
3,2009-01-06,,,,,,,,,
4,2009-01-07,,,,,,,,,
5,2009-01-08,,,,,,,,,
6,2009-01-09,,,,,,,,,
7,2009-01-10,,,,,,,,,
8,2009-01-11,,,,,,,,,
9,2009-01-12,7.0,,,,,,,,
10,2009-01-13,,,,,,,,,
11,2009-01-14,1.0,,,,,,,,
12,2009-01-15,8.0,,,,,,,,
13,2009-01-16,2.0,,,,,,,,
14,2009-01-17,,,,,,,,,
15,2009-01-18,1.0,,,,,,,,
16,2009-01-19,2.0,,,,,,,,
17,2009-01-20,1.0,,,,,,,,
18,2009-01-21,1.0,,,,,,,,
19,2009-01-22,1.0,,,,,,,,
20,2009-01-23,2.0,,,,,,,,
21,2009-01-24,1.0,,,,,,,,
22,2009-01-25,1.0,,,,,,,,
23,2009-01-26,1.0,,,,,,,,
24,2009-01-27,1.0,,,,,,,,
25,2009-01-28,,,,,,,,,
26,2009-01-29,1.0,,,,,,,,
27,2009-01-30,,,,,,,,,
28,2009-01-31,1.0,,,,,,,,
29,2009-02-01,1.0,,,,,,,,
30,2009-02-02,1.0,,,,,,,,
31,2009-02-03,16.0,,,,,,,,
32,2009-02-04,,,,,,,,,
33,2009-02-05,,,,,,,,,
34,2009-02-06,,,,,,,,,
35,2009-02-07,4.0,,,,,,,,
36,2009-02-08,1.0,,,,,,,,
37,2009-02-09,1.0,,,,,,,,
38,2009-02-10,,,,,,,,,
39,2009-02-11,2.0,,,,,,,,
40,2009-02-12,,,,,,,,,
41,2009-02-13,,,,,,,,,
42,2009-02-14,,,,,,,,,
43,2009-02-15,3.0,,,,,,,,
44,2009-02-16,1.0,,,,,,,,
45,2009-02-17,,,,,,,,,
46,2009-02-18,,,,,,,,,
47,2009-02-19,1.0,,,,,,,,
48,2009-02-20,,,,,,,,,
49,2009-02-21,,,,,,,,,
50,2009-02-22,4.0,,,,,,,,
51,2009-02-23,,,,,,,,,
52,2009-02-24,,,,,,,,,
53,2009-02-25,,,,,,,,,
54,2009-02-26,,,,,,,,,
55,2009-02-27,1.0,,,,,,,,
56,2009-02-28,1.0,,,,,,,,
57,2009-03-01,,,,,,,,,
58,2009-03-02,,,,,,,,,
59,2009-03-03,2.0,,,,,,,,
60,2009-03-04,2.0,,,,,,,,
61,2009-03-05,1.0,,,,,,,,
62,2009-03-06,,,,,,,,,
63,2009-03-07,,,,,,,,,
64,2009-03-08,3.0,,,,,,,,
65,2009-03-09,,,,,,,,,
66,2009-03-10,,,,,,,,,
67,2009-03-11,,,,,,,,,
68,2009-03-12,1.0,,,,,,,,
69,2009-03-13,1.0,,,,,,,,
70,2009-03-14,,,,,,,,,
71,2009-03-15,,,,,,,,,
72,2009-03-16,1.0,,,,,,,,
73,2009-03-17,,,,,,,,,
74,2009-03-18,2.0,,,,,,,,
75,2009-03-19,,,,,,,,,
76,2009-03-20,1.0,,,,,,,,
77,2009-03-21,,,,,,,,,
78,2009-03-22,2.0,,,,,,,,
79,2009-03-23,,,,,,,,,
80,2009-03-24,,,,,,,,,
81,2009-03-25,,,,,,,,,
82,2009-03-26,1.0,,,,,,,,
83,2009-03-27,,,,,,,,,
84,2009-03-28,3.0,,,,,,,,
85,2009-03-29,,,,,,,,,
86,2009-03-30,,,,,,,,,
87,2009-03-31,1.0,,,,,,,,
88,2009-04-01,,,,,,,,,
89,2009-04-02,,,,,,,,,
90,2009-04-03,,,,,,,,,
91,2009-04-04,,,,,,,,,
92,2009-04-05,2.0,,,,,,,,
93,2009-04-06,,,,,,,,,
94,2009-04-07,,,,,,,,,
95,2009-04-08,,,,,,,,,
96,2009-04-09,,,,,,,,,
97,2009-04-10,,,,,,,,,
98,2009-04-11,1.0,,,,,,,,
99,2009-04-12,2.0,,,,,,,,
100,2009-04-13,1.0,,,,,,,,
101,2009-04-14,,,,,,,,,
102,2009-04-15,,,,,,,,,
103,2009-04-16,,,,,,,,,
104,2009-04-17,,,,,,,,,
105,2009-04-18,4.0,,,,,,,,
106,2009-04-19,1.0,,,,,,,,
107,2009-04-20,2.0,,,,,,,,
108,2009-04-21,1.0,,,,,,,,
109,2009-04-22,,,,,,,,,
110,2009-04-23,,,,,,,,,
111,2009-04-24,,,,,,,,,
112,2009-04-25,,,,,,,,,
113,2009-04-26,2.0,,,,,,,,
114,2009-04-27,,,,,,,,,
115,2009-04-28,,,,,,,,,
116,2009-04-29,1.0,,,,,,,,
117,2009-04-30,,,,,,,,,
118,2009-05-01,,,,,,,,,
119,2009-05-02,2.0,,,,,,,,
120,2009-05-03,3.0,,,,,,,,
121,2009-05-04,1.0,,,,,,,,
122,2009-05-05,1.0,,,,,,,,
123,2009-05-06,,,,,,,,,
124,2009-05-07,,,,,,,,,
125,2009-05-08,,,,,,,,,
126,2009-05-09,,,,,,,,,
127,2009-05-10,,,,,,,,,
128,2009-05-11,1.0,,,,,,,,
129,2009-05-12,,,,,,,,,
130,2009-05-13,5.0,,,,,,,,
131,2009-05-14,3.0,,,,,,,,
132,2009-05-15,1.0,,,,,,,,
133,2009-05-16,,,,,,,,,
134,2009-05-17,,,,,,,,,
135,2009-05-18,,,,,,,,,
136,2009-05-19,,,,,,,,,
137,2009-05-20,,,,,,,,,
138,2009-05-21,,,,,,,,,
139,2009-05-22,,,,,,,,,
140,2009-05-23,,,,,,,,,
141,2009-05-24,,,,,,,,,
142,2009-05-25,,,,,,,,,
143,2009-05-26,,,,,,,,,
144,2009-05-27,,,,,,,,,
145,2009-05-28,,,,,,,,,
146,2009-05-29,1.0,,,,,,,,
147,2009-05-30,,,,,,,,,
148,2009-05-31,,,,,,,,,
149,2009-06-01,1.0,,,,,,,,
150,2009-06-02,,,,,,,,,
151,2009-06-03,,,,,,,,,
152,2009-06-04,,,,,,,,,
153,2009-06-05,,,,,,,,,
154,2009-06-06,,,,,,,,,
155,2009-06-07,,,,,,,,,
156,2009-06-08,,,,,,,,,
157,2009-06-09,,,,,,,,,
158,2009-06-10,,,,,,,,,
159,2009-06-11,,,,,,,,,
160,2009-06-12,,,,,,,,,
161,2009-06-13,,,,,,,,,
162,2009-06-14,,,,,,,,,
163,2009-06-15,,,,,,,,,
164,2009-06-16,,,,,,,,,
165,2009-06-17,,,,,,,,,
166,2009-06-18,,,,,,,,,
167,2009-06-19,,,,,,,,,
168,2009-06-20,,,,,,,,,
169,2009-06-21,,,,,,,,,
170,2009-06-22,1.0,,,,,,,,
171,2009-06-23,,,,,,,,,
172,2009-06-24,2.0,,,,,,,,
173,2009-06-25,1.0,,,,,,,,
174,2009-06-26,,,,,,,,,
175,2009-06-27,,,,,,,,,
176,2009-06-28,1.0,,,,,,,,
177,2009-06-29,1.0,,,,,,,,
178,2009-06-30,1.0,,,,,,,,
179,2009-07-01,1.0,,,,,,,,
180,2009-07-02,1.0,,,,,,,,
181,2009-07-03,,,,,,,,,
182,2009-07-04,,,,,,,,,
183,2009-07-05,,,,,,,,,
184,2009-07-06,,,,,,,,,
185,2009-07-07,,,,,,,,,
186,2009-07-08,,,,,,,,,
187,2009-07-09,,,,,,,,,
188,2009-07-10,,,,,,,,,
189,2009-07-11,,,,,,,,,
190,2009-07-12,,,,,,,,,
191,2009-07-13,,,,,,,,,
192,2009-07-14,,,,,,,,,
193,2009-07-15,,,,,,,,,
194,2009-07-16,,,,,,,,,
195,2009-07-17,,,,,,,,,
