,Time,BTC_Average_Transaction_Fee_USD,ETH_Average_Transaction_Fee_USD,XRP_Average_Transaction_Fee_USD,DOGE_Average_Transaction_Fee_USD,LTC_Average_Transaction_Fee_USD,BCH_Average_Transaction_Fee_USD,XMR_Average_Transaction_Fee_USD,DASH_Average_Transaction_Fee_USD,ZEC_Average_Transaction_Fee_USD
79,2010-10-04,2.39e-10,,,,,,,,
80,2010-10-05,,,,,,,,,
81,2010-10-06,2.87e-10,,,,,,,,
82,2010-10-07,,,,,,,,,
83,2010-10-08,,,,,,,,,
84,2010-10-09,,,,,,,,,
85,2010-10-10,,,,,,,,,
86,2010-10-11,5.54e-10,,,,,,,,
87,2010-10-12,,,,,,,,,
88,2010-10-13,0.000183,,,,,,,,
89,2010-10-14,,,,,,,,,
90,2010-10-15,,,,,,,,,
91,2010-10-16,,,,,,,,,
92,2010-10-17,,,,,,,,,
93,2010-10-18,6.22e-06,,,,,,,,
94,2010-10-19,,,,,,,,,
95,2010-10-20,,,,,,,,,
96,2010-10-21,2.17e-06,,,,,,,,
97,2010-10-22,,,,,,,,,
98,2010-10-23,1.56e-05,,,,,,,,
99,2010-10-24,,,,,,,,,
100,2010-10-25,,,,,,,,,
101,2010-10-26,,,,,,,,,
102,2010-10-27,,,,,,,,,
103,2010-10-28,,,,,,,,,
104,2010-10-29,,,,,,,,,
105,2010-10-30,,,,,,,,,
106,2010-10-31,,,,,,,,,
107,2010-11-01,,,,,,,,,
108,2010-11-02,,,,,,,,,
109,2010-11-03,,,,,,,,,
110,2010-11-04,,,,,,,,,
111,2010-11-05,,,,,,,,,
112,2010-11-06,,,,,,,,,
113,2010-11-07,,,,,,,,,
114,2010-11-08,0.00102,,,,,,,,
115,2010-11-09,,,,,,,,,
116,2010-11-10,,,,,,,,,
117,2010-11-11,,,,,,,,,
118,2010-11-12,,,,,,,,,
119,2010-11-13,,,,,,,,,
120,2010-11-14,,,,,,,,,
121,2010-11-15,2.81e-05,,,,,,,,
122,2010-11-16,,,,,,,,,
123,2010-11-17,,,,,,,,,
124,2010-11-18,,,,,,,,,
125,2010-11-19,2.31e-06,,,,,,,,
126,2010-11-20,2.93e-05,,,,,,,,
127,2010-11-21,2.9e-05,,,,,,,,
128,2010-11-22,0.000872,,,,,,,,
129,2010-11-23,0.000675,,,,,,,,
130,2010-11-24,1.43e-05,,,,,,,,
131,2010-11-25,,,,,,,,,
132,2010-11-26,9.31e-05,,,,,,,,
133,2010-11-27,2.14e-05,,,,,,,,
134,2010-11-28,,,,,,,,,
135,2010-11-29,3.12e-05,,,,,,,,
136,2010-11-30,8.69e-06,,,,,,,,
137,2010-12-01,2.7e-05,,,,,,,,
138,2010-12-02,5.33e-05,,,,,,,,
139,2010-12-03,1.28e-05,,,,,,,,
140,2010-12-04,1.33e-05,,,,,,,,
141,2010-12-05,3.15e-05,,,,,,,,
142,2010-12-06,4.33e-05,,,,,,,,
143,2010-12-07,5.25e-05,,,,,,,,
144,2010-12-08,3.36e-05,,,,,,,,
145,2010-12-09,3.02e-05,,,,,,,,
146,2010-12-10,6.26e-05,,,,,,,,
147,2010-12-11,6.74e-05,,,,,,,,
148,2010-12-12,6.74e-05,,,,,,,,
149,2010-12-13,0.000136,,,,,,,,
150,2010-12-14,2.41e-05,,,,,,,,
151,2010-12-15,3.66e-05,,,,,,,,
152,2010-12-16,7.06e-05,,,,,,,,
153,2010-12-17,0.000194,,,,,,,,
154,2010-12-18,4.82e-05,,,,,,,,
155,2010-12-19,7.69e-05,,,,,,,,
156,2010-12-20,2.2e-05,,,,,,,,
157,2010-12-21,6.34e-05,,,,,,,,
158,2010-12-22,8.73e-05,,,,,,,,
159,2010-12-23,3.99e-05,,,,,,,,
160,2010-12-24,5.09e-05,,,,,,,,
161,2010-12-25,3.6e-05,,,,,,,,
162,2010-12-26,5.61e-05,,,,,,,,
163,2010-12-27,5.49e-05,,,,,,,,
164,2010-12-28,5.72e-05,,,,,,,,
165,2010-12-29,0.000111,,,,,,,,
166,2010-12-30,6.44e-05,,,,,,,,
167,2010-12-31,1.78e-05,,,,,,,,
168,2011-01-01,5.52e-05,,,,,,,,
169,2011-01-02,6.62e-05,,,,,,,,
170,2011-01-03,0.000219,,,,,,,,
171,2011-01-04,1.11e-05,,,,,,,,
172,2011-01-05,2.37e-05,,,,,,,,
173,2011-01-06,4.48e-05,,,,,,,,
174,2011-01-07,1.93e-05,,,,,,,,
175,2011-01-08,4.41e-06,,,,,,,,
176,2011-01-09,4.27e-05,,,,,,,,
177,2011-01-10,1.94e-05,,,,,,,,
178,2011-01-11,1.14e-05,,,,,,,,
179,2011-01-12,9.42e-05,,,,,,,,
180,2011-01-13,7.36e-06,,,,,,,,
181,2011-01-14,2.16e-05,,,,,,,,
182,2011-01-15,5.12e-05,,,,,,,,
183,2011-01-16,4.48e-05,,,,,,,,
184,2011-01-17,8.97e-05,,,,,,,,
185,2011-01-18,1.84e-05,,,,,,,,
186,2011-01-19,2.09e-05,,,,,,,,
187,2011-01-20,5.59e-05,,,,,,,,
188,2011-01-21,2.06e-05,,,,,,,,
189,2011-01-22,0.000159,,,,,,,,
190,2011-01-23,0.000175,,,,,,,,
191,2011-01-24,8.77e-05,,,,,,,,
192,2011-01-25,7.31e-05,,,,,,,,
193,2011-01-26,5.52e-05,,,,,,,,
194,2011-01-27,0.00036,,,,,,,,
195,2011-01-28,2.82e-05,,,,,,,,
196,2011-01-29,0.000165,,,,,,,,
197,2011-01-30,0.000536,,,,,,,,
198,2011-01-31,0.000311,,,,,,,,
199,2011-02-01,0.000584,,,,,,,,
200,2011-02-02,4.83e-05,,,,,,,,
201,2011-02-03,0.000189,,,,,,,,
202,2011-02-04,0.000124,,,,,,,,
203,2011-02-05,0.000213,,,,,,,,
204,2011-02-06,0.000151,,,,,,,,
205,2011-02-07,0.00041,,,,,,,,
206,2011-02-08,0.000236,,,,,,,,
207,2011-02-09,6.31e-05,,,,,,,,
208,2011-02-10,0.000487,,,,,,,,
209,2011-02-11,0.000236,,,,,,,,
210,2011-02-12,0.000452,,,,,,,,
211,2011-02-13,0.000155,,,,,,,,
212,2011-02-14,0.0016,,,,,,,,
213,2011-02-15,0.000128,,,,,,,,
214,2011-02-16,0.000333,,,,,,,,
215,2011-02-17,6.37e-05,,,,,,,,
216,2011-02-18,0.000277,,,,,,,,
217,2011-02-19,0.000339,,,,,,,,
218,2011-02-20,0.000103,,,,,,,,
219,2011-02-21,0.000192,,,,,,,,
220,2011-02-22,0.000106,,,,,,,,
221,2011-02-23,0.000169,,,,,,,,
222,2011-02-24,8.54e-05,,,,,,,,
223,2011-02-25,0.000211,,,,,,,,
224,2011-02-26,0.000313,,,,,,,,
225,2011-02-27,0.000493,,,,,,,,
226,2011-02-28,0.000289,,,,,,,,
227,2011-03-01,0.000145,,,,,,,,
228,2011-03-02,0.000198,,,,,,,,
229,2011-03-03,0.00217,,,,,,,,
230,2011-03-04,0.000371,,,,,,,,
231,2011-03-05,0.00124,,,,,,,,
232,2011-03-06,0.00268,,,,,,,,
233,2011-03-07,0.00306,,,,,,,,
234,2011-03-08,0.00153,,,,,,,,
235,2011-03-09,0.00166,,,,,,,,
236,2011-03-10,0.00129,,,,,,,,
237,2011-03-11,0.00332,,,,,,,,
238,2011-03-12,0.000494,,,,,,,,
239,2011-03-13,0.000607,,,,,,,,
240,2011-03-14,0.000627,,,,,,,,
241,2011-03-15,0.000589,,,,,,,,
242,2011-03-16,0.000513,,,,,,,,
243,2011-03-17,0.00036,,,,,,,,
244,2011-03-18,0.0005,,,,,,,,
245,2011-03-19,0.000305,,,,,,,,
246,2011-03-20,0.000475,,,,,,,,
247,2011-03-21,0.00115,,,,,,,,
248,2011-03-22,0.0039,,,,,,,,
249,2011-03-23,0.0034,,,,,,,,
250,2011-03-24,0.00349,,,,,,,,
251,2011-03-25,0.00248,,,,,,,,
252,2011-03-26,0.00123,,,,,,,,
253,2011-03-27,0.00225,,,,,,,,
254,2011-03-28,0.00129,,,,,,,,
255,2011-03-29,0.00107,,,,,,,,
256,2011-03-30,0.00204,,,,,,,,
257,2011-03-31,0.00163,,,,,,,,
258,2011-04-01,0.00188,,,,,,,,
259,2011-04-02,0.00134,,,,,,,,
260,2011-04-03,0.00203,,,,,,,,
261,2011-04-04,0.00194,,,,,,,,
262,2011-04-05,0.00192,,,,,,,,
263,2011-04-06,0.00212,,,,,,,,
264,2011-04-07,0.00147,,,,,,,,
265,2011-04-08,0.00193,,,,,,,,
266,2011-04-09,0.00198,,,,,,,,
267,2011-04-10,0.00249,,,,,,,,
268,2011-04-11,0.00185,,,,,,,,
269,2011-04-12,0.00201,,,,,,,,
270,2011-04-13,0.00166,,,,,,,,
271,2011-04-14,0.00506,,,,,,,,
272,2011-04-15,0.00132,,,,,,,,
273,2011-04-16,0.00188,,,,,,,,
274,2011-04-17,0.00112,,,,,,,,
275,2011-04-18,0.00131,,,,,,,,
276,2011-04-19,0.00194,,,,,,,,
277,2011-04-20,0.00294,,,,,,,,
278,2011-04-21,0.00224,,,,,,,,
279,2011-04-22,0.00361,,,,,,,,
280,2011-04-23,0.00381,,,,,,,,
281,2011-04-24,0.00541,,,,,,,,
282,2011-04-25,0.00579,,,,,,,,
283,2011-04-26,0.00265,,,,,,,,
284,2011-04-27,0.00386,,,,,,,,
285,2011-04-28,0.00472,,,,,,,,
286,2011-04-29,0.00567,,,,,,,,
287,2011-04-30,0.00776,,,,,,,,
288,2011-05-01,0.00982,,,,,,,,
289,2011-05-02,0.00523,,,,,,,,
290,2011-05-03,0.00581,,,,,,,,
291,2011-05-04,0.00841,,,,,,,,
292,2011-05-05,0.00985,,,,,,,,
293,2011-05-06,0.00838,,,,,,,,
294,2011-05-07,0.00642,,,,,,,,
295,2011-05-08,0.0104,,,,,,,,
296,2011-05-09,0.0127,,,,,,,,
297,2011-05-10,0.0132,,,,,,,,
298,2011-05-11,0.0156,,,,,,,,
299,2011-05-12,0.0134,,,,,,,,
300,2011-05-13,0.0217,,,,,,,,
301,2011-05-14,0.0266,,,,,,,,
302,2011-05-15,0.0294,,,,,,,,
303,2011-05-16,0.0268,,,,,,,,
304,2011-05-17,0.025,,,,,,,,
305,2011-05-18,0.0261,,,,,,,,
306,2011-05-19,0.0244,,,,,,,,
307,2011-05-20,0.0236,,,,,,,,
308,2011-05-21,0.0265,,,,,,,,
309,2011-05-22,0.024,,,,,,,,
310,2011-05-23,0.0227,,,,,,,,
311,2011-05-24,0.0276,,,,,,,,
312,2011-05-25,0.0278,,,,,,,,
313,2011-05-26,0.0271,,,,,,,,
314,2011-05-27,0.0254,,,,,,,,
315,2011-05-28,0.0242,,,,,,,,
316,2011-05-29,0.0252,,,,,,,,
317,2011-05-30,0.0311,,,,,,,,
318,2011-05-31,0.0296,,,,,,,,
319,2011-06-01,0.0347,,,,,,,,
320,2011-06-02,0.0344,,,,,,,,
321,2011-06-03,0.0397,,,,,,,,
322,2011-06-04,0.0618,,,,,,,,
323,2011-06-05,0.0504,,,,,,,,
324,2011-06-06,0.0545,,,,,,,,
325,2011-06-07,0.0694,,,,,,,,
326,2011-06-08,0.102,,,,,,,,
327,2011-06-09,0.107,,,,,,,,
328,2011-06-10,0.0919,,,,,,,,
329,2011-06-11,0.0641,,,,,,,,
330,2011-06-12,0.0604,,,,,,,,
331,2011-06-13,0.0637,,,,,,,,
332,2011-06-14,0.0509,,,,,,,,
333,2011-06-15,0.063,,,,,,,,
334,2011-06-16,0.0463,,,,,,,,
335,2011-06-17,0.0455,,,,,,,,
336,2011-06-18,0.041,,,,,,,,
337,2011-06-19,0.0395,,,,,,,,
338,2011-06-20,0.0314,,,,,,,,
339,2011-06-21,0.0322,,,,,,,,
340,2011-06-22,0.0268,,,,,,,,
341,2011-06-23,0.0243,,,,,,,,
342,2011-06-24,0.026,,,,,,,,
343,2011-06-25,0.0417,,,,,,,,
344,2011-06-26,0.0436,,,,,,,,
345,2011-06-27,0.038,,,,,,,,
346,2011-06-28,0.0317,,,,,,,,
347,2011-06-29,0.0344,,,,,,,,
348,2011-06-30,0.0309,,,,,,,,
349,2011-07-01,0.0282,,,,,,,,
350,2011-07-02,0.0289,,,,,,,,
351,2011-07-03,0.0251,,,,,,,,
352,2011-07-04,0.0248,,,,,,,,
353,2011-07-05,0.0285,,,,,,,,
354,2011-07-06,0.0227,,,,,,,,
355,2011-07-07,0.0228,,,,,,,,
356,2011-07-08,0.023,,,,,,,,
357,2011-07-09,0.0242,,,,,,,,
358,2011-07-10,0.0222,,,,,,,,
359,2011-07-11,0.0209,,,,,,,,
360,2011-07-12,0.0225,,,,,,,,
361,2011-07-13,0.0232,,,,,,,,
362,2011-07-14,0.0218,,,,,,,,
363,2011-07-15,0.0289,,,,,,,,
364,2011-07-16,0.0176,,,,,,,,
365,2011-07-17,0.0199,,,,,,,,
366,2011-07-18,0.0196,,,,,,,,
367,2011-07-19,0.0224,,,,,,,,
368,2011-07-20,0.0167,,,,,,,,
369,2011-07-21,0.0154,,,,,,,,
370,2011-07-22,0.0209,,,,,,,,
371,2011-07-23,0.0145,,,,,,,,
372,2011-07-24,0.0175,,,,,,,,
373,2011-07-25,0.0182,,,,,,,,
374,2011-07-26,0.0133,,,,,,,,
375,2011-07-27,0.0158,,,,,,,,
376,2011-07-28,0.013,,,,,,,,
377,2011-07-29,0.0134,,,,,,,,
378,2011-07-30,0.0127,,,,,,,,
379,2011-07-31,0.0115,,,,,,,,
380,2011-08-01,0.0127,,,,,,,,
381,2011-08-02,0.0108,,,,,,,,
382,2011-08-03,0.0115,,,,,,,,
383,2011-08-04,0.00953,,,,,,,,
384,2011-08-05,0.00906,,,,,,,,
385,2011-08-06,0.0292,,,,,,,,
386,2011-08-07,0.00717,,,,,,,,
387,2011-08-08,0.00875,,,,,,,,
388,2011-08-09,0.0115,,,,,,,,
389,2011-08-10,0.0131,,,,,,,,
390,2011-08-11,0.00932,,,,,,,,
391,2011-08-12,0.00818,,,,,,,,
392,2011-08-13,0.00929,,,,,,,,
393,2011-08-14,0.0147,,,,,,,,
394,2011-08-15,0.013,,,,,,,,
395,2011-08-16,0.0116,,,,,,,,
396,2011-08-17,0.00972,,,,,,,,
397,2011-08-18,0.00888,,,,,,,,
398,2011-08-19,0.0117,,,,,,,,
399,2011-08-20,0.00889,,,,,,,,
400,2011-08-21,0.00862,,,,,,,,
401,2011-08-22,0.011,,,,,,,,
402,2011-08-23,0.0107,,,,,,,,
403,2011-08-24,0.0131,,,,,,,,
404,2011-08-25,0.00865,,,,,,,,
405,2011-08-26,0.00575,,,,,,,,
406,2011-08-27,0.00676,,,,,,,,
407,2011-08-28,0.00728,,,,,,,,
408,2011-08-29,0.00607,,,,,,,,
409,2011-08-30,0.0114,,,,,,,,
410,2011-08-31,0.00704,,,,,,,,
411,2011-09-01,0.00651,,,,,,,,
412,2011-09-02,0.0084,,,,,,,,
413,2011-09-03,0.00566,,,,,,,,
414,2011-09-04,0.0115,,,,,,,,
415,2011-09-05,0.00819,,,,,,,,
416,2011-09-06,0.00615,,,,,,,,
417,2011-09-07,0.00822,,,,,,,,
418,2011-09-08,0.00503,,,,,,,,
419,2011-09-09,0.00614,,,,,,,,
420,2011-09-10,0.00448,,,,,,,,
421,2011-09-11,0.00429,,,,,,,,
422,2011-09-12,0.00501,,,,,,,,
423,2011-09-13,0.00386,,,,,,,,
424,2011-09-14,0.00357,,,,,,,,
425,2011-09-15,0.00606,,,,,,,,
426,2011-09-16,0.00394,,,,,,,,
427,2011-09-17,0.00465,,,,,,,,
428,2011-09-18,0.0046,,,,,,,,
429,2011-09-19,0.00484,,,,,,,,
430,2011-09-20,0.00475,,,,,,,,
431,2011-09-21,0.00403,,,,,,,,
432,2011-09-22,0.0035,,,,,,,,
433,2011-09-23,0.00375,,,,,,,,
434,2011-09-24,0.0066,,,,,,,,
435,2011-09-25,0.00324,,,,,,,,
436,2011-09-26,0.00272,,,,,,,,
437,2011-09-27,0.00384,,,,,,,,
438,2011-09-28,0.00361,,,,,,,,
439,2011-09-29,0.00298,,,,,,,,
440,2011-09-30,0.00311,,,,,,,,
441,2011-10-01,0.00355,,,,,,,,
442,2011-10-02,0.00325,,,,,,,,
443,2011-10-03,0.00713,,,,,,,,
444,2011-10-04,0.00322,,,,,,,,
445,2011-10-05,0.00346,,,,,,,,
446,2011-10-06,0.00672,,,,,,,,
447,2011-10-07,0.0035,,,,,,,,
448,2011-10-08,0.00261,,,,,,,,
449,2011-10-09,0.00224,,,,,,,,
450,2011-10-10,0.00238,,,,,,,,
451,2011-10-11,0.00359,,,,,,,,
452,2011-10-12,0.00321,,,,,,,,
453,2011-10-13,0.00349,,,,,,,,
454,2011-10-14,0.0023,,,,,,,,
455,2011-10-15,0.00243,,,,,,,,
456,2011-10-16,0.00244,,,,,,,,
457,2011-10-17,0.00232,,,,,,,,
458,2011-10-18,0.00152,,,,,,,,
459,2011-10-19,0.00153,,,,,,,,
460,2011-10-20,0.00305,,,,,,,,
461,2011-10-21,0.00129,,,,,,,,
462,2011-10-22,0.00161,,,,,,,,
463,2011-10-23,0.00177,,,,,,,,
464,2011-10-24,0.0017,,,,,,,,
465,2011-10-25,0.00142,,,,,,,,
466,2011-10-26,0.00166,,,,,,,,
467,2011-10-27,0.0017,,,,,,,,
468,2011-10-28,0.00189,,,,,,,,
469,2011-10-29,0.00214,,,,,,,,
470,2011-10-30,0.00231,,,,,,,,
471,2011-10-31,0.00202,,,,,,,,
472,2011-11-01,0.00279,,,,,,,,
473,2011-11-02,0.00181,,,,,,,,
474,2011-11-03,0.00152,,,,,,,,
475,2011-11-04,0.00155,,,,,,,,
476,2011-11-05,0.0019,,,,,,,,
477,2011-11-06,0.00143,,,,,,,,
478,2011-11-07,0.00194,,,,,,,,
479,2011-11-08,0.00215,,,,,,,,
480,2011-11-09,0.00157,,,,,,,,
481,2011-11-10,0.00152,,,,,,,,
482,2011-11-11,0.00124,,,,,,,,
483,2011-11-12,0.00151,,,,,,,,
484,2011-11-13,0.00164,,,,,,,,
485,2011-11-14,0.00125,,,,,,,,
486,2011-11-15,0.0011,,,,,,,,
487,2011-11-16,0.00156,,,,,,,,
488,2011-11-17,0.00142,,,,,,,,
489,2011-11-18,0.00144,,,,,,,,
490,2011-11-19,0.00143,,,,,,,,
491,2011-11-20,0.00174,,,,,,,,
492,2011-11-21,0.00134,,,,,,,,
493,2011-11-22,0.00128,,,,,,,,
494,2011-11-23,0.0015,,,,,,,,
495,2011-11-24,0.00194,,,,,,,,
496,2011-11-25,0.00198,,,,,,,,
497,2011-11-26,0.00151,,,,,,,,
498,2011-11-27,0.00128,,,,,,,,
499,2011-11-28,0.00132,,,,,,,,
500,2011-11-29,0.00185,,,,,,,,
501,2011-11-30,0.00156,,,,,,,,
502,2011-12-01,0.0022,,,,,,,,
503,2011-12-02,0.0023,,,,,,,,
504,2011-12-03,0.00251,,,,,,,,
505,2011-12-04,0.00152,,,,,,,,
506,2011-12-05,0.00141,,,,,,,,
507,2011-12-06,0.00161,,,,,,,,
508,2011-12-07,0.00194,,,,,,,,
509,2011-12-08,0.00145,,,,,,,,
510,2011-12-09,0.00165,,,,,,,,
511,2011-12-10,0.00157,,,,,,,,
512,2011-12-11,0.136,,,,,,,,
513,2011-12-12,0.12,,,,,,,,
514,2011-12-13,0.00247,,,,,,,,
515,2011-12-14,0.00222,,,,,,,,
516,2011-12-15,0.00524,,,,,,,,
517,2011-12-16,0.00171,,,,,,,,
518,2011-12-17,0.00239,,,,,,,,
519,2011-12-18,0.0022,,,,,,,,
520,2011-12-19,0.00245,,,,,,,,
521,2011-12-20,0.00358,,,,,,,,
522,2011-12-21,0.00307,,,,,,,,
523,2011-12-22,0.00235,,,,,,,,
524,2011-12-23,0.00188,,,,,,,,
525,2011-12-24,0.00196,,,,,,,,
526,2011-12-25,0.00234,,,,,,,,
527,2011-12-26,0.00246,,,,,,,,
528,2011-12-27,0.00239,,,,,,,,
529,2011-12-28,0.00268,,,,,,,,
530,2011-12-29,0.00343,,,,,,,,
531,2011-12-30,0.00286,,,,,,,,
532,2011-12-31,0.00355,,,,,,,,
533,2012-01-01,0.00365,,,,,,,,
534,2012-01-02,0.00553,,,,,,,,
535,2012-01-03,0.00481,,,,,,,,
536,2012-01-04,0.0133,,,,,,,,
537,2012-01-05,0.00521,,,,,,,,
538,2012-01-06,0.00684,,,,,,,,
539,2012-01-07,0.00529,,,,,,,,
540,2012-01-08,0.00415,,,,,,,,
541,2012-01-09,0.00718,,,,,,,,
542,2012-01-10,0.00475,,,,,,,,
543,2012-01-11,0.00545,,,,,,,,
544,2012-01-12,0.0432,,,,,,,,
545,2012-01-13,0.00963,,,,,,,,
546,2012-01-14,0.0126,,,,,,,,
547,2012-01-15,0.015,,,,,,,,
548,2012-01-16,0.0393,,,,,,,,
549,2012-01-17,0.00712,,,,,,,,
550,2012-01-18,0.00954,,,,,,,,
551,2012-01-19,0.025,,,,,,,,
552,2012-01-20,0.024,,,,,,,,
553,2012-01-21,0.00488,,,,,,,,
554,2012-01-22,0.00366,,,,,,,,
555,2012-01-23,0.0053,,,,,,,,
556,2012-01-24,0.00865,,,,,,,,
557,2012-01-25,0.00591,,,,,,,,
558,2012-01-26,0.00772,,,,,,,,
559,2012-01-27,0.0197,,,,,,,,
560,2012-01-28,0.0086,,,,,,,,
561,2012-01-29,0.194,,,,,,,,
562,2012-01-30,0.0265,,,,,,,,
563,2012-01-31,0.00582,,,,,,,,
564,2012-02-01,0.00434,,,,,,,,
565,2012-02-02,0.0101,,,,,,,,
566,2012-02-03,0.00604,,,,,,,,
567,2012-02-04,0.00726,,,,,,,,
568,2012-02-05,0.00371,,,,,,,,
569,2012-02-06,0.00398,,,,,,,,
570,2012-02-07,0.0054,,,,,,,,
571,2012-02-08,0.0042,,,,,,,,
572,2012-02-09,0.00577,,,,,,,,
573,2012-02-10,0.00295,,,,,,,,
574,2012-02-11,0.00299,,,,,,,,
575,2012-02-12,0.00314,,,,,,,,
576,2012-02-13,0.0036,,,,,,,,
577,2012-02-14,0.00804,,,,,,,,
578,2012-02-15,0.00291,,,,,,,,
579,2012-02-16,0.00459,,,,,,,,
580,2012-02-17,0.00236,,,,,,,,
581,2012-02-18,0.00227,,,,,,,,
582,2012-02-19,0.00197,,,,,,,,
583,2012-02-20,0.0029,,,,,,,,
584,2012-02-21,0.00236,,,,,,,,
585,2012-02-22,0.00211,,,,,,,,
586,2012-02-23,0.00302,,,,,,,,
587,2012-02-24,0.00327,,,,,,,,
588,2012-02-25,0.00249,,,,,,,,
589,2012-02-26,0.00293,,,,,,,,
590,2012-02-27,0.00425,,,,,,,,
591,2012-02-28,0.00288,,,,,,,,
592,2012-02-29,0.00253,,,,,,,,
593,2012-03-01,0.00493,,,,,,,,
594,2012-03-02,0.00289,,,,,,,,
595,2012-03-03,0.00227,,,,,,,,
596,2012-03-04,0.00353,,,,,,,,
597,2012-03-05,0.00372,,,,,,,,
598,2012-03-06,0.00388,,,,,,,,
599,2012-03-07,0.00308,,,,,,,,
600,2012-03-08,0.0031,,,,,,,,
601,2012-03-09,0.0032,,,,,,,,
602,2012-03-10,0.00408,,,,,,,,
603,2012-03-11,0.00278,,,,,,,,
604,2012-03-12,0.00309,,,,,,,,
605,2012-03-13,0.00795,,,,,,,,
606,2012-03-14,0.00409,,,,,,,,
607,2012-03-15,0.00314,,,,,,,,
608,2012-03-16,0.00695,,,,,,,,
609,2012-03-17,0.0028,,,,,,,,
610,2012-03-18,0.00288,,,,,,,,
611,2012-03-19,0.00323,,,,,,,,
612,2012-03-20,0.00343,,,,,,,,
613,2012-03-21,0.00238,,,,,,,,
614,2012-03-22,0.0025,,,,,,,,
615,2012-03-23,0.0033,,,,,,,,
616,2012-03-24,0.0113,,,,,,,,
617,2012-03-25,0.00526,,,,,,,,
618,2012-03-26,0.00246,,,,,,,,
619,2012-03-27,0.00309,,,,,,,,
620,2012-03-28,0.00335,,,,,,,,
621,2012-03-29,0.0029,,,,,,,,
622,2012-03-30,0.00318,,,,,,,,
623,2012-03-31,0.00366,,,,,,,,
624,2012-04-01,0.00342,,,,,,,,
625,2012-04-02,0.00321,,,,,,,,
626,2012-04-03,0.00331,,,,,,,,
