,Time,BTC_Median_Transaction_Fee_USD,ETH_Median_Transaction_Fee_USD,XRP_Median_Transaction_Fee_USD,DOGE_Median_Transaction_Fee_USD,LTC_Median_Transaction_Fee_USD,BCH_Median_Transaction_Fee_USD,XMR_Median_Transaction_Fee_USD,DASH_Median_Transaction_Fee_USD,ZEC_Median_Transaction_Fee_USD
0,2010-07-17,,,,,,,,,
1,2010-07-18,,,,,,,,,
2,2010-07-19,,,,,,,,,
3,2010-07-20,,,,,,,,,
4,2010-07-21,,,,,,,,,
5,2010-07-22,,,,,,,,,
6,2010-07-23,,,,,,,,,
7,2010-07-24,,,,,,,,,
8,2010-07-25,,,,,,,,,
9,2010-07-26,,,,,,,,,
10,2010-07-27,,,,,,,,,
11,2010-07-28,,,,,,,,,
12,2010-07-29,,,,,,,,,
13,2010-07-30,,,,,,,,,
14,2010-07-31,,,,,,,,,
15,2010-08-01,,,,,,,,,
16,2010-08-02,,,,,,,,,
17,2010-08-03,,,,,,,,,
18,2010-08-04,,,,,,,,,
19,2010-08-05,,,,,,,,,
20,2010-08-06,,,,,,,,,
21,2010-08-07,,,,,,,,,
22,2010-08-08,,,,,,,,,
23,2010-08-09,,,,,,,,,
24,2010-08-10,,,,,,,,,
25,2010-08-11,,,,,,,,,
26,2010-08-12,,,,,,,,,
27,2010-08-13,,,,,,,,,
28,2010-08-14,,,,,,,,,
29,2010-08-15,,,,,,,,,
30,2010-08-16,,,,,,,,,
31,2010-08-17,,,,,,,,,
32,2010-08-18,,,,,,,,,
33,2010-08-19,,,,,,,,,
34,2010-08-20,,,,,,,,,
35,2010-08-21,,,,,,,,,
36,2010-08-22,,,,,,,,,
37,2010-08-23,,,,,,,,,
38,2010-08-24,,,,,,,,,
39,2010-08-25,,,,,,,,,
40,2010-08-26,,,,,,,,,
41,2010-08-27,,,,,,,,,
42,2010-08-28,,,,,,,,,
43,2010-08-29,,,,,,,,,
44,2010-08-30,,,,,,,,,
45,2010-08-31,,,,,,,,,
46,2010-09-01,,,,,,,,,
47,2010-09-02,,,,,,,,,
48,2010-09-03,,,,,,,,,
49,2010-09-04,,,,,,,,,
50,2010-09-05,,,,,,,,,
51,2010-09-06,,,,,,,,,
52,2010-09-07,,,,,,,,,
53,2010-09-08,,,,,,,,,
54,2010-09-09,,,,,,,,,
55,2010-09-10,,,,,,,,,
56,2010-09-11,,,,,,,,,
57,2010-09-12,,,,,,,,,
58,2010-09-13,,,,,,,,,
59,2010-09-14,,,,,,,,,
60,2010-09-15,,,,,,,,,
61,2010-09-16,,,,,,,,,
62,2010-09-17,,,,,,,,,
63,2010-09-18,,,,,,,,,
64,2010-09-19,,,,,,,,,
65,2010-09-20,,,,,,,,,
66,2010-09-21,,,,,,,,,
67,2010-09-22,,,,,,,,,
68,2010-09-23,,,,,,,,,
69,2010-09-24,,,,,,,,,
70,2010-09-25,,,,,,,,,
71,2010-09-26,,,,,,,,,
72,2010-09-27,,,,,,,,,
73,2010-09-28,,,,,,,,,
74,2010-09-29,,,,,,,,,
75,2010-09-30,,,,,,,,,
76,2010-10-01,,,,,,,,,
77,2010-10-02,,,,,,,,,
78,2010-10-03,,,,,,,,,
79,2010-10-04,,,,,,,,,
80,2010-10-05,,,,,,,,,
81,2010-10-06,,,,,,,,,
82,2010-10-07,,,,,,,,,
83,2010-10-08,,,,,,,,,
84,2010-10-09,,,,,,,,,
85,2010-10-10,,,,,,,,,
86,2010-10-11,,,,,,,,,
87,2010-10-12,,,,,,,,,
