,Time,BTC_Average_Transaction_Value_USD,ETH_Average_Transaction_Value_USD,XRP_Average_Transaction_Value_USD,DOGE_Average_Transaction_Value_USD,LTC_Average_Transaction_Value_USD,BCH_Average_Transaction_Value_USD,XMR_Average_Transaction_Value_USD,DASH_Average_Transaction_Value_USD,ZEC_Average_Transaction_Value_USD
228,2011-03-02,1128.0,,,,,,,,
229,2011-03-03,66.091,,,,,,,,
230,2011-03-04,138.2,,,,,,,,
231,2011-03-05,56.976,,,,,,,,
232,2011-03-06,81.53,,,,,,,,
233,2011-03-07,94.402,,,,,,,,
234,2011-03-08,66.957,,,,,,,,
235,2011-03-09,114.397,,,,,,,,
236,2011-03-10,183.206,,,,,,,,
237,2011-03-11,116.334,,,,,,,,
238,2011-03-12,47.597,,,,,,,,
239,2011-03-13,67.827,,,,,,,,
240,2011-03-14,70.214,,,,,,,,
241,2011-03-15,37.574,,,,,,,,
242,2011-03-16,41.686,,,,,,,,
243,2011-03-17,39.819,,,,,,,,
244,2011-03-18,59.99,,,,,,,,
245,2011-03-19,28.792,,,,,,,,
246,2011-03-20,25.667,,,,,,,,
247,2011-03-21,19.666,,,,,,,,
248,2011-03-22,71.708,,,,,,,,
249,2011-03-23,46.224,,,,,,,,
250,2011-03-24,98.837,,,,,,,,
251,2011-03-25,124.882,,,,,,,,
252,2011-03-26,83.229,,,,,,,,
253,2011-03-27,48.595,,,,,,,,
254,2011-03-28,37.424,,,,,,,,
255,2011-03-29,32.232,,,,,,,,
256,2011-03-30,55.044,,,,,,,,
257,2011-03-31,51.553,,,,,,,,
258,2011-04-01,38.544,,,,,,,,
259,2011-04-02,41.743,,,,,,,,
260,2011-04-03,35.201,,,,,,,,
261,2011-04-04,45.428,,,,,,,,
262,2011-04-05,39.615,,,,,,,,
263,2011-04-06,34.327,,,,,,,,
264,2011-04-07,49.533,,,,,,,,
265,2011-04-08,54.447,,,,,,,,
266,2011-04-09,60.462,,,,,,,,
267,2011-04-10,36.238,,,,,,,,
268,2011-04-11,33.722,,,,,,,,
269,2011-04-12,54.57,,,,,,,,
270,2011-04-13,66.905,,,,,,,,
271,2011-04-14,49.075,,,,,,,,
272,2011-04-15,49.839,,,,,,,,
273,2011-04-16,162.288,,,,,,,,
274,2011-04-17,622.288,,,,,,,,
275,2011-04-18,48.663,,,,,,,,
276,2011-04-19,868.625,,,,,,,,
277,2011-04-20,1873.0,,,,,,,,
278,2011-04-21,265.133,,,,,,,,
279,2011-04-22,98.508,,,,,,,,
280,2011-04-23,111.119,,,,,,,,
281,2011-04-24,76.705,,,,,,,,
282,2011-04-25,60.262,,,,,,,,
283,2011-04-26,87.003,,,,,,,,
284,2011-04-27,99.483,,,,,,,,
285,2011-04-28,100.28,,,,,,,,
286,2011-04-29,559.394,,,,,,,,
287,2011-04-30,290.515,,,,,,,,
288,2011-05-01,134.296,,,,,,,,
289,2011-05-02,121.637,,,,,,,,
290,2011-05-03,211.643,,,,,,,,
291,2011-05-04,343.856,,,,,,,,
292,2011-05-05,154.451,,,,,,,,
293,2011-05-06,289.59,,,,,,,,
294,2011-05-07,202.51,,,,,,,,
295,2011-05-08,686.358,,,,,,,,
296,2011-05-09,166.506,,,,,,,,
297,2011-05-10,866.511,,,,,,,,
298,2011-05-11,322.252,,,,,,,,
299,2011-05-12,364.636,,,,,,,,
300,2011-05-13,808.747,,,,,,,,
301,2011-05-14,3101.0,,,,,,,,
302,2011-05-15,578.231,,,,,,,,
303,2011-05-16,480.441,,,,,,,,
304,2011-05-17,365.025,,,,,,,,
305,2011-05-18,228.173,,,,,,,,
306,2011-05-19,263.062,,,,,,,,
307,2011-05-20,446.433,,,,,,,,
308,2011-05-21,785.14,,,,,,,,
309,2011-05-22,1067.0,,,,,,,,
310,2011-05-23,551.964,,,,,,,,
311,2011-05-24,440.17,,,,,,,,
312,2011-05-25,484.642,,,,,,,,
313,2011-05-26,505.188,,,,,,,,
314,2011-05-27,950.378,,,,,,,,
315,2011-05-28,378.074,,,,,,,,
316,2011-05-29,467.276,,,,,,,,
317,2011-05-30,434.997,,,,,,,,
318,2011-05-31,405.166,,,,,,,,
319,2011-06-01,380.192,,,,,,,,
320,2011-06-02,500.788,,,,,,,,
321,2011-06-03,902.489,,,,,,,,
322,2011-06-04,891.803,,,,,,,,
323,2011-06-05,1149.0,,,,,,,,
324,2011-06-06,1503.0,,,,,,,,
325,2011-06-07,1232.0,,,,,,,,
326,2011-06-08,1787.0,,,,,,,,
327,2011-06-09,1864.0,,,,,,,,
328,2011-06-10,2162.0,,,,,,,,
329,2011-06-11,2613.0,,,,,,,,
330,2011-06-12,2447.0,,,,,,,,
331,2011-06-13,2163.0,,,,,,,,
332,2011-06-14,2121.0,,,,,,,,
333,2011-06-15,6503.0,,,,,,,,
334,2011-06-16,12545.0,,,,,,,,
335,2011-06-17,2267.0,,,,,,,,
336,2011-06-18,1788.0,,,,,,,,
337,2011-06-19,6833.0,,,,,,,,
338,2011-06-20,2017.0,,,,,,,,
339,2011-06-21,5800.0,,,,,,,,
340,2011-06-22,1951.0,,,,,,,,
341,2011-06-23,2648.0,,,,,,,,
342,2011-06-24,7432.0,,,,,,,,
343,2011-06-25,18798.0,,,,,,,,
344,2011-06-26,6877.0,,,,,,,,
345,2011-06-27,2641.0,,,,,,,,
346,2011-06-28,10789.0,,,,,,,,
347,2011-06-29,4692.0,,,,,,,,
348,2011-06-30,2559.0,,,,,,,,
349,2011-07-01,1646.0,,,,,,,,
350,2011-07-02,1663.0,,,,,,,,
351,2011-07-03,1051.0,,,,,,,,
352,2011-07-04,2067.0,,,,,,,,
353,2011-07-05,608.928,,,,,,,,
354,2011-07-06,749.165,,,,,,,,
355,2011-07-07,747.59,,,,,,,,
356,2011-07-08,519.796,,,,,,,,
357,2011-07-09,3793.0,,,,,,,,
358,2011-07-10,4230.0,,,,,,,,
359,2011-07-11,1392.0,,,,,,,,
360,2011-07-12,1849.0,,,,,,,,
361,2011-07-13,2171.0,,,,,,,,
362,2011-07-14,3087.0,,,,,,,,
363,2011-07-15,1038.0,,,,,,,,
364,2011-07-16,1935.0,,,,,,,,
365,2011-07-17,902.338,,,,,,,,
366,2011-07-18,4899.0,,,,,,,,
367,2011-07-19,4067.0,,,,,,,,
368,2011-07-20,845.009,,,,,,,,
369,2011-07-21,2231.0,,,,,,,,
370,2011-07-22,2356.0,,,,,,,,
371,2011-07-23,1115.0,,,,,,,,
372,2011-07-24,911.642,,,,,,,,
373,2011-07-25,2118.0,,,,,,,,
374,2011-07-26,1967.0,,,,,,,,
375,2011-07-27,2206.0,,,,,,,,
376,2011-07-28,5721.0,,,,,,,,
377,2011-07-29,1272.0,,,,,,,,
378,2011-07-30,706.627,,,,,,,,
379,2011-07-31,986.422,,,,,,,,
380,2011-08-01,872.598,,,,,,,,
381,2011-08-02,566.886,,,,,,,,
382,2011-08-03,561.865,,,,,,,,
383,2011-08-04,384.479,,,,,,,,
384,2011-08-05,688.194,,,,,,,,
385,2011-08-06,452.152,,,,,,,,
386,2011-08-07,392.033,,,,,,,,
387,2011-08-08,1121.0,,,,,,,,
388,2011-08-09,2394.0,,,,,,,,
389,2011-08-10,1365.0,,,,,,,,
390,2011-08-11,623.265,,,,,,,,
391,2011-08-12,447.14,,,,,,,,
392,2011-08-13,402.83,,,,,,,,
393,2011-08-14,628.087,,,,,,,,
394,2011-08-15,436.699,,,,,,,,
395,2011-08-16,414.119,,,,,,,,
396,2011-08-17,457.454,,,,,,,,
397,2011-08-18,588.627,,,,,,,,
398,2011-08-19,820.951,,,,,,,,
399,2011-08-20,360.928,,,,,,,,
400,2011-08-21,360.597,,,,,,,,
401,2011-08-22,388.206,,,,,,,,
402,2011-08-23,660.126,,,,,,,,
403,2011-08-24,827.748,,,,,,,,
404,2011-08-25,529.081,,,,,,,,
405,2011-08-26,333.675,,,,,,,,
406,2011-08-27,3566.0,,,,,,,,
407,2011-08-28,289.826,,,,,,,,
408,2011-08-29,264.308,,,,,,,,
409,2011-08-30,269.554,,,,,,,,
410,2011-08-31,307.733,,,,,,,,
411,2011-09-01,374.551,,,,,,,,
412,2011-09-02,304.465,,,,,,,,
413,2011-09-03,323.362,,,,,,,,
414,2011-09-04,1993.0,,,,,,,,
415,2011-09-05,2530.0,,,,,,,,
416,2011-09-06,2910.0,,,,,,,,
417,2011-09-07,623.566,,,,,,,,
418,2011-09-08,410.357,,,,,,,,
419,2011-09-09,313.814,,,,,,,,
420,2011-09-10,216.668,,,,,,,,
421,2011-09-11,836.799,,,,,,,,
422,2011-09-12,567.384,,,,,,,,
423,2011-09-13,319.421,,,,,,,,
424,2011-09-14,272.437,,,,,,,,
425,2011-09-15,235.412,,,,,,,,
426,2011-09-16,520.15,,,,,,,,
427,2011-09-17,305.511,,,,,,,,
428,2011-09-18,242.092,,,,,,,,
429,2011-09-19,263.149,,,,,,,,
430,2011-09-20,246.204,,,,,,,,
431,2011-09-21,297.141,,,,,,,,
432,2011-09-22,273.829,,,,,,,,
433,2011-09-23,293.507,,,,,,,,
434,2011-09-24,216.923,,,,,,,,
435,2011-09-25,271.784,,,,,,,,
436,2011-09-26,251.858,,,,,,,,
437,2011-09-27,339.604,,,,,,,,
438,2011-09-28,282.085,,,,,,,,
439,2011-09-29,280.101,,,,,,,,
440,2011-09-30,241.585,,,,,,,,
441,2011-10-01,390.958,,,,,,,,
442,2011-10-02,315.865,,,,,,,,
443,2011-10-03,309.357,,,,,,,,
444,2011-10-04,355.575,,,,,,,,
445,2011-10-05,340.927,,,,,,,,
446,2011-10-06,429.657,,,,,,,,
447,2011-10-07,298.914,,,,,,,,
448,2011-10-08,213.46,,,,,,,,
449,2011-10-09,221.245,,,,,,,,
450,2011-10-10,216.812,,,,,,,,
451,2011-10-11,221.294,,,,,,,,
452,2011-10-12,214.464,,,,,,,,
453,2011-10-13,246.914,,,,,,,,
454,2011-10-14,177.974,,,,,,,,
455,2011-10-15,264.075,,,,,,,,
456,2011-10-16,189.681,,,,,,,,
457,2011-10-17,254.033,,,,,,,,
458,2011-10-18,172.282,,,,,,,,
459,2011-10-19,137.95,,,,,,,,
460,2011-10-20,144.758,,,,,,,,
461,2011-10-21,265.405,,,,,,,,
462,2011-10-22,315.681,,,,,,,,
463,2011-10-23,314.991,,,,,,,,
464,2011-10-24,173.762,,,,,,,,
465,2011-10-25,189.964,,,,,,,,
466,2011-10-26,222.246,,,,,,,,
467,2011-10-27,312.815,,,,,,,,
468,2011-10-28,272.687,,,,,,,,
469,2011-10-29,261.745,,,,,,,,
470,2011-10-30,142.45,,,,,,,,
471,2011-10-31,240.989,,,,,,,,
472,2011-11-01,295.157,,,,,,,,
473,2011-11-02,214.5,,,,,,,,
474,2011-11-03,178.898,,,,,,,,
475,2011-11-04,188.712,,,,,,,,
476,2011-11-05,145.967,,,,,,,,
477,2011-11-06,131.023,,,,,,,,
478,2011-11-07,142.57,,,,,,,,
479,2011-11-08,561.113,,,,,,,,
480,2011-11-09,453.549,,,,,,,,
481,2011-11-10,157.725,,,,,,,,
482,2011-11-11,174.046,,,,,,,,
483,2011-11-12,154.582,,,,,,,,
484,2011-11-13,136.187,,,,,,,,
485,2011-11-14,154.44,,,,,,,,
486,2011-11-15,131.183,,,,,,,,
487,2011-11-16,818.93,,,,,,,,
488,2011-11-17,1590.0,,,,,,,,
489,2011-11-18,2115.0,,,,,,,,
490,2011-11-19,1838.0,,,,,,,,
491,2011-11-20,658.191,,,,,,,,
492,2011-11-21,795.628,,,,,,,,
493,2011-11-22,1508.0,,,,,,,,
494,2011-11-23,650.744,,,,,,,,
495,2011-11-24,716.677,,,,,,,,
496,2011-11-25,487.471,,,,,,,,
497,2011-11-26,829.582,,,,,,,,
498,2011-11-27,877.773,,,,,,,,
499,2011-11-28,1700.0,,,,,,,,
500,2011-11-29,1628.0,,,,,,,,
501,2011-11-30,2743.0,,,,,,,,
502,2011-12-01,1008.0,,,,,,,,
503,2011-12-02,2679.0,,,,,,,,
504,2011-12-03,1835.0,,,,,,,,
505,2011-12-04,1536.0,,,,,,,,
506,2011-12-05,1355.0,,,,,,,,
507,2011-12-06,2554.0,,,,,,,,
508,2011-12-07,2748.0,,,,,,,,
509,2011-12-08,2352.0,,,,,,,,
510,2011-12-09,1069.0,,,,,,,,
511,2011-12-10,594.772,,,,,,,,
512,2011-12-11,516.972,,,,,,,,
513,2011-12-12,482.803,,,,,,,,
514,2011-12-13,206.641,,,,,,,,
515,2011-12-14,239.539,,,,,,,,
516,2011-12-15,292.82,,,,,,,,
517,2011-12-16,296.167,,,,,,,,
518,2011-12-17,228.765,,,,,,,,
519,2011-12-18,224.095,,,,,,,,
520,2011-12-19,274.212,,,,,,,,
521,2011-12-20,311.84,,,,,,,,
522,2011-12-21,400.722,,,,,,,,
523,2011-12-22,285.672,,,,,,,,
524,2011-12-23,182.487,,,,,,,,
525,2011-12-24,259.852,,,,,,,,
526,2011-12-25,230.098,,,,,,,,
527,2011-12-26,508.43,,,,,,,,
528,2011-12-27,517.971,,,,,,,,
529,2011-12-28,227.561,,,,,,,,
530,2011-12-29,402.994,,,,,,,,
531,2011-12-30,231.763,,,,,,,,
532,2011-12-31,229.61,,,,,,,,
533,2012-01-01,338.694,,,,,,,,
534,2012-01-02,247.02,,,,,,,,
535,2012-01-03,229.806,,,,,,,,
536,2012-01-04,358.591,,,,,,,,
537,2012-01-05,611.541,,,,,,,,
538,2012-01-06,620.578,,,,,,,,
539,2012-01-07,354.654,,,,,,,,
540,2012-01-08,379.945,,,,,,,,
541,2012-01-09,483.58,,,,,,,,
542,2012-01-10,366.895,,,,,,,,
543,2012-01-11,359.723,,,,,,,,
544,2012-01-12,364.095,,,,,,,,
545,2012-01-13,388.48,,,,,,,,
546,2012-01-14,326.91,,,,,,,,
547,2012-01-15,292.813,,,,,,,,
548,2012-01-16,419.834,,,,,,,,
549,2012-01-17,394.595,,,,,,,,
550,2012-01-18,320.321,,,,,,,,
551,2012-01-19,352.06,,,,,,,,
552,2012-01-20,338.33,,,,,,,,
553,2012-01-21,297.86,,,,,,,,
554,2012-01-22,316.674,,,,,,,,
555,2012-01-23,291.284,,,,,,,,
556,2012-01-24,328.6,,,,,,,,
557,2012-01-25,314.106,,,,,,,,
558,2012-01-26,349.9,,,,,,,,
559,2012-01-27,296.8,,,,,,,,
560,2012-01-28,228.595,,,,,,,,
561,2012-01-29,293.616,,,,,,,,
562,2012-01-30,287.085,,,,,,,,
563,2012-01-31,267.624,,,,,,,,
564,2012-02-01,382.434,,,,,,,,
565,2012-02-02,313.123,,,,,,,,
566,2012-02-03,323.254,,,,,,,,
567,2012-02-04,292.869,,,,,,,,
568,2012-02-05,289.317,,,,,,,,
569,2012-02-06,287.536,,,,,,,,
570,2012-02-07,250.446,,,,,,,,
571,2012-02-08,243.03,,,,,,,,
572,2012-02-09,205.56,,,,,,,,
573,2012-02-10,219.679,,,,,,,,
574,2012-02-11,337.618,,,,,,,,
575,2012-02-12,252.33,,,,,,,,
576,2012-02-13,284.506,,,,,,,,
577,2012-02-14,689.578,,,,,,,,
578,2012-02-15,629.712,,,,,,,,
579,2012-02-16,719.35,,,,,,,,
580,2012-02-17,620.644,,,,,,,,
581,2012-02-18,460.179,,,,,,,,
582,2012-02-19,280.441,,,,,,,,
583,2012-02-20,295.475,,,,,,,,
584,2012-02-21,261.233,,,,,,,,
585,2012-02-22,471.169,,,,,,,,
586,2012-02-23,403.977,,,,,,,,
587,2012-02-24,416.78,,,,,,,,
588,2012-02-25,321.678,,,,,,,,
589,2012-02-26,282.828,,,,,,,,
590,2012-02-27,270.883,,,,,,,,
591,2012-02-28,270.697,,,,,,,,
592,2012-02-29,238.51,,,,,,,,
593,2012-03-01,472.397,,,,,,,,
594,2012-03-02,352.693,,,,,,,,
595,2012-03-03,343.156,,,,,,,,
596,2012-03-04,485.758,,,,,,,,
597,2012-03-05,262.607,,,,,,,,
598,2012-03-06,278.309,,,,,,,,
599,2012-03-07,279.837,,,,,,,,
600,2012-03-08,386.982,,,,,,,,
601,2012-03-09,443.995,,,,,,,,
602,2012-03-10,347.158,,,,,,,,
603,2012-03-11,396.098,,,,,,,,
604,2012-03-12,477.05,,,,,,,,
605,2012-03-13,361.704,,,,,,,,
606,2012-03-14,467.58,,,,,,,,
607,2012-03-15,415.215,,,,,,,,
608,2012-03-16,386.031,,,,,,,,
609,2012-03-17,352.975,,,,,,,,
610,2012-03-18,322.779,,,,,,,,
611,2012-03-19,337.901,,,,,,,,
612,2012-03-20,344.384,,,,,,,,
613,2012-03-21,349.839,,,,,,,,
614,2012-03-22,543.634,,,,,,,,
615,2012-03-23,683.287,,,,,,,,
616,2012-03-24,596.395,,,,,,,,
617,2012-03-25,308.994,,,,,,,,
618,2012-03-26,365.496,,,,,,,,
619,2012-03-27,401.471,,,,,,,,
620,2012-03-28,453.845,,,,,,,,
621,2012-03-29,762.98,,,,,,,,
622,2012-03-30,694.395,,,,,,,,
623,2012-03-31,689.527,,,,,,,,
624,2012-04-01,537.272,,,,,,,,
625,2012-04-02,525.513,,,,,,,,
626,2012-04-03,524.203,,,,,,,,
627,2012-04-04,525.083,,,,,,,,
628,2012-04-05,656.572,,,,,,,,
629,2012-04-06,431.023,,,,,,,,
630,2012-04-07,270.262,,,,,,,,
631,2012-04-08,1006.0,,,,,,,,
632,2012-04-09,1194.0,,,,,,,,
633,2012-04-10,471.619,,,,,,,,
634,2012-04-11,939.157,,,,,,,,
635,2012-04-12,759.877,,,,,,,,
636,2012-04-13,580.407,,,,,,,,
637,2012-04-14,610.79,,,,,,,,
638,2012-04-15,857.173,,,,,,,,
639,2012-04-16,930.577,,,,,,,,
640,2012-04-17,720.944,,,,,,,,
641,2012-04-18,607.82,,,,,,,,
642,2012-04-19,445.409,,,,,,,,
643,2012-04-20,1808.0,,,,,,,,
644,2012-04-21,903.036,,,,,,,,
645,2012-04-22,780.267,,,,,,,,
