,Time,BTC_Sent_Coins_USD,ETH_Sent_Coins_USD,XRP_Sent_Coins_USD,DOGE_Sent_Coins_USD,LTC_Sent_Coins_USD,BCH_Sent_Coins_USD,XMR_Sent_Coins_USD,DASH_Sent_Coins_USD,ZEC_Sent_Coins_USD
0,2010-07-17,1193.0,,,,,,,,
1,2010-07-18,2612.0,,,,,,,,
2,2010-07-19,4047.0,,,,,,,,
3,2010-07-20,2341.0,,,,,,,,
4,2010-07-21,2122.0,,,,,,,,
5,2010-07-22,2570.0,,,,,,,,
6,2010-07-23,1166.0,,,,,,,,
7,2010-07-24,2540.0,,,,,,,,
8,2010-07-25,2493.0,,,,,,,,
9,2010-07-26,4608.0,,,,,,,,
10,2010-07-27,1850.0,,,,,,,,
11,2010-07-28,4012.0,,,,,,,,
12,2010-07-29,1230.0,,,,,,,,
13,2010-07-30,1336.0,,,,,,,,
14,2010-07-31,1025.0,,,,,,,,
15,2010-08-01,16490.0,,,,,,,,
16,2010-08-02,3893.0,,,,,,,,
17,2010-08-03,2429.0,,,,,,,,
18,2010-08-04,2005.0,,,,,,,,
19,2010-08-05,2430.0,,,,,,,,
20,2010-08-06,1155.0,,,,,,,,
21,2010-08-07,1514.0,,,,,,,,
22,2010-08-08,616.346,,,,,,,,
23,2010-08-09,5060.0,,,,,,,,
24,2010-08-10,2337.0,,,,,,,,
25,2010-08-11,3479.0,,,,,,,,
26,2010-08-12,1083.0,,,,,,,,
27,2010-08-13,2297.0,,,,,,,,
28,2010-08-14,1063.0,,,,,,,,
29,2010-08-15,1119.0,,,,,,,,
30,2010-08-16,4352.0,,,,,,,,
31,2010-08-17,3387.0,,,,,,,,
32,2010-08-18,2580.0,,,,,,,,
33,2010-08-19,1373.0,,,,,,,,
34,2010-08-20,1955.0,,,,,,,,
35,2010-08-21,2551.0,,,,,,,,
36,2010-08-22,1337.0,,,,,,,,
37,2010-08-23,1164.0,,,,,,,,
38,2010-08-24,1370.0,,,,,,,,
39,2010-08-25,1044.0,,,,,,,,
40,2010-08-26,917.558,,,,,,,,
41,2010-08-27,1851.0,,,,,,,,
42,2010-08-28,1073.0,,,,,,,,
43,2010-08-29,553.699,,,,,,,,
44,2010-08-30,896.538,,,,,,,,
45,2010-08-31,2489.0,,,,,,,,
46,2010-09-01,1796.0,,,,,,,,
47,2010-09-02,2161.0,,,,,,,,
48,2010-09-03,1819.0,,,,,,,,
49,2010-09-04,1856.0,,,,,,,,
50,2010-09-05,8510.0,,,,,,,,
51,2010-09-06,4699.0,,,,,,,,
52,2010-09-07,1118.0,,,,,,,,
53,2010-09-08,1085.0,,,,,,,,
54,2010-09-09,2088.0,,,,,,,,
55,2010-09-10,870.212,,,,,,,,
56,2010-09-11,641.512,,,,,,,,
57,2010-09-12,1147.0,,,,,,,,
58,2010-09-13,7275.0,,,,,,,,
59,2010-09-14,1878.0,,,,,,,,
60,2010-09-15,2453.0,,,,,,,,
61,2010-09-16,2141.0,,,,,,,,
62,2010-09-17,4514.0,,,,,,,,
63,2010-09-18,2617.0,,,,,,,,
64,2010-09-19,3160.0,,,,,,,,
65,2010-09-20,2580.0,,,,,,,,
66,2010-09-21,1742.0,,,,,,,,
67,2010-09-22,2782.0,,,,,,,,
68,2010-09-23,7875.0,,,,,,,,
69,2010-09-24,1202.0,,,,,,,,
70,2010-09-25,1860.0,,,,,,,,
71,2010-09-26,1394.0,,,,,,,,
72,2010-09-27,2073.0,,,,,,,,
73,2010-09-28,5057.0,,,,,,,,
74,2010-09-29,5810.0,,,,,,,,
75,2010-09-30,2573.0,,,,,,,,
76,2010-10-01,3609.0,,,,,,,,
77,2010-10-02,22430.0,,,,,,,,
78,2010-10-03,4640.0,,,,,,,,
79,2010-10-04,34053.0,,,,,,,,
80,2010-10-05,11895.0,,,,,,,,
81,2010-10-06,7552.0,,,,,,,,
82,2010-10-07,8292.0,,,,,,,,
83,2010-10-08,11781.0,,,,,,,,
84,2010-10-09,16413.0,,,,,,,,
85,2010-10-10,11204.0,,,,,,,,
86,2010-10-11,5102.0,,,,,,,,
87,2010-10-12,7374.0,,,,,,,,
88,2010-10-13,11254.0,,,,,,,,
89,2010-10-14,18369.0,,,,,,,,
90,2010-10-15,15013.0,,,,,,,,
91,2010-10-16,19918.0,,,,,,,,
92,2010-10-17,11066.0,,,,,,,,
93,2010-10-18,22342.0,,,,,,,,
94,2010-10-19,26165.0,,,,,,,,
95,2010-10-20,19866.0,,,,,,,,
96,2010-10-21,19022.0,,,,,,,,
97,2010-10-22,13623.0,,,,,,,,
98,2010-10-23,4606.0,,,,,,,,
99,2010-10-24,11685.0,,,,,,,,
100,2010-10-25,16656.0,,,,,,,,
101,2010-10-26,25686.0,,,,,,,,
102,2010-10-27,34177.0,,,,,,,,
103,2010-10-28,33547.0,,,,,,,,
104,2010-10-29,15920.0,,,,,,,,
105,2010-10-30,11303.0,,,,,,,,
106,2010-10-31,12543.0,,,,,,,,
107,2010-11-01,8198.0,,,,,,,,
108,2010-11-02,12061.0,,,,,,,,
109,2010-11-03,11023.0,,,,,,,,
110,2010-11-04,33615.0,,,,,,,,
111,2010-11-05,9874.0,,,,,,,,
112,2010-11-06,41250.0,,,,,,,,
113,2010-11-07,36350.0,,,,,,,,
114,2010-11-08,147061.0,,,,,,,,
115,2010-11-09,12260.0,,,,,,,,
116,2010-11-10,13173.0,,,,,,,,
117,2010-11-11,9427.0,,,,,,,,
118,2010-11-12,8374.0,,,,,,,,
119,2010-11-13,10727.0,,,,,,,,
120,2010-11-14,9828.0,,,,,,,,
121,2010-11-15,71680.0,,,,,,,,
122,2010-11-16,25653.0,,,,,,,,
123,2010-11-17,14059.0,,,,,,,,
124,2010-11-18,14560.0,,,,,,,,
125,2010-11-19,14856.0,,,,,,,,
126,2010-11-20,44762.0,,,,,,,,
127,2010-11-21,34823.0,,,,,,,,
128,2010-11-22,8797.0,,,,,,,,
129,2010-11-23,12053.0,,,,,,,,
130,2010-11-24,10919.0,,,,,,,,
131,2010-11-25,14232.0,,,,,,,,
132,2010-11-26,25099.0,,,,,,,,
133,2010-11-27,6888.0,,,,,,,,
134,2010-11-28,6714.0,,,,,,,,
135,2010-11-29,8827.0,,,,,,,,
136,2010-11-30,13088.0,,,,,,,,
137,2010-12-01,12027.0,,,,,,,,
138,2010-12-02,14793.0,,,,,,,,
139,2010-12-03,6910.0,,,,,,,,
140,2010-12-04,14997.0,,,,,,,,
141,2010-12-05,4392.0,,,,,,,,
142,2010-12-06,20598.0,,,,,,,,
143,2010-12-07,18528.0,,,,,,,,
144,2010-12-08,7097.0,,,,,,,,
145,2010-12-09,9051.0,,,,,,,,
146,2010-12-10,5382.0,,,,,,,,
147,2010-12-11,17203.0,,,,,,,,
148,2010-12-12,10227.0,,,,,,,,
149,2010-12-13,39314.0,,,,,,,,
150,2010-12-14,27659.0,,,,,,,,
151,2010-12-15,27336.0,,,,,,,,
152,2010-12-16,20675.0,,,,,,,,
153,2010-12-17,15425.0,,,,,,,,
154,2010-12-18,20367.0,,,,,,,,
155,2010-12-19,23922.0,,,,,,,,
