,Time,BTC_Mining_Profitability,ETH_Mining_Profitability,XRP_Mining_Profitability,DOGE_Mining_Profitability,LTC_Mining_Profitability,BCH_Mining_Profitability,XMR_Mining_Profitability,DASH_Mining_Profitability,ZEC_Mining_Profitability
0,2010-07-17,0.000154,,,,,,,,
1,2010-07-18,0.000402,,,,,,,,
2,2010-07-19,0.000481,,,,,,,,
3,2010-07-20,0.000432,,,,,,,,
4,2010-07-21,0.000461,,,,,,,,
5,2010-07-22,0.000335,,,,,,,,
6,2010-07-23,0.00032,,,,,,,,
7,2010-07-24,0.00033,,,,,,,,
8,2010-07-25,0.000321,,,,,,,,
9,2010-07-26,0.00029,,,,,,,,
10,2010-07-27,0.000198,,,,,,,,
11,2010-07-28,0.000242,,,,,,,,
12,2010-07-29,0.000278,,,,,,,,
13,2010-07-30,0.000275,,,,,,,,
14,2010-07-31,0.000298,,,,,,,,
15,2010-08-01,0.000273,,,,,,,,
16,2010-08-02,0.000248,,,,,,,,
17,2010-08-03,0.000234,,,,,,,,
18,2010-08-04,0.000264,,,,,,,,
19,2010-08-05,0.000207,,,,,,,,
20,2010-08-06,0.000143,,,,,,,,
21,2010-08-07,0.000178,,,,,,,,
22,2010-08-08,0.000191,,,,,,,,
23,2010-08-09,0.000182,,,,,,,,
24,2010-08-10,0.000198,,,,,,,,
25,2010-08-11,0.000197,,,,,,,,
26,2010-08-12,0.000193,,,,,,,,
27,2010-08-13,0.00018,,,,,,,,
28,2010-08-14,0.000222,,,,,,,,
29,2010-08-15,0.000118,,,,,,,,
30,2010-08-16,0.000127,,,,,,,,
31,2010-08-17,0.000123,,,,,,,,
32,2010-08-18,0.000138,,,,,,,,
33,2010-08-19,0.000131,,,,,,,,
34,2010-08-20,0.000155,,,,,,,,
35,2010-08-21,0.000123,,,,,,,,
36,2010-08-22,0.00014,,,,,,,,
37,2010-08-23,0.000129,,,,,,,,
38,2010-08-24,0.000129,,,,,,,,
39,2010-08-25,0.000126,,,,,,,,
40,2010-08-26,0.000124,,,,,,,,
41,2010-08-27,9.44e-05,,,,,,,,
42,2010-08-28,9.91e-05,,,,,,,,
43,2010-08-29,0.000103,,,,,,,,
44,2010-08-30,0.000103,,,,,,,,
45,2010-08-31,0.000108,,,,,,,,
46,2010-09-01,9.16e-05,,,,,,,,
47,2010-09-02,9.98e-05,,,,,,,,
48,2010-09-03,0.000101,,,,,,,,
49,2010-09-04,0.000104,,,,,,,,
50,2010-09-05,9.56e-05,,,,,,,,
51,2010-09-06,9.64e-05,,,,,,,,
52,2010-09-07,0.000103,,,,,,,,
53,2010-09-08,9.23e-05,,,,,,,,
54,2010-09-09,7.6e-05,,,,,,,,
55,2010-09-10,9.61e-05,,,,,,,,
56,2010-09-11,8.42e-05,,,,,,,,
57,2010-09-12,8.91e-05,,,,,,,,
58,2010-09-13,8.52e-05,,,,,,,,
59,2010-09-14,9.58e-05,,,,,,,,
60,2010-09-15,8.05e-05,,,,,,,,
61,2010-09-16,9.85e-05,,,,,,,,
62,2010-09-17,8.03e-05,,,,,,,,
63,2010-09-18,8.97e-05,,,,,,,,
64,2010-09-19,6.5e-05,,,,,,,,
65,2010-09-20,6.65e-05,,,,,,,,
66,2010-09-21,6.26e-05,,,,,,,,
67,2010-09-22,6.92e-05,,,,,,,,
68,2010-09-23,7.98e-05,,,,,,,,
69,2010-09-24,6.61e-05,,,,,,,,
70,2010-09-25,6.37e-05,,,,,,,,
71,2010-09-26,6.9e-05,,,,,,,,
72,2010-09-27,7.04e-05,,,,,,,,
73,2010-09-28,6.08e-05,,,,,,,,
74,2010-09-29,4.04e-05,,,,,,,,
75,2010-09-30,4.69e-05,,,,,,,,
76,2010-10-01,4.61e-05,,,,,,,,
77,2010-10-02,3.74e-05,,,,,,,,
78,2010-10-03,5.15e-05,,,,,,,,
79,2010-10-04,5.13e-05,,,,,,,,
80,2010-10-05,4.32e-05,,,,,,,,
81,2010-10-06,5.5e-05,,,,,,,,
82,2010-10-07,4.72e-05,,,,,,,,
83,2010-10-08,5.62e-05,,,,,,,,
84,2010-10-09,6.83e-05,,,,,,,,
85,2010-10-10,7.69e-05,,,,,,,,
86,2010-10-11,6.66e-05,,,,,,,,
87,2010-10-12,6.72e-05,,,,,,,,
88,2010-10-13,7.61e-05,,,,,,,,
89,2010-10-14,8.25e-05,,,,,,,,
90,2010-10-15,6.86e-05,,,,,,,,
91,2010-10-16,8.78e-05,,,,,,,,
92,2010-10-17,7.18e-05,,,,,,,,
93,2010-10-18,7.15e-05,,,,,,,,
94,2010-10-19,7.72e-05,,,,,,,,
95,2010-10-20,7.53e-05,,,,,,,,
96,2010-10-21,4.03e-05,,,,,,,,
97,2010-10-22,4.67e-05,,,,,,,,
98,2010-10-23,5.13e-05,,,,,,,,
99,2010-10-24,5.95e-05,,,,,,,,
100,2010-10-25,5.02e-05,,,,,,,,
101,2010-10-26,7.04e-05,,,,,,,,
102,2010-10-27,7.31e-05,,,,,,,,
103,2010-10-28,8.65e-05,,,,,,,,
104,2010-10-29,8.41e-05,,,,,,,,
105,2010-10-30,9.48e-05,,,,,,,,
106,2010-10-31,5.21e-05,,,,,,,,
107,2010-11-01,6.34e-05,,,,,,,,
108,2010-11-02,6.25e-05,,,,,,,,
109,2010-11-03,6.34e-05,,,,,,,,
110,2010-11-04,7.21e-05,,,,,,,,
111,2010-11-05,7.95e-05,,,,,,,,
112,2010-11-06,0.00011,,,,,,,,
113,2010-11-07,0.000132,,,,,,,,
114,2010-11-08,0.000104,,,,,,,,
115,2010-11-09,5.46e-05,,,,,,,,
116,2010-11-10,5.24e-05,,,,,,,,
117,2010-11-11,4.88e-05,,,,,,,,
118,2010-11-12,4.9e-05,,,,,,,,
119,2010-11-13,7.15e-05,,,,,,,,
120,2010-11-14,6.5e-05,,,,,,,,
121,2010-11-15,5.46e-05,,,,,,,,
122,2010-11-16,5.58e-05,,,,,,,,
123,2010-11-17,5.37e-05,,,,,,,,
124,2010-11-18,4.95e-05,,,,,,,,
125,2010-11-19,2.99e-05,,,,,,,,
126,2010-11-20,3.86e-05,,,,,,,,
127,2010-11-21,4.22e-05,,,,,,,,
128,2010-11-22,4.36e-05,,,,,,,,
129,2010-11-23,3.85e-05,,,,,,,,
130,2010-11-24,4.44e-05,,,,,,,,
131,2010-11-25,4.67e-05,,,,,,,,
132,2010-11-26,4.05e-05,,,,,,,,
133,2010-11-27,3.88e-05,,,,,,,,
134,2010-11-28,4.13e-05,,,,,,,,
135,2010-11-29,4.03e-05,,,,,,,,
136,2010-11-30,2.88e-05,,,,,,,,
137,2010-12-01,2.82e-05,,,,,,,,
138,2010-12-02,2.9e-05,,,,,,,,
139,2010-12-03,3.09e-05,,,,,,,,
140,2010-12-04,3.07e-05,,,,,,,,
141,2010-12-05,2.63e-05,,,,,,,,
142,2010-12-06,2.67e-05,,,,,,,,
143,2010-12-07,2.76e-05,,,,,,,,
144,2010-12-08,2.95e-05,,,,,,,,
145,2010-12-09,2.33e-05,,,,,,,,
146,2010-12-10,1.43e-05,,,,,,,,
147,2010-12-11,1.9e-05,,,,,,,,
148,2010-12-12,1.7e-05,,,,,,,,
149,2010-12-13,1.58e-05,,,,,,,,
150,2010-12-14,2.15e-05,,,,,,,,
151,2010-12-15,2.16e-05,,,,,,,,
152,2010-12-16,1.86e-05,,,,,,,,
153,2010-12-17,1.9e-05,,,,,,,,
154,2010-12-18,2.01e-05,,,,,,,,
155,2010-12-19,2.17e-05,,,,,,,,
156,2010-12-20,1.86e-05,,,,,,,,
157,2010-12-21,2.18e-05,,,,,,,,
158,2010-12-22,1.52e-05,,,,,,,,
159,2010-12-23,1.73e-05,,,,,,,,
160,2010-12-24,1.72e-05,,,,,,,,
161,2010-12-25,1.85e-05,,,,,,,,
162,2010-12-26,1.72e-05,,,,,,,,
163,2010-12-27,1.91e-05,,,,,,,,
164,2010-12-28,1.83e-05,,,,,,,,
165,2010-12-29,1.94e-05,,,,,,,,
166,2010-12-30,2.13e-05,,,,,,,,
167,2010-12-31,2.03e-05,,,,,,,,
168,2011-01-01,2.14e-05,,,,,,,,
169,2011-01-02,2.02e-05,,,,,,,,
170,2011-01-03,1.68e-05,,,,,,,,
171,2011-01-04,1.78e-05,,,,,,,,
172,2011-01-05,1.9e-05,,,,,,,,
173,2011-01-06,1.66e-05,,,,,,,,
174,2011-01-07,2.14e-05,,,,,,,,
175,2011-01-08,1.88e-05,,,,,,,,
176,2011-01-09,2.08e-05,,,,,,,,
177,2011-01-10,1.89e-05,,,,,,,,
178,2011-01-11,2.13e-05,,,,,,,,
179,2011-01-12,1.97e-05,,,,,,,,
180,2011-01-13,2.08e-05,,,,,,,,
181,2011-01-14,2.24e-05,,,,,,,,
182,2011-01-15,2.04e-05,,,,,,,,
183,2011-01-16,2.19e-05,,,,,,,,
184,2011-01-17,2.09e-05,,,,,,,,
185,2011-01-18,1.58e-05,,,,,,,,
186,2011-01-19,1.8e-05,,,,,,,,
187,2011-01-20,2.07e-05,,,,,,,,
188,2011-01-21,2.03e-05,,,,,,,,
189,2011-01-22,2.41e-05,,,,,,,,
190,2011-01-23,2.36e-05,,,,,,,,
191,2011-01-24,2.53e-05,,,,,,,,
192,2011-01-25,2.14e-05,,,,,,,,
193,2011-01-26,2.23e-05,,,,,,,,
194,2011-01-27,1.89e-05,,,,,,,,
195,2011-01-28,1.97e-05,,,,,,,,
196,2011-01-29,2.13e-05,,,,,,,,
197,2011-01-30,2.02e-05,,,,,,,,
198,2011-01-31,2.54e-05,,,,,,,,
199,2011-02-01,2.64e-05,,,,,,,,
200,2011-02-02,3.19e-05,,,,,,,,
201,2011-02-03,3.3e-05,,,,,,,,
202,2011-02-04,3.82e-05,,,,,,,,
203,2011-02-05,3.76e-05,,,,,,,,
204,2011-02-06,4.13e-05,,,,,,,,
205,2011-02-07,4.4e-05,,,,,,,,
206,2011-02-08,3.22e-05,,,,,,,,
207,2011-02-09,4.15e-05,,,,,,,,
208,2011-02-10,3.96e-05,,,,,,,,
209,2011-02-11,3.94e-05,,,,,,,,
210,2011-02-12,4.07e-05,,,,,,,,
211,2011-02-13,4.09e-05,,,,,,,,
212,2011-02-14,4.05e-05,,,,,,,,
213,2011-02-15,4.41e-05,,,,,,,,
214,2011-02-16,4.22e-05,,,,,,,,
215,2011-02-17,3.78e-05,,,,,,,,
216,2011-02-18,2.77e-05,,,,,,,,
217,2011-02-19,2.17e-05,,,,,,,,
218,2011-02-20,2.66e-05,,,,,,,,
219,2011-02-21,2.31e-05,,,,,,,,
220,2011-02-22,2.42e-05,,,,,,,,
221,2011-02-23,2.71e-05,,,,,,,,
222,2011-02-24,2.46e-05,,,,,,,,
