,Time,BTC_Median_Transaction_Value_USD,ETH_Median_Transaction_Value_USD,XRP_Median_Transaction_Value_USD,DOGE_Median_Transaction_Value_USD,LTC_Median_Transaction_Value_USD,BCH_Median_Transaction_Value_USD,XMR_Median_Transaction_Value_USD,DASH_Median_Transaction_Value_USD,ZEC_Median_Transaction_Value_USD
0,2010-07-17,0.248,,,,,,,,
1,2010-07-18,0.363,,,,,,,,
2,2010-07-19,0.429,,,,,,,,
3,2010-07-20,5.105,,,,,,,,
4,2010-07-21,3.837,,,,,,,,
5,2010-07-22,1.054,,,,,,,,
6,2010-07-23,0.814,,,,,,,,
7,2010-07-24,0.445,,,,,,,,
8,2010-07-25,0.458,,,,,,,,
9,2010-07-26,2.65,,,,,,,,
10,2010-07-27,0.195,,,,,,,,
11,2010-07-28,0.00297,,,,,,,,
12,2010-07-29,0.00324,,,,,,,,
13,2010-07-30,0.884,,,,,,,,
14,2010-07-31,1.341,,,,,,,,
15,2010-08-01,3.053,,,,,,,,
16,2010-08-02,3.063,,,,,,,,
17,2010-08-03,0.879,,,,,,,,
18,2010-08-04,2.984,,,,,,,,
19,2010-08-05,2.978,,,,,,,,
20,2010-08-06,0.256,,,,,,,,
21,2010-08-07,1.438,,,,,,,,
22,2010-08-08,0.151,,,,,,,,
23,2010-08-09,3.57,,,,,,,,
24,2010-08-10,3.45,,,,,,,,
25,2010-08-11,3.175,,,,,,,,
26,2010-08-12,3.45,,,,,,,,
27,2010-08-13,3.275,,,,,,,,
28,2010-08-14,3.313,,,,,,,,
29,2010-08-15,3.307,,,,,,,,
30,2010-08-16,4.602,,,,,,,,
31,2010-08-17,3.388,,,,,,,,
32,2010-08-18,3.45,,,,,,,,
33,2010-08-19,3.365,,,,,,,,
34,2010-08-20,3.305,,,,,,,,
35,2010-08-21,3.298,,,,,,,,
36,2010-08-22,3.275,,,,,,,,
37,2010-08-23,3.273,,,,,,,,
38,2010-08-24,3.248,,,,,,,,
39,2010-08-25,3.28,,,,,,,,
40,2010-08-26,0.317,,,,,,,,
41,2010-08-27,3.225,,,,,,,,
42,2010-08-28,0.646,,,,,,,,
43,2010-08-29,0.349,,,,,,,,
44,2010-08-30,0.248,,,,,,,,
45,2010-08-31,3.103,,,,,,,,
46,2010-09-01,0.686,,,,,,,,
47,2010-09-02,3.119,,,,,,,,
48,2010-09-03,6.163,,,,,,,,
49,2010-09-04,6.166,,,,,,,,
50,2010-09-05,3.103,,,,,,,,
51,2010-09-06,3.108,,,,,,,,
52,2010-09-07,3.065,,,,,,,,
53,2010-09-08,0.109,,,,,,,,
54,2010-09-09,3.055,,,,,,,,
55,2010-09-10,0.307,,,,,,,,
56,2010-09-11,0.245,,,,,,,,
57,2010-09-12,0.0788,,,,,,,,
