,Time,BTC_Average_Hash_Rate_Hashes_Per_Second,ETH_Average_Hash_Rate_Hashes_Per_Second,XRP_Average_Hash_Rate_Hashes_Per_Second,DOGE_Average_Hash_Rate_Hashes_Per_Second,LTC_Average_Hash_Rate_Hashes_Per_Second,BCH_Average_Hash_Rate_Hashes_Per_Second,XMR_Average_Hash_Rate_Hashes_Per_Second,DASH_Average_Hash_Rate_Hashes_Per_Second,ZEC_Average_Hash_Rate_Hashes_Per_Second
0,2009-01-03,,,,,,,,,
1,2009-01-04,,,,,,,,,
2,2009-01-05,,,,,,,,,
3,2009-01-06,,,,,,,,,
4,2009-01-07,,,,,,,,,
5,2009-01-08,,,,,,,,,
6,2009-01-09,12576322.0,,,,,,,,
7,2009-01-10,9378233.0,,,,,,,,
8,2009-01-11,4857511.0,,,,,,,,
9,2009-01-12,4567766.0,,,,,,,,
10,2009-01-13,5654593.0,,,,,,,,
11,2009-01-14,6206668.0,,,,,,,,
12,2009-01-15,6365454.0,,,,,,,,
13,2009-01-16,6070043.0,,,,,,,,
14,2009-01-17,5240736.0,,,,,,,,
15,2009-01-18,5190081.0,,,,,,,,
16,2009-01-19,5762472.0,,,,,,,,
17,2009-01-20,5793593.0,,,,,,,,
18,2009-01-21,5559411.0,,,,,,,,
19,2009-01-22,4120719.0,,,,,,,,
20,2009-01-23,3518417.0,,,,,,,,
21,2009-01-24,8393223.0,,,,,,,,
22,2009-01-25,9962644.0,,,,,,,,
23,2009-01-26,7689965.0,,,,,,,,
24,2009-01-27,4617016.0,,,,,,,,
25,2009-01-28,4962996.0,,,,,,,,
26,2009-01-29,5795924.0,,,,,,,,
27,2009-01-30,6240808.0,,,,,,,,
28,2009-01-31,6051994.0,,,,,,,,
29,2009-02-01,6190608.0,,,,,,,,
30,2009-02-02,6153545.0,,,,,,,,
31,2009-02-03,6704449.0,,,,,,,,
32,2009-02-04,6346531.0,,,,,,,,
33,2009-02-05,6048969.0,,,,,,,,
34,2009-02-06,6295545.0,,,,,,,,
35,2009-02-07,6330966.0,,,,,,,,
36,2009-02-08,6434968.0,,,,,,,,
37,2009-02-09,6421922.0,,,,,,,,
38,2009-02-10,6511267.0,,,,,,,,
39,2009-02-11,6460281.0,,,,,,,,
40,2009-02-12,6046361.0,,,,,,,,
41,2009-02-13,6055061.0,,,,,,,,
42,2009-02-14,6655610.0,,,,,,,,
43,2009-02-15,6358856.0,,,,,,,,
44,2009-02-16,6230951.0,,,,,,,,
45,2009-02-17,5876537.0,,,,,,,,
46,2009-02-18,5957088.0,,,,,,,,
47,2009-02-19,5943972.0,,,,,,,,
48,2009-02-20,6302263.0,,,,,,,,
49,2009-02-21,5624662.0,,,,,,,,
50,2009-02-22,6022206.0,,,,,,,,
51,2009-02-23,5531524.0,,,,,,,,
52,2009-02-24,5457302.0,,,,,,,,
53,2009-02-25,5346698.0,,,,,,,,
54,2009-02-26,5036662.0,,,,,,,,
55,2009-02-27,5729494.0,,,,,,,,
56,2009-02-28,5316849.0,,,,,,,,
57,2009-03-01,5054096.0,,,,,,,,
58,2009-03-02,5331702.0,,,,,,,,
59,2009-03-03,5226712.0,,,,,,,,
60,2009-03-04,5294369.0,,,,,,,,
61,2009-03-05,5166785.0,,,,,,,,
62,2009-03-06,5859262.0,,,,,,,,
63,2009-03-07,5644853.0,,,,,,,,
64,2009-03-08,5561590.0,,,,,,,,
65,2009-03-09,5735349.0,,,,,,,,
66,2009-03-10,5209928.0,,,,,,,,
67,2009-03-11,5454076.0,,,,,,,,
68,2009-03-12,5725069.0,,,,,,,,
69,2009-03-13,5657424.0,,,,,,,,
70,2009-03-14,5678662.0,,,,,,,,
71,2009-03-15,5783981.0,,,,,,,,
72,2009-03-16,6164511.0,,,,,,,,
73,2009-03-17,5863375.0,,,,,,,,
74,2009-03-18,5612209.0,,,,,,,,
75,2009-03-19,5959575.0,,,,,,,,
76,2009-03-20,6034212.0,,,,,,,,
77,2009-03-21,5293010.0,,,,,,,,
78,2009-03-22,3769984.0,,,,,,,,
79,2009-03-23,6360511.0,,,,,,,,
80,2009-03-24,5685246.0,,,,,,,,
81,2009-03-25,5682962.0,,,,,,,,
82,2009-03-26,5763023.0,,,,,,,,
83,2009-03-27,5567742.0,,,,,,,,
84,2009-03-28,5605066.0,,,,,,,,
85,2009-03-29,5563060.0,,,,,,,,
86,2009-03-30,6174270.0,,,,,,,,
87,2009-03-31,5736621.0,,,,,,,,
88,2009-04-01,5430648.0,,,,,,,,
89,2009-04-02,5955989.0,,,,,,,,
90,2009-04-03,5594588.0,,,,,,,,
91,2009-04-04,5601954.0,,,,,,,,
92,2009-04-05,6248209.0,,,,,,,,
93,2009-04-06,6073474.0,,,,,,,,
94,2009-04-07,5094113.0,,,,,,,,
95,2009-04-08,5105377.0,,,,,,,,
96,2009-04-09,4926977.0,,,,,,,,
97,2009-04-10,5064620.0,,,,,,,,
98,2009-04-11,5914151.0,,,,,,,,
99,2009-04-12,5859512.0,,,,,,,,
100,2009-04-13,5825783.0,,,,,,,,
101,2009-04-14,6041215.0,,,,,,,,
102,2009-04-15,5699780.0,,,,,,,,
103,2009-04-16,6045975.0,,,,,,,,
104,2009-04-17,5826039.0,,,,,,,,
105,2009-04-18,5872722.0,,,,,,,,
106,2009-04-19,6050241.0,,,,,,,,
107,2009-04-20,5962870.0,,,,,,,,
108,2009-04-21,5974516.0,,,,,,,,
109,2009-04-22,6015670.0,,,,,,,,
110,2009-04-23,4910702.0,,,,,,,,
111,2009-04-24,4815481.0,,,,,,,,
112,2009-04-25,5862788.0,,,,,,,,
113,2009-04-26,5785290.0,,,,,,,,
114,2009-04-27,5197535.0,,,,,,,,
115,2009-04-28,5639535.0,,,,,,,,
116,2009-04-29,5983533.0,,,,,,,,
117,2009-04-30,6626342.0,,,,,,,,
118,2009-05-01,6087167.0,,,,,,,,
119,2009-05-02,6370022.0,,,,,,,,
120,2009-05-03,5432058.0,,,,,,,,
121,2009-05-04,6028806.0,,,,,,,,
122,2009-05-05,6654245.0,,,,,,,,
123,2009-05-06,6617035.0,,,,,,,,
124,2009-05-07,6311697.0,,,,,,,,
125,2009-05-08,6101575.0,,,,,,,,
126,2009-05-09,5123304.0,,,,,,,,
127,2009-05-10,3007562.0,,,,,,,,
128,2009-05-11,5686382.0,,,,,,,,
129,2009-05-12,6285390.0,,,,,,,,
130,2009-05-13,6180537.0,,,,,,,,
131,2009-05-14,6001457.0,,,,,,,,
132,2009-05-15,7216902.0,,,,,,,,
133,2009-05-16,6322797.0,,,,,,,,
134,2009-05-17,5868562.0,,,,,,,,
135,2009-05-18,6179089.0,,,,,,,,
136,2009-05-19,5807669.0,,,,,,,,
137,2009-05-20,4829928.0,,,,,,,,
138,2009-05-21,5335009.0,,,,,,,,
139,2009-05-22,4176721.0,,,,,,,,
140,2009-05-23,3998008.0,,,,,,,,
141,2009-05-24,4893764.0,,,,,,,,
142,2009-05-25,4962520.0,,,,,,,,
143,2009-05-26,5803695.0,,,,,,,,
144,2009-05-27,6272577.0,,,,,,,,
145,2009-05-28,5227786.0,,,,,,,,
146,2009-05-29,5089465.0,,,,,,,,
147,2009-05-30,5180067.0,,,,,,,,
148,2009-05-31,5770689.0,,,,,,,,
149,2009-06-01,4474182.0,,,,,,,,
150,2009-06-02,4157996.0,,,,,,,,
151,2009-06-03,5303689.0,,,,,,,,
152,2009-06-04,2868665.0,,,,,,,,
153,2009-06-05,3756786.0,,,,,,,,
154,2009-06-06,2174057.0,,,,,,,,
155,2009-06-07,1148146.0,,,,,,,,
156,2009-06-08,3988561.0,,,,,,,,
157,2009-06-09,4399757.0,,,,,,,,
158,2009-06-10,4194460.0,,,,,,,,
159,2009-06-11,4529425.0,,,,,,,,
160,2009-06-12,4506162.0,,,,,,,,
