,Time,BTC_Sent_From_Unique_Address_Count,ETH_Sent_From_Unique_Address_Count,XRP_Sent_From_Unique_Address_Count,DOGE_Sent_From_Unique_Address_Count,LTC_Sent_From_Unique_Address_Count,BCH_Sent_From_Unique_Address_Count,XMR_Sent_From_Unique_Address_Count,DASH_Sent_From_Unique_Address_Count,ZEC_Sent_From_Unique_Address_Count
0,2009-01-09,1.0,,,,,,,,
1,2009-01-10,,,,,,,,,
2,2009-01-11,1.0,,,,,,,,
3,2009-01-12,7.0,,,,,,,,
4,2009-01-13,10.0,,,,,,,,
5,2009-01-14,20.0,,,,,,,,
6,2009-01-15,18.0,,,,,,,,
7,2009-01-16,16.0,,,,,,,,
8,2009-01-17,18.0,,,,,,,,
9,2009-01-18,16.0,,,,,,,,
10,2009-01-19,22.0,,,,,,,,
11,2009-01-20,21.0,,,,,,,,
12,2009-01-21,22.0,,,,,,,,
13,2009-01-22,12.0,,,,,,,,
14,2009-01-23,18.0,,,,,,,,
15,2009-01-24,22.0,,,,,,,,
16,2009-01-25,14.0,,,,,,,,
17,2009-01-26,17.0,,,,,,,,
18,2009-01-27,8.0,,,,,,,,
19,2009-01-28,23.0,,,,,,,,
20,2009-01-29,24.0,,,,,,,,
21,2009-01-30,23.0,,,,,,,,
22,2009-01-31,36.0,,,,,,,,
23,2009-02-01,31.0,,,,,,,,
24,2009-02-02,37.0,,,,,,,,
25,2009-02-03,50.0,,,,,,,,
26,2009-02-04,26.0,,,,,,,,
27,2009-02-05,34.0,,,,,,,,
28,2009-02-06,19.0,,,,,,,,
29,2009-02-07,32.0,,,,,,,,
30,2009-02-08,46.0,,,,,,,,
31,2009-02-09,34.0,,,,,,,,
32,2009-02-10,18.0,,,,,,,,
33,2009-02-11,27.0,,,,,,,,
34,2009-02-12,22.0,,,,,,,,
35,2009-02-13,27.0,,,,,,,,
36,2009-02-14,29.0,,,,,,,,
37,2009-02-15,32.0,,,,,,,,
38,2009-02-16,26.0,,,,,,,,
39,2009-02-17,27.0,,,,,,,,
40,2009-02-18,23.0,,,,,,,,
41,2009-02-19,37.0,,,,,,,,
42,2009-02-20,29.0,,,,,,,,
43,2009-02-21,22.0,,,,,,,,
44,2009-02-22,28.0,,,,,,,,
45,2009-02-23,22.0,,,,,,,,
46,2009-02-24,16.0,,,,,,,,
47,2009-02-25,16.0,,,,,,,,
48,2009-02-26,14.0,,,,,,,,
49,2009-02-27,26.0,,,,,,,,
50,2009-02-28,8.0,,,,,,,,
51,2009-03-01,16.0,,,,,,,,
52,2009-03-02,15.0,,,,,,,,
53,2009-03-03,17.0,,,,,,,,
54,2009-03-04,22.0,,,,,,,,
55,2009-03-05,23.0,,,,,,,,
56,2009-03-06,31.0,,,,,,,,
57,2009-03-07,25.0,,,,,,,,
58,2009-03-08,19.0,,,,,,,,
59,2009-03-09,21.0,,,,,,,,
60,2009-03-10,21.0,,,,,,,,
61,2009-03-11,25.0,,,,,,,,
62,2009-03-12,30.0,,,,,,,,
63,2009-03-13,14.0,,,,,,,,
64,2009-03-14,24.0,,,,,,,,
65,2009-03-15,28.0,,,,,,,,
66,2009-03-16,28.0,,,,,,,,
67,2009-03-17,24.0,,,,,,,,
68,2009-03-18,16.0,,,,,,,,
69,2009-03-19,26.0,,,,,,,,
70,2009-03-20,27.0,,,,,,,,
71,2009-03-21,26.0,,,,,,,,
72,2009-03-22,33.0,,,,,,,,
73,2009-03-23,30.0,,,,,,,,
74,2009-03-24,17.0,,,,,,,,
75,2009-03-25,29.0,,,,,,,,
76,2009-03-26,25.0,,,,,,,,
77,2009-03-27,22.0,,,,,,,,
78,2009-03-28,28.0,,,,,,,,
79,2009-03-29,25.0,,,,,,,,
80,2009-03-30,33.0,,,,,,,,
81,2009-03-31,18.0,,,,,,,,
82,2009-04-01,23.0,,,,,,,,
83,2009-04-02,26.0,,,,,,,,
84,2009-04-03,31.0,,,,,,,,
85,2009-04-04,27.0,,,,,,,,
86,2009-04-05,37.0,,,,,,,,
87,2009-04-06,22.0,,,,,,,,
88,2009-04-07,9.0,,,,,,,,
89,2009-04-08,18.0,,,,,,,,
90,2009-04-09,18.0,,,,,,,,
91,2009-04-10,22.0,,,,,,,,
92,2009-04-11,32.0,,,,,,,,
93,2009-04-12,24.0,,,,,,,,
94,2009-04-13,27.0,,,,,,,,
95,2009-04-14,35.0,,,,,,,,
96,2009-04-15,22.0,,,,,,,,
97,2009-04-16,28.0,,,,,,,,
98,2009-04-17,16.0,,,,,,,,
99,2009-04-18,29.0,,,,,,,,
100,2009-04-19,22.0,,,,,,,,
101,2009-04-20,26.0,,,,,,,,
102,2009-04-21,26.0,,,,,,,,
103,2009-04-22,21.0,,,,,,,,
104,2009-04-23,15.0,,,,,,,,
105,2009-04-24,24.0,,,,,,,,
106,2009-04-25,29.0,,,,,,,,
107,2009-04-26,23.0,,,,,,,,
108,2009-04-27,16.0,,,,,,,,
109,2009-04-28,28.0,,,,,,,,
110,2009-04-29,24.0,,,,,,,,
111,2009-04-30,22.0,,,,,,,,
112,2009-05-01,32.0,,,,,,,,
113,2009-05-02,42.0,,,,,,,,
114,2009-05-03,35.0,,,,,,,,
115,2009-05-04,33.0,,,,,,,,
116,2009-05-05,36.0,,,,,,,,
117,2009-05-06,37.0,,,,,,,,
118,2009-05-07,32.0,,,,,,,,
119,2009-05-08,21.0,,,,,,,,
120,2009-05-09,25.0,,,,,,,,
121,2009-05-10,25.0,,,,,,,,
122,2009-05-11,20.0,,,,,,,,
123,2009-05-12,19.0,,,,,,,,
124,2009-05-13,27.0,,,,,,,,
125,2009-05-14,48.0,,,,,,,,
126,2009-05-15,35.0,,,,,,,,
127,2009-05-16,25.0,,,,,,,,
128,2009-05-17,28.0,,,,,,,,
129,2009-05-18,21.0,,,,,,,,
130,2009-05-19,15.0,,,,,,,,
131,2009-05-20,29.0,,,,,,,,
132,2009-05-21,15.0,,,,,,,,
133,2009-05-22,10.0,,,,,,,,
134,2009-05-23,4.0,,,,,,,,
135,2009-05-24,24.0,,,,,,,,
136,2009-05-25,19.0,,,,,,,,
137,2009-05-26,38.0,,,,,,,,
138,2009-05-27,37.0,,,,,,,,
139,2009-05-28,16.0,,,,,,,,
140,2009-05-29,21.0,,,,,,,,
141,2009-05-30,20.0,,,,,,,,
142,2009-05-31,24.0,,,,,,,,
143,2009-06-01,15.0,,,,,,,,
144,2009-06-02,15.0,,,,,,,,
145,2009-06-03,9.0,,,,,,,,
146,2009-06-04,5.0,,,,,,,,
147,2009-06-05,5.0,,,,,,,,
148,2009-06-06,1.0,,,,,,,,
149,2009-06-07,3.0,,,,,,,,
150,2009-06-08,25.0,,,,,,,,
151,2009-06-09,25.0,,,,,,,,
152,2009-06-10,23.0,,,,,,,,
153,2009-06-11,22.0,,,,,,,,
154,2009-06-12,23.0,,,,,,,,
155,2009-06-13,23.0,,,,,,,,
156,2009-06-14,34.0,,,,,,,,
157,2009-06-15,26.0,,,,,,,,
158,2009-06-16,12.0,,,,,,,,
159,2009-06-17,19.0,,,,,,,,
160,2009-06-18,22.0,,,,,,,,
161,2009-06-19,33.0,,,,,,,,
162,2009-06-20,23.0,,,,,,,,
163,2009-06-21,25.0,,,,,,,,
164,2009-06-22,21.0,,,,,,,,
165,2009-06-23,19.0,,,,,,,,
166,2009-06-24,36.0,,,,,,,,
167,2009-06-25,27.0,,,,,,,,
168,2009-06-26,20.0,,,,,,,,
169,2009-06-27,22.0,,,,,,,,
170,2009-06-28,21.0,,,,,,,,
171,2009-06-29,25.0,,,,,,,,
172,2009-06-30,26.0,,,,,,,,
173,2009-07-01,28.0,,,,,,,,
174,2009-07-02,29.0,,,,,,,,
175,2009-07-03,29.0,,,,,,,,
176,2009-07-04,32.0,,,,,,,,
177,2009-07-05,27.0,,,,,,,,
178,2009-07-06,28.0,,,,,,,,
179,2009-07-07,19.0,,,,,,,,
180,2009-07-08,19.0,,,,,,,,
181,2009-07-09,33.0,,,,,,,,
182,2009-07-10,29.0,,,,,,,,
183,2009-07-11,29.0,,,,,,,,
184,2009-07-12,25.0,,,,,,,,
185,2009-07-13,24.0,,,,,,,,
186,2009-07-14,13.0,,,,,,,,
187,2009-07-15,9.0,,,,,,,,
188,2009-07-16,15.0,,,,,,,,
189,2009-07-17,12.0,,,,,,,,
190,2009-07-18,4.0,,,,,,,,
191,2009-07-19,23.0,,,,,,,,
192,2009-07-20,21.0,,,,,,,,
193,2009-07-21,18.0,,,,,,,,
194,2009-07-22,22.0,,,,,,,,
195,2009-07-23,21.0,,,,,,,,
196,2009-07-24,21.0,,,,,,,,
197,2009-07-25,10.0,,,,,,,,
198,2009-07-26,21.0,,,,,,,,
199,2009-07-27,18.0,,,,,,,,
200,2009-07-28,21.0,,,,,,,,
201,2009-07-29,17.0,,,,,,,,
202,2009-07-30,16.0,,,,,,,,
203,2009-07-31,17.0,,,,,,,,
204,2009-08-01,28.0,,,,,,,,
205,2009-08-02,23.0,,,,,,,,
206,2009-08-03,12.0,,,,,,,,
207,2009-08-04,26.0,,,,,,,,
208,2009-08-05,27.0,,,,,,,,
209,2009-08-06,33.0,,,,,,,,
210,2009-08-07,34.0,,,,,,,,
211,2009-08-08,30.0,,,,,,,,
212,2009-08-09,42.0,,,,,,,,
213,2009-08-10,19.0,,,,,,,,
214,2009-08-11,18.0,,,,,,,,
215,2009-08-12,12.0,,,,,,,,
216,2009-08-13,28.0,,,,,,,,
217,2009-08-14,16.0,,,,,,,,
218,2009-08-15,26.0,,,,,,,,
219,2009-08-16,19.0,,,,,,,,
220,2009-08-17,17.0,,,,,,,,
221,2009-08-18,10.0,,,,,,,,
222,2009-08-19,16.0,,,,,,,,
223,2009-08-20,15.0,,,,,,,,
224,2009-08-21,9.0,,,,,,,,
225,2009-08-22,7.0,,,,,,,,
226,2009-08-23,14.0,,,,,,,,
227,2009-08-24,6.0,,,,,,,,
228,2009-08-25,9.0,,,,,,,,
229,2009-08-26,9.0,,,,,,,,
230,2009-08-27,19.0,,,,,,,,
231,2009-08-28,24.0,,,,,,,,
232,2009-08-29,24.0,,,,,,,,
233,2009-08-30,43.0,,,,,,,,
234,2009-08-31,37.0,,,,,,,,
235,2009-09-01,30.0,,,,,,,,
236,2009-09-02,18.0,,,,,,,,
237,2009-09-03,12.0,,,,,,,,
238,2009-09-04,24.0,,,,,,,,
239,2009-09-05,22.0,,,,,,,,
240,2009-09-06,11.0,,,,,,,,
241,2009-09-07,21.0,,,,,,,,
242,2009-09-08,18.0,,,,,,,,
243,2009-09-09,7.0,,,,,,,,
244,2009-09-10,13.0,,,,,,,,
245,2009-09-11,17.0,,,,,,,,
246,2009-09-12,20.0,,,,,,,,
247,2009-09-13,20.0,,,,,,,,
248,2009-09-14,18.0,,,,,,,,
249,2009-09-15,13.0,,,,,,,,
250,2009-09-16,24.0,,,,,,,,
251,2009-09-17,24.0,,,,,,,,
252,2009-09-18,25.0,,,,,,,,
253,2009-09-19,19.0,,,,,,,,
254,2009-09-20,21.0,,,,,,,,
255,2009-09-21,21.0,,,,,,,,
256,2009-09-22,21.0,,,,,,,,
257,2009-09-23,13.0,,,,,,,,
