,Time,BTC_Top_100_Richest_Percentage_of_Total_Coins,ETH_Top_100_Richest_Percentage_of_Total_Coins,XRP_Top_100_Richest_Percentage_of_Total_Coins,DOGE_Top_100_Richest_Percentage_of_Total_Coins,LTC_Top_100_Richest_Percentage_of_Total_Coins,BCH_Top_100_Richest_Percentage_of_Total_Coins,XMR_Top_100_Richest_Percentage_of_Total_Coins,DASH_Top_100_Richest_Percentage_of_Total_Coins,ZEC_Top_100_Richest_Percentage_of_Total_Coins
0,2009-01-03,,,,,,,,,
1,2009-01-04,,,,,,,,,
2,2009-01-05,,,,,,,,,
3,2009-01-06,,,,,,,,,
4,2009-01-07,,,,,,,,,
5,2009-01-08,,,,,,,,,
6,2009-01-09,100.0,,,,,,,,
7,2009-01-10,100.0,,,,,,,,
8,2009-01-11,59.524,,,,,,,,
9,2009-01-12,38.168,,,,,,,,
10,2009-01-13,25.974,,,,,,,,
11,2009-01-14,19.498,,,,,,,,
12,2009-01-15,16.284,,,,,,,,
13,2009-01-16,14.201,,,,,,,,
14,2009-01-17,12.394,,,,,,,,
15,2009-01-18,11.226,,,,,,,,
16,2009-01-19,11.373,,,,,,,,
17,2009-01-20,10.873,,,,,,,,
18,2009-01-21,10.094,,,,,,,,
19,2009-01-22,10.153,,,,,,,,
20,2009-01-23,10.117,,,,,,,,
21,2009-01-24,9.439,,,,,,,,
22,2009-01-25,8.47,,,,,,,,
23,2009-01-26,9.077,,,,,,,,
24,2009-01-27,8.745,,,,,,,,
25,2009-01-28,8.293,,,,,,,,
26,2009-01-29,8.379,,,,,,,,
27,2009-01-30,7.972,,,,,,,,
28,2009-01-31,8.286,,,,,,,,
29,2009-02-01,7.971,,,,,,,,
30,2009-02-02,7.605,,,,,,,,
31,2009-02-03,7.258,,,,,,,,
32,2009-02-04,6.974,,,,,,,,
33,2009-02-05,6.696,,,,,,,,
34,2009-02-06,6.448,,,,,,,,
35,2009-02-07,6.789,,,,,,,,
36,2009-02-08,6.536,,,,,,,,
37,2009-02-09,7.493,,,,,,,,
38,2009-02-10,7.256,,,,,,,,
39,2009-02-11,7.24,,,,,,,,
40,2009-02-12,7.027,,,,,,,,
41,2009-02-13,6.819,,,,,,,,
42,2009-02-14,6.604,,,,,,,,
43,2009-02-15,6.639,,,,,,,,
44,2009-02-16,7.118,,,,,,,,
45,2009-02-17,6.941,,,,,,,,
46,2009-02-18,6.77,,,,,,,,
47,2009-02-19,6.925,,,,,,,,
48,2009-02-20,6.757,,,,,,,,
49,2009-02-21,6.608,,,,,,,,
50,2009-02-22,6.589,,,,,,,,
51,2009-02-23,6.457,,,,,,,,
52,2009-02-24,6.333,,,,,,,,
53,2009-02-25,6.214,,,,,,,,
54,2009-02-26,6.097,,,,,,,,
55,2009-02-27,6.595,,,,,,,,
56,2009-02-28,6.603,,,,,,,,
57,2009-03-01,6.488,,,,,,,,
58,2009-03-02,6.374,,,,,,,,
59,2009-03-03,6.395,,,,,,,,
60,2009-03-04,6.668,,,,,,,,
61,2009-03-05,6.677,,,,,,,,
62,2009-03-06,6.558,,,,,,,,
63,2009-03-07,6.451,,,,,,,,
64,2009-03-08,6.695,,,,,,,,
65,2009-03-09,6.59,,,,,,,,
66,2009-03-10,6.489,,,,,,,,
67,2009-03-11,6.386,,,,,,,,
68,2009-03-12,6.309,,,,,,,,
69,2009-03-13,6.389,,,,,,,,
70,2009-03-14,6.295,,,,,,,,
71,2009-03-15,6.193,,,,,,,,
72,2009-03-16,6.718,,,,,,,,
73,2009-03-17,6.62,,,,,,,,
74,2009-03-18,6.702,,,,,,,,
75,2009-03-19,6.6,,,,,,,,
76,2009-03-20,6.652,,,,,,,,
77,2009-03-21,6.611,,,,,,,,
78,2009-03-22,6.649,,,,,,,,
79,2009-03-23,6.547,,,,,,,,
80,2009-03-24,6.467,,,,,,,,
81,2009-03-25,6.38,,,,,,,,
82,2009-03-26,6.613,,,,,,,,
83,2009-03-27,6.534,,,,,,,,
84,2009-03-28,6.669,,,,,,,,
85,2009-03-29,6.585,,,,,,,,
86,2009-03-30,6.5,,,,,,,,
87,2009-03-31,6.764,,,,,,,,
88,2009-04-01,6.683,,,,,,,,
89,2009-04-02,6.603,,,,,,,,
90,2009-04-03,6.525,,,,,,,,
91,2009-04-04,6.45,,,,,,,,
92,2009-04-05,6.536,,,,,,,,
93,2009-04-06,6.465,,,,,,,,
94,2009-04-07,6.402,,,,,,,,
95,2009-04-08,6.337,,,,,,,,
96,2009-04-09,6.276,,,,,,,,
97,2009-04-10,6.212,,,,,,,,
98,2009-04-11,6.198,,,,,,,,
99,2009-04-12,6.195,,,,,,,,
100,2009-04-13,6.129,,,,,,,,
101,2009-04-14,6.06,,,,,,,,
102,2009-04-15,5.998,,,,,,,,
103,2009-04-16,5.933,,,,,,,,
104,2009-04-17,5.874,,,,,,,,
105,2009-04-18,5.815,,,,,,,,
106,2009-04-19,5.824,,,,,,,,
107,2009-04-20,6.74,,,,,,,,
108,2009-04-21,6.67,,,,,,,,
109,2009-04-22,6.603,,,,,,,,
110,2009-04-23,6.561,,,,,,,,
111,2009-04-24,6.499,,,,,,,,
112,2009-04-25,6.436,,,,,,,,
113,2009-04-26,6.5,,,,,,,,
114,2009-04-27,6.445,,,,,,,,
115,2009-04-28,6.385,,,,,,,,
116,2009-04-29,6.478,,,,,,,,
117,2009-04-30,6.412,,,,,,,,
118,2009-05-01,6.352,,,,,,,,
119,2009-05-02,6.39,,,,,,,,
120,2009-05-03,6.339,,,,,,,,
121,2009-05-04,6.503,,,,,,,,
122,2009-05-05,6.512,,,,,,,,
123,2009-05-06,6.448,,,,,,,,
124,2009-05-07,6.39,,,,,,,,
125,2009-05-08,6.341,,,,,,,,
126,2009-05-09,6.305,,,,,,,,
127,2009-05-10,6.267,,,,,,,,
128,2009-05-11,6.213,,,,,,,,
129,2009-05-12,6.157,,,,,,,,
130,2009-05-13,6.109,,,,,,,,
131,2009-05-14,6.064,,,,,,,,
132,2009-05-15,6.076,,,,,,,,
133,2009-05-16,6.027,,,,,,,,
134,2009-05-17,5.976,,,,,,,,
135,2009-05-18,5.929,,,,,,,,
136,2009-05-19,5.895,,,,,,,,
137,2009-05-20,5.848,,,,,,,,
138,2009-05-21,5.817,,,,,,,,
139,2009-05-22,5.794,,,,,,,,
140,2009-05-23,5.782,,,,,,,,
141,2009-05-24,5.744,,,,,,,,
142,2009-05-25,5.704,,,,,,,,
143,2009-05-26,5.658,,,,,,,,
144,2009-05-27,5.616,,,,,,,,
145,2009-05-28,5.582,,,,,,,,
146,2009-05-29,5.92,,,,,,,,
147,2009-05-30,5.88,,,,,,,,
148,2009-05-31,5.845,,,,,,,,
149,2009-06-01,5.82,,,,,,,,
150,2009-06-02,5.78,,,,,,,,
151,2009-06-03,5.755,,,,,,,,
152,2009-06-04,5.732,,,,,,,,
153,2009-06-05,5.722,,,,,,,,
154,2009-06-06,5.712,,,,,,,,
155,2009-06-07,5.707,,,,,,,,
156,2009-06-08,5.679,,,,,,,,
157,2009-06-09,5.648,,,,,,,,
158,2009-06-10,5.621,,,,,,,,
159,2009-06-11,5.591,,,,,,,,
160,2009-06-12,5.563,,,,,,,,
161,2009-06-13,5.538,,,,,,,,
162,2009-06-14,5.514,,,,,,,,
163,2009-06-15,5.488,,,,,,,,
164,2009-06-16,5.465,,,,,,,,
165,2009-06-17,5.44,,,,,,,,
166,2009-06-18,5.415,,,,,,,,
167,2009-06-19,5.389,,,,,,,,
168,2009-06-20,5.365,,,,,,,,
169,2009-06-21,5.34,,,,,,,,
170,2009-06-22,5.654,,,,,,,,
171,2009-06-23,5.63,,,,,,,,
172,2009-06-24,5.609,,,,,,,,
173,2009-06-25,5.698,,,,,,,,
174,2009-06-26,5.67,,,,,,,,
