,Time,BTC_Active_Address_Count,ETH_Active_Address_Count,XRP_Active_Address_Count,DOGE_Active_Address_Count,LTC_Active_Address_Count,BCH_Active_Address_Count,XMR_Active_Address_Count,DASH_Active_Address_Count,ZEC_Active_Address_Count
0,2009-01-03,,,,,,,,,
1,2009-01-04,,,,,,,,,
2,2009-01-05,,,,,,,,,
3,2009-01-06,,,,,,,,,
4,2009-01-07,,,,,,,,,
5,2009-01-08,,,,,,,,,
6,2009-01-09,14.0,,,,,,,,
7,2009-01-10,61.0,,,,,,,,
8,2009-01-11,93.0,,,,,,,,
9,2009-01-12,102.0,,,,,,,,
10,2009-01-13,123.0,,,,,,,,
11,2009-01-14,133.0,,,,,,,,
12,2009-01-15,140.0,,,,,,,,
13,2009-01-16,114.0,,,,,,,,
14,2009-01-17,109.0,,,,,,,,
15,2009-01-18,111.0,,,,,,,,
16,2009-01-19,133.0,,,,,,,,
17,2009-01-20,123.0,,,,,,,,
18,2009-01-21,105.0,,,,,,,,
19,2009-01-22,102.0,,,,,,,,
20,2009-01-23,95.0,,,,,,,,
21,2009-01-24,212.0,,,,,,,,
22,2009-01-25,193.0,,,,,,,,
23,2009-01-26,117.0,,,,,,,,
24,2009-01-27,101.0,,,,,,,,
25,2009-01-28,112.0,,,,,,,,
26,2009-01-29,134.0,,,,,,,,
27,2009-01-30,117.0,,,,,,,,
28,2009-01-31,159.0,,,,,,,,
29,2009-02-01,116.0,,,,,,,,
30,2009-02-02,130.0,,,,,,,,
31,2009-02-03,154.0,,,,,,,,
32,2009-02-04,119.0,,,,,,,,
33,2009-02-05,126.0,,,,,,,,
34,2009-02-06,122.0,,,,,,,,
35,2009-02-07,156.0,,,,,,,,
36,2009-02-08,134.0,,,,,,,,
37,2009-02-09,179.0,,,,,,,,
38,2009-02-10,120.0,,,,,,,,
39,2009-02-11,147.0,,,,,,,,
40,2009-02-12,119.0,,,,,,,,
41,2009-02-13,124.0,,,,,,,,
42,2009-02-14,136.0,,,,,,,,
43,2009-02-15,142.0,,,,,,,,
44,2009-02-16,153.0,,,,,,,,
45,2009-02-17,117.0,,,,,,,,
46,2009-02-18,118.0,,,,,,,,
47,2009-02-19,141.0,,,,,,,,
48,2009-02-20,122.0,,,,,,,,
49,2009-02-21,114.0,,,,,,,,
50,2009-02-22,133.0,,,,,,,,
51,2009-02-23,108.0,,,,,,,,
52,2009-02-24,106.0,,,,,,,,
53,2009-02-25,105.0,,,,,,,,
54,2009-02-26,107.0,,,,,,,,
55,2009-02-27,152.0,,,,,,,,
56,2009-02-28,107.0,,,,,,,,
57,2009-03-01,105.0,,,,,,,,
58,2009-03-02,108.0,,,,,,,,
59,2009-03-03,114.0,,,,,,,,
60,2009-03-04,130.0,,,,,,,,
61,2009-03-05,121.0,,,,,,,,
62,2009-03-06,117.0,,,,,,,,
63,2009-03-07,109.0,,,,,,,,
64,2009-03-08,142.0,,,,,,,,
65,2009-03-09,108.0,,,,,,,,
66,2009-03-10,107.0,,,,,,,,
67,2009-03-11,114.0,,,,,,,,
68,2009-03-12,122.0,,,,,,,,
69,2009-03-13,127.0,,,,,,,,
70,2009-03-14,110.0,,,,,,,,
71,2009-03-15,123.0,,,,,,,,
72,2009-03-16,170.0,,,,,,,,
73,2009-03-17,114.0,,,,,,,,
74,2009-03-18,129.0,,,,,,,,
75,2009-03-19,122.0,,,,,,,,
76,2009-03-20,131.0,,,,,,,,
77,2009-03-21,50.0,,,,,,,,
78,2009-03-22,131.0,,,,,,,,
79,2009-03-23,130.0,,,,,,,,
80,2009-03-24,105.0,,,,,,,,
81,2009-03-25,117.0,,,,,,,,
82,2009-03-26,146.0,,,,,,,,
83,2009-03-27,106.0,,,,,,,,
84,2009-03-28,140.0,,,,,,,,
85,2009-03-29,116.0,,,,,,,,
86,2009-03-30,120.0,,,,,,,,
87,2009-03-31,143.0,,,,,,,,
88,2009-04-01,114.0,,,,,,,,
89,2009-04-02,115.0,,,,,,,,
90,2009-04-03,116.0,,,,,,,,
91,2009-04-04,113.0,,,,,,,,
92,2009-04-05,148.0,,,,,,,,
93,2009-04-06,109.0,,,,,,,,
94,2009-04-07,100.0,,,,,,,,
95,2009-04-08,105.0,,,,,,,,
96,2009-04-09,99.0,,,,,,,,
97,2009-04-10,108.0,,,,,,,,
98,2009-04-11,128.0,,,,,,,,
99,2009-04-12,127.0,,,,,,,,
100,2009-04-13,117.0,,,,,,,,
101,2009-04-14,124.0,,,,,,,,
102,2009-04-15,113.0,,,,,,,,
103,2009-04-16,123.0,,,,,,,,
104,2009-04-17,112.0,,,,,,,,
105,2009-04-18,131.0,,,,,,,,
106,2009-04-19,128.0,,,,,,,,
107,2009-04-20,236.0,,,,,,,,
108,2009-04-21,125.0,,,,,,,,
109,2009-04-22,121.0,,,,,,,,
110,2009-04-23,75.0,,,,,,,,
111,2009-04-24,115.0,,,,,,,,
112,2009-04-25,118.0,,,,,,,,
113,2009-04-26,128.0,,,,,,,,
114,2009-04-27,104.0,,,,,,,,
115,2009-04-28,117.0,,,,,,,,
116,2009-04-29,149.0,,,,,,,,
117,2009-04-30,131.0,,,,,,,,
118,2009-05-01,121.0,,,,,,,,
119,2009-05-02,142.0,,,,,,,,
120,2009-05-03,110.0,,,,,,,,
121,2009-05-04,159.0,,,,,,,,
122,2009-05-05,146.0,,,,,,,,
123,2009-05-06,135.0,,,,,,,,
124,2009-05-07,122.0,,,,,,,,
125,2009-05-08,107.0,,,,,,,,
126,2009-05-09,78.0,,,,,,,,
127,2009-05-10,85.0,,,,,,,,
128,2009-05-11,123.0,,,,,,,,
129,2009-05-12,130.0,,,,,,,,
130,2009-05-13,117.0,,,,,,,,
131,2009-05-14,145.0,,,,,,,,
132,2009-05-15,146.0,,,,,,,,
133,2009-05-16,119.0,,,,,,,,
134,2009-05-17,127.0,,,,,,,,
135,2009-05-18,118.0,,,,,,,,
136,2009-05-19,86.0,,,,,,,,
137,2009-05-20,120.0,,,,,,,,
138,2009-05-21,82.0,,,,,,,,
139,2009-05-22,61.0,,,,,,,,
140,2009-05-23,32.0,,,,,,,,
141,2009-05-24,100.0,,,,,,,,
142,2009-05-25,109.0,,,,,,,,
143,2009-05-26,125.0,,,,,,,,
144,2009-05-27,119.0,,,,,,,,
145,2009-05-28,95.0,,,,,,,,
146,2009-05-29,167.0,,,,,,,,
147,2009-05-30,109.0,,,,,,,,
148,2009-05-31,96.0,,,,,,,,
149,2009-06-01,73.0,,,,,,,,
150,2009-06-02,111.0,,,,,,,,
151,2009-06-03,71.0,,,,,,,,
152,2009-06-04,66.0,,,,,,,,
153,2009-06-05,30.0,,,,,,,,
154,2009-06-06,28.0,,,,,,,,
155,2009-06-07,16.0,,,,,,,,
156,2009-06-08,82.0,,,,,,,,
157,2009-06-09,91.0,,,,,,,,
158,2009-06-10,82.0,,,,,,,,
159,2009-06-11,89.0,,,,,,,,
160,2009-06-12,86.0,,,,,,,,
161,2009-06-13,78.0,,,,,,,,
162,2009-06-14,72.0,,,,,,,,
163,2009-06-15,84.0,,,,,,,,
164,2009-06-16,71.0,,,,,,,,
165,2009-06-17,79.0,,,,,,,,
166,2009-06-18,80.0,,,,,,,,
167,2009-06-19,87.0,,,,,,,,
168,2009-06-20,78.0,,,,,,,,
169,2009-06-21,81.0,,,,,,,,
170,2009-06-22,137.0,,,,,,,,
171,2009-06-23,76.0,,,,,,,,
172,2009-06-24,100.0,,,,,,,,
173,2009-06-25,89.0,,,,,,,,
174,2009-06-26,90.0,,,,,,,,
175,2009-06-27,84.0,,,,,,,,
176,2009-06-28,48.0,,,,,,,,
177,2009-06-29,85.0,,,,,,,,
178,2009-06-30,89.0,,,,,,,,
179,2009-07-01,77.0,,,,,,,,
180,2009-07-02,85.0,,,,,,,,
