TIMESTAMP,ETH_CLOSE_PRICE_USD,ETH_OPEN_PRICE_USD,ETH_HIGH_PRICE_USD,ETH_LOW_PRICE_USD
2018-01-18,991.01,1006.25,1115.0,866.0
2018-01-19,979.57,991.01,1090.0,871.0
2018-01-20,1178.29,979.57,1239.89,979.57
2018-01-21,1022.74,1178.29,1185.39,1010.84
2018-01-22,999.37,1022.74,1152.61,944.97
2018-01-23,1042.47,999.37,1180.0,949.89
2018-01-24,1051.95,1042.47,1200.0,1000.0
2018-01-25,1062.72,1051.95,1163.83,1021.0
2018-01-26,1068.37,1063.79,1150.46,1000.35
2018-01-27,1134.3,1064.59,1180.0,1054.14
2018-01-28,1251.02,1134.3,1280.0,1122.22
2018-01-29,1203.6,1251.02,1274.0,1173.54
2018-01-30,1101.75,1203.6,1220.0,1080.0
2018-01-31,1116.08,1101.75,1152.5,1050.0
2018-02-01,1059.99,1116.08,1171.6,1000.28
2018-02-02,908.09,1059.99,1059.99,731.0
2018-02-03,977.47,908.09,997.77,853.33
2018-02-04,839.61,977.47,1000.0,785.3
2018-02-05,691.35,839.61,864.0,614.84
2018-02-06,799.96,691.35,821.97,551.0
2018-02-07,765.47,799.96,850.0,683.28
2018-02-08,795.28,764.71,838.7,758.05
2018-02-09,871.0,790.57,910.0,773.8
2018-02-10,859.33,866.37,914.0,821.03
2018-02-11,825.71,859.33,875.0,781.48
2018-02-12,866.21,825.71,884.5,819.45
2018-02-13,846.41,867.07,897.0,827.5
2018-02-14,924.04,846.41,957.0,845.53
2018-02-15,919.65,924.03,955.49,888.29
2018-02-16,948.88,919.81,979.8,915.07
2018-02-17,970.77,948.39,979.8,941.72
2018-02-18,915.97,970.83,980.0,885.11
2018-02-19,946.03,915.05,980.91,910.0
2018-02-20,879.78,946.03,995.57,873.62
2018-02-21,830.52,879.78,891.0,817.1
2018-02-22,811.4,830.53,905.0,793.0
2018-02-23,849.82,811.4,892.62,797.0
2018-02-24,826.22,849.81,876.17,809.17
2018-02-25,842.54,826.13,864.19,812.85
2018-02-26,871.16,842.54,888.0,832.57
2018-02-27,881.71,871.16,904.65,860.92
2018-02-28,850.85,881.71,897.06,844.44
2018-03-01,873.35,850.85,887.49,848.89
2018-03-02,855.59,873.27,887.49,844.5
2018-03-03,853.59,855.59,886.25,851.0
2018-03-04,871.28,853.59,871.28,835.69
2018-03-05,854.38,870.41,875.0,852.0
2018-03-06,811.35,854.38,862.88,794.84
2018-03-07,744.61,812.17,827.75,700.0
2018-03-08,690.0,745.36,769.0,690.0
2018-03-09,720.91,690.0,726.52,624.5
2018-03-10,680.91,720.91,744.91,672.22
2018-03-11,724.98,680.91,734.99,644.0
2018-03-12,691.66,724.98,748.89,678.9
2018-03-13,693.45,691.66,715.31,673.2
2018-03-14,607.0,692.36,703.87,580.0
2018-03-15,607.74,607.63,618.29,571.0
2018-03-16,599.38,607.74,630.0,583.0
2018-03-17,547.89,599.31,616.42,540.0
2018-03-18,537.68,547.89,550.0,455.2
2018-03-19,555.7,538.24,561.15,516.23
2018-03-20,556.42,555.7,569.97,517.72
2018-03-21,559.87,556.55,588.66,545.45
2018-03-22,547.96,559.87,581.98,518.0
2018-03-23,543.65,547.96,553.9,511.0
2018-03-24,517.0,543.65,548.98,517.0
2018-03-25,522.23,517.0,539.76,510.0
2018-03-26,484.28,522.23,525.03,460.1
2018-03-27,447.6,484.28,497.97,447.0
2018-03-28,464.93,447.6,484.15,442.69
2018-03-29,387.35,464.93,464.93,382.15
2018-03-30,393.0,387.35,419.67,366.21
2018-03-31,393.6,393.0,417.9,380.78
2018-04-01,377.81,393.6,404.84,341.63
2018-04-02,375.0,377.81,390.12,350.02
2018-04-03,415.46,375.0,417.9,375.0
2018-04-04,377.24,415.46,416.51,362.08
2018-04-05,383.88,377.24,392.87,362.74
2018-04-06,367.34,383.88,388.14,364.07
2018-04-07,382.59,367.34,395.0,367.34
2018-04-08,400.27,382.59,405.86,379.1
2018-04-09,398.77,400.27,428.53,382.0
2018-04-10,415.22,398.77,418.01,385.0
2018-04-11,430.51,415.22,432.62,412.34
2018-04-12,494.43,430.51,497.57,413.0
2018-04-13,493.27,494.43,539.76,477.9
2018-04-14,502.95,493.27,514.32,472.61
2018-04-15,532.68,502.95,535.0,501.25
2018-04-16,509.45,532.68,536.19,493.0
2018-04-17,505.04,509.45,534.7,500.41
2018-04-18,524.5,505.04,526.0,505.04
2018-04-19,571.48,524.5,572.0,514.97
2018-04-20,614.0,571.48,620.0,560.0
2018-04-21,607.71,614.0,623.0,555.66
2018-04-22,639.86,608.39,675.37,594.18
2018-04-23,640.57,639.86,656.79,629.17
2018-04-24,708.16,640.57,716.01,640.57
2018-04-25,617.71,700.0,707.02,595.5
2018-04-26,660.4,618.0,665.0,602.02
2018-04-27,642.22,660.4,692.11,630.02
2018-04-28,685.05,647.58,698.05,641.92
2018-04-29,692.8,685.05,712.0,669.0
2018-04-30,670.34,691.6,705.07,670.0
2018-05-01,676.07,670.34,702.55,635.45
2018-05-02,689.9,676.07,700.0,665.62
2018-05-03,780.94,689.9,787.7,687.32
2018-05-04,787.06,780.94,816.0,762.83
2018-05-05,816.38,787.06,840.0,782.0
2018-05-06,793.02,816.38,848.85,757.22
2018-05-07,755.12,793.02,796.21,706.0
2018-05-08,757.0,755.12,780.0,723.65
2018-05-09,751.51,757.0,770.0,715.95
2018-05-10,727.37,751.51,775.0,726.0
2018-05-11,674.84,727.37,736.24,657.92
2018-05-12,681.24,674.84,694.33,637.89
2018-05-13,725.07,681.24,748.0,670.16
2018-05-14,725.82,725.06,745.4,685.97
2018-05-15,706.18,725.82,760.0,698.8
2018-05-16,706.8,706.18,714.86,670.0
2018-05-17,668.9,706.8,721.8,665.0
2018-05-18,696.48,668.9,703.21,650.0
2018-05-19,696.25,696.48,716.46,677.33
2018-05-20,715.99,696.25,729.0,681.06
2018-05-21,694.48,715.99,725.8,685.0
2018-05-22,644.35,694.48,700.64,640.0
2018-05-23,586.5,644.35,649.87,563.43
2018-05-24,601.68,586.5,616.0,550.49
2018-05-25,584.38,601.68,615.0,570.0
2018-05-26,589.62,584.38,615.0,576.58
2018-05-27,572.45,587.77,592.83,560.0
2018-05-28,513.1,572.45,577.6,508.98
2018-05-29,563.34,513.1,577.0,507.78
2018-05-30,559.78,565.8,585.41,542.89
2018-05-31,576.66,559.78,598.24,555.3
2018-06-01,579.05,579.74,593.0,562.1
2018-06-02,593.1,579.05,601.24,573.54
2018-06-03,615.54,594.45,629.06,590.01
2018-06-04,594.26,615.54,625.69,580.05
2018-06-05,608.74,594.26,615.52,576.0
2018-06-06,606.34,608.74,612.82,591.0
2018-06-07,603.23,606.34,618.0,598.67
2018-06-08,597.0,603.23,609.32,580.03
2018-06-09,592.76,599.7,613.83,583.56
2018-06-10,531.44,592.76,592.9,503.0
2018-06-11,530.77,531.44,540.74,510.37
2018-06-12,494.1,530.77,538.0,480.11
2018-06-13,475.29,494.83,501.69,450.28
2018-06-14,517.61,475.29,529.29,461.5
2018-06-15,486.95,518.78,520.01,482.88
2018-06-16,496.13,486.95,503.14,482.0
2018-06-17,496.33,496.13,507.67,494.81
2018-06-18,516.46,496.25,525.79,487.91
2018-06-19,537.81,516.46,546.75,513.82
2018-06-20,536.48,537.81,541.63,513.88
2018-06-21,525.36,537.14,543.99,522.0
2018-06-22,461.19,525.36,527.63,448.66
2018-06-23,474.11,461.19,479.94,455.32
2018-06-24,454.9,474.11,474.99,420.0
2018-06-25,459.68,454.9,474.72,443.76
2018-06-26,430.43,458.72,461.53,430.0
2018-06-27,441.46,430.43,446.5,420.51
2018-06-28,420.98,441.46,443.86,417.38
2018-06-29,435.16,420.14,443.52,403.43
2018-06-30,454.62,435.16,461.21,434.68
2018-07-01,452.57,455.63,458.11,444.0
2018-07-02,476.05,452.57,482.48,445.63
2018-07-03,461.5,476.05,486.75,460.35
2018-07-04,467.04,461.5,484.66,452.2
2018-07-05,468.06,467.04,478.52,459.01
2018-07-06,470.19,468.06,473.96,450.58
2018-07-07,485.84,470.19,486.32,461.88
2018-07-08,486.53,486.58,493.87,481.95
2018-07-09,470.82,486.53,488.94,469.36
2018-07-10,432.15,470.28,472.73,428.0
2018-07-11,444.0,432.15,446.16,424.87
2018-07-12,427.97,444.0,444.89,418.46
2018-07-13,432.89,427.97,442.15,424.27
2018-07-14,433.19,432.89,439.41,428.51
2018-07-15,448.79,433.19,455.27,431.16
2018-07-16,480.38,448.79,480.81,444.69
2018-07-17,498.87,479.5,510.38,466.02
2018-07-18,478.8,498.87,515.0,470.22
2018-07-19,469.8,478.8,483.84,463.17
2018-07-20,448.44,469.17,469.17,441.04
2018-07-21,461.19,448.44,468.6,442.14
2018-07-22,458.13,460.25,472.4,454.41
2018-07-23,450.18,458.13,470.0,447.68
2018-07-24,479.92,450.18,484.12,442.09
2018-07-25,472.17,479.92,484.96,464.28
2018-07-26,463.06,472.17,484.86,460.2
2018-07-27,470.27,463.06,474.19,456.8
2018-07-28,468.39,470.27,471.83,461.68
2018-07-29,466.3,468.39,472.24,461.16
2018-07-30,456.99,466.3,469.0,445.0
2018-07-31,432.13,456.99,457.39,427.35
2018-08-01,419.26,431.73,434.72,407.19
2018-08-02,411.49,419.26,424.95,407.08
2018-08-03,416.9,408.62,419.71,397.26
2018-08-04,407.29,416.9,419.53,401.86
2018-08-05,409.42,407.29,413.33,400.52
2018-08-06,405.67,408.41,413.17,400.97
2018-08-07,378.46,405.67,411.16,370.72
2018-08-08,355.35,378.46,380.23,347.77
2018-08-09,362.49,355.35,370.21,350.86
2018-08-10,331.5,362.57,365.45,326.78
2018-08-11,318.12,331.5,332.07,305.0
2018-08-12,318.16,318.12,326.88,313.67
