,LTC,Lag
PIVX,5.791845939209584e-13,30
DOGE,2.7383391609341887e-06,12
BTC,6.506540993042416e-05,1
ETC,0.0001598780240653,16
MIOTA,0.0002632332822927,15
DCR,0.0004700828723985,17
ETH,0.0005056818336703,2
DGB,0.0010901800310335,1
DASH,0.0020912028598603,28
RLC,0.0022649138708856,13
ANT,0.0039725868655923,2
BAT,0.0057832298969982,15
ZEN,0.008671887597892,27
KMD,0.0127661759432354,8
QTUM,0.01700527454074,30
STEEM,0.0335356556521689,19
WAVES,0.0389543539004978,6
XRP,0.0395765528122161,1
XEM,0.0555415120204813,18
SYS,0.0580789388617796,29
LUNC,0.0637044794390119,26
ARK,0.0700682829619675,1
SC,0.1235813890531138,8
ZEC,0.1278711068281672,1
LSK,0.1365452422463789,27
XMR,0.1456562788997352,1
GAS,0.1782892216747232,6
XLM,0.1861393840490005,17
GNO,0.1993360295027201,6
BTS,0.2736051440513077,19
FIRO,0.3418983727557836,2
