TIMESTAMP,MAD32103_OPEN_PRICE_USD,MAD32103_HIGH_PRICE_USD,MAD32103_LOW_PRICE_USD,MAD32103_CLOSE_PRICE_USD,MAD32103_VOLUME_USD,MAD32103_DIVIDENDS_USD,MAD32103_STOCK_SPLITS_USD
2024-07-04 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,1703007,0.0,0.0
2024-07-05 00:00:00+00:00,7.999999979801942e-06,1.1000000085914508e-05,6.000000212225132e-06,9.999999747378752e-06,1424861,0.0,0.0
2024-07-06 00:00:00+00:00,9.999999747378752e-06,1.4999999621068127e-05,9.000000318337698e-06,1.2000000424450263e-05,2780331,0.0,0.0
2024-07-07 00:00:00+00:00,1.2000000424450263e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.4000000192027073e-05,342553,0.0,0.0
2024-07-08 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,9.000000318337698e-06,9.999999747378752e-06,270629,0.0,0.0
2024-07-09 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,6.000000212225132e-06,7.999999979801942e-06,123245,0.0,0.0
2024-07-10 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,6.000000212225132e-06,9.000000318337698e-06,116519,0.0,0.0
2024-07-11 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,4.999999873689376e-06,6.000000212225132e-06,162520,0.0,0.0
2024-07-12 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,3.999999989900971e-06,3.999999989900971e-06,168428,0.0,0.0
2024-07-13 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,9.999999974752427e-07,9.999999974752427e-07,419267,0.0,0.0
2024-07-14 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,226400,0.0,0.0
2024-07-15 00:00:00+00:00,9.999999974752427e-07,4.999999873689376e-06,9.999999974752427e-07,3.000000106112566e-06,372744,0.0,0.0
2024-07-16 00:00:00+00:00,3.000000106112566e-06,7.999999979801942e-06,3.000000106112566e-06,7.000000096013537e-06,378215,0.0,0.0
2024-07-17 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,3.999999989900971e-06,3.999999989900971e-06,159362,0.0,0.0
2024-07-18 00:00:00+00:00,3.999999989900971e-06,7.000000096013537e-06,3.999999989900971e-06,6.000000212225132e-06,37555,0.0,0.0
2024-07-19 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,4.999999873689376e-06,65609,0.0,0.0
2024-07-20 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,25563,0.0,0.0
2024-07-21 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,6.000000212225132e-06,65343,0.0,0.0
