TIMESTAMP,QOM_OPEN_PRICE_USD,QOM_HIGH_PRICE_USD,QOM_LOW_PRICE_USD,QOM_CLOSE_PRICE_USD,QOM_VOLUME_USD,QOM_DIVIDENDS_USD,QOM_STOCK_SPLITS_USD
2022-03-18 00:00:00+00:00,,,,0.0,15142461,0.0,0.0
2022-03-19 00:00:00+00:00,,,,0.0,2064615,0.0,0.0
2022-03-20 00:00:00+00:00,,,,0.0,1528467,0.0,0.0
2022-03-21 00:00:00+00:00,,,,0.0,4740777,0.0,0.0
2022-03-22 00:00:00+00:00,,,,0.0,6520250,0.0,0.0
2022-03-23 00:00:00+00:00,,,,0.0,1794336,0.0,0.0
2022-03-24 00:00:00+00:00,,,,0.0,1434749,0.0,0.0
2022-03-25 00:00:00+00:00,,,,0.0,1557913,0.0,0.0
2022-03-26 00:00:00+00:00,,,,0.0,865390,0.0,0.0
2022-03-27 00:00:00+00:00,,,,0.0,2194729,0.0,0.0
2022-03-28 00:00:00+00:00,,,,0.0,6846100,0.0,0.0
2022-03-29 00:00:00+00:00,,,,0.0,18889214,0.0,0.0
2022-03-30 00:00:00+00:00,,,,0.0,8577630,0.0,0.0
2022-03-31 00:00:00+00:00,,,,0.0,7673883,0.0,0.0
2022-04-01 00:00:00+00:00,,,,0.0,7505005,0.0,0.0
2022-04-02 00:00:00+00:00,,,,0.0,24332981,0.0,0.0
2022-04-03 00:00:00+00:00,,,,0.0,77979044,0.0,0.0
2022-04-04 00:00:00+00:00,,,,0.0,27111934,0.0,0.0
2022-04-05 00:00:00+00:00,,,,0.0,15677522,0.0,0.0
2022-04-06 00:00:00+00:00,,,,0.0,12804683,0.0,0.0
2022-04-07 00:00:00+00:00,,,,0.0,4502544,0.0,0.0
2022-04-08 00:00:00+00:00,,,,0.0,12618546,0.0,0.0
2022-04-09 00:00:00+00:00,,,,0.0,3751965,0.0,0.0
2022-04-10 00:00:00+00:00,,,,0.0,5795841,0.0,0.0
2022-04-11 00:00:00+00:00,,,,0.0,3537701,0.0,0.0
2022-04-12 00:00:00+00:00,,,,0.0,4460234,0.0,0.0
2022-04-13 00:00:00+00:00,,,,0.0,3957809,0.0,0.0
2022-04-14 00:00:00+00:00,,,,0.0,6824224,0.0,0.0
2022-04-15 00:00:00+00:00,,,,0.0,5255699,0.0,0.0
2022-04-16 00:00:00+00:00,,,,0.0,5872224,0.0,0.0
2022-04-17 00:00:00+00:00,,,,0.0,4439099,0.0,0.0
2022-04-18 00:00:00+00:00,,,,0.0,18705349,0.0,0.0
2022-04-19 00:00:00+00:00,,,,0.0,8668731,0.0,0.0
2022-04-20 00:00:00+00:00,,,,0.0,11777422,0.0,0.0
2022-04-21 00:00:00+00:00,,,,0.0,6105414,0.0,0.0
2022-04-22 00:00:00+00:00,,,,0.0,5685342,0.0,0.0
2022-04-23 00:00:00+00:00,,,,0.0,4552527,0.0,0.0
2022-04-24 00:00:00+00:00,,,,0.0,5733544,0.0,0.0
2022-04-25 00:00:00+00:00,,,,0.0,7975308,0.0,0.0
2022-04-26 00:00:00+00:00,,,,0.0,5665617,0.0,0.0
2022-04-27 00:00:00+00:00,,,,0.0,6364717,0.0,0.0
2022-04-28 00:00:00+00:00,,,,0.0,9896664,0.0,0.0
2022-04-29 00:00:00+00:00,,,,0.0,5490399,0.0,0.0
2022-04-30 00:00:00+00:00,,,,0.0,6614704,0.0,0.0
2022-05-01 00:00:00+00:00,,,,0.0,4766018,0.0,0.0
2022-05-02 00:00:00+00:00,,,,0.0,6630968,0.0,0.0
2022-05-03 00:00:00+00:00,,,,0.0,4795079,0.0,0.0
2022-05-04 00:00:00+00:00,,,,0.0,4763823,0.0,0.0
2022-05-05 00:00:00+00:00,,,,0.0,5430217,0.0,0.0
2022-05-06 00:00:00+00:00,,,,0.0,5906575,0.0,0.0
2022-05-07 00:00:00+00:00,,,,0.0,4312609,0.0,0.0
2022-05-08 00:00:00+00:00,,,,0.0,4806791,0.0,0.0
2022-05-09 00:00:00+00:00,,,,0.0,6376905,0.0,0.0
2022-05-10 00:00:00+00:00,,,,0.0,10582660,0.0,0.0
