,BTC
DOGE,8.824394466658841e-06
PIVX,0.006042361367143593
SC,0.024614836024752566
SYS,0.042495910658321735
BTS,0.14023971970946858
BAT,0.1468814126333218
ETC,0.15033116365827864
ETH,0.24510879667212576
RLC,0.24668757849338346
XRP,0.2557054492922339
MIOTA,0.2635144730348595
ZEN,0.26861804315315185
DASH,0.27822708487042014
XEM,0.2907234412007768
GAS,0.30857703543373455
DCR,0.3095075227542452
XMR,0.3193540983054509
FIRO,0.3646730103349206
STEEM,0.3879368692614706
LUNC,0.3887134180701048
XLM,0.4010148432401071
WAVES,0.4557568401179967
QTUM,0.5037330302339734
ANT,0.5082880679397489
ARK,0.5432611861575634
ZEC,0.5519680983570211
LSK,0.5733035972187689
DGB,0.580178229101985
GNO,0.5885416191427882
KMD,0.651579186574335
LTC,0.6544339496514999
