,BTC,Lag
DOGE,4.8895995566875296e-08,11
PIVX,1.258609167884445e-05,11
ETC,0.0019305328805507,7
SC,0.0030445181334434,20
ZEN,0.0037645918522453,27
ETH,0.0072138633213027,29
SYS,0.0093071063397926,2
BAT,0.0207843270926528,9
LUNC,0.0333823501645907,4
BTS,0.0425197713382585,10
XEM,0.0437391192998182,16
STEEM,0.0453108421135079,30
XMR,0.0501074960922642,1
MIOTA,0.0517408603522908,17
XRP,0.052502991686464,9
RLC,0.0585854124374049,21
GAS,0.0771179103249652,25
ANT,0.0971720971377948,1
QTUM,0.1006699201673981,18
DCR,0.1106887602465871,22
FIRO,0.1127192818380078,13
DASH,0.1184218939525653,1
XLM,0.1538808268810722,23
KMD,0.163127651842929,1
WAVES,0.1802217184306344,14
ARK,0.1985489616370451,10
GNO,0.2273094696871272,6
DGB,0.2703743905090326,28
LSK,0.2737327584487041,25
ZEC,0.3585574656189416,21
LTC,0.4709313957711202,14
