TIMESTAMP,MAPE32256_OPEN_PRICE_USD,MAPE32256_HIGH_PRICE_USD,MAPE32256_LOW_PRICE_USD,MAPE32256_CLOSE_PRICE_USD,MAPE32256_VOLUME_USD,MAPE32256_DIVIDENDS_USD,MAPE32256_STOCK_SPLITS_USD
2024-07-16 00:00:00+00:00,1.1000000085914508e-05,2.4000000848900527e-05,9.999999747378752e-06,2.099999983329326e-05,5960788,0.0,0.0
2024-07-17 00:00:00+00:00,1.9999999494757503e-05,5.700000110664405e-05,1.9999999494757503e-05,4.70000013592653e-05,14797945,0.0,0.0
2024-07-18 00:00:00+00:00,4.8000001697801054e-05,5.500000042957254e-05,2.700000004551839e-05,3.9999998989515007e-05,8418788,0.0,0.0
2024-07-19 00:00:00+00:00,3.9999998989515007e-05,4.5000000682193786e-05,1.4999999621068127e-05,1.5999999959603883e-05,10587381,0.0,0.0
2024-07-20 00:00:00+00:00,1.5999999959603883e-05,2.4000000848900527e-05,1.5999999959603883e-05,1.8000000636675395e-05,4090667,0.0,0.0
2024-07-21 00:00:00+00:00,1.8000000636675395e-05,2.300000051036477e-05,1.2999999853491317e-05,1.2999999853491317e-05,3116749,0.0,0.0
2024-07-22 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,7.000000096013537e-06,7.000000096013537e-06,3888811,0.0,0.0
2024-07-23 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,3.999999989900971e-06,4.999999873689376e-06,3641676,0.0,0.0
2024-07-24 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,3.999999989900971e-06,4.999999873689376e-06,2349544,0.0,0.0
2024-07-25 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,2402978,0.0,0.0
2024-07-26 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,2080110,0.0,0.0
2024-07-27 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,1.9999999949504854e-06,2170864,0.0,0.0
2024-07-28 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,842917,0.0,0.0
2024-07-29 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,2075867,0.0,0.0
