TIMESTAMP,RINO_OPEN_PRICE_USD,RINO_HIGH_PRICE_USD,RINO_LOW_PRICE_USD,RINO_CLOSE_PRICE_USD,RINO_VOLUME_USD,RINO_DIVIDENDS_USD,RINO_STOCK_SPLITS_USD
2024-10-18 00:00:00+00:00,,,,0.0,20818,0.0,0.0
2024-10-19 00:00:00+00:00,,,,0.0,190797,0.0,0.0
2024-10-20 00:00:00+00:00,,,,0.0,932244,0.0,0.0
2024-10-21 00:00:00+00:00,,,,0.0,864228,0.0,0.0
2024-10-22 00:00:00+00:00,,,,0.0,319394,0.0,0.0
2024-10-23 00:00:00+00:00,,,,0.0,201145,0.0,0.0
2024-10-24 00:00:00+00:00,,,,0.0,69266,0.0,0.0
2024-10-25 00:00:00+00:00,,,,0.0,142466,0.0,0.0
2024-10-26 00:00:00+00:00,,,,0.0,48581,0.0,0.0
2024-10-27 00:00:00+00:00,,,,0.0,54272,0.0,0.0
2024-10-28 00:00:00+00:00,,,,0.0,126318,0.0,0.0
2024-10-29 00:00:00+00:00,,,,0.0,131303,0.0,0.0
2024-10-30 00:00:00+00:00,,,,0.0,53493,0.0,0.0
2024-10-31 00:00:00+00:00,,,,0.0,203623,0.0,0.0
2024-11-01 00:00:00+00:00,,,,0.0,279305,0.0,0.0
2024-11-02 00:00:00+00:00,,,,0.0,280260,0.0,0.0
2024-11-03 00:00:00+00:00,,,,0.0,166509,0.0,0.0
2024-11-04 00:00:00+00:00,,,,0.0,124734,0.0,0.0
2024-11-05 00:00:00+00:00,,,,0.0,145192,0.0,0.0
2024-11-06 00:00:00+00:00,,,,0.0,173470,0.0,0.0
2024-11-07 00:00:00+00:00,,,,0.0,140539,0.0,0.0
2024-11-08 00:00:00+00:00,,,,0.0,173750,0.0,0.0
2024-11-09 00:00:00+00:00,,,,0.0,133350,0.0,0.0
2024-11-10 00:00:00+00:00,,,,0.0,70159,0.0,0.0
2024-11-11 00:00:00+00:00,,,,0.0,106183,0.0,0.0
2024-11-12 00:00:00+00:00,,,,0.0,84567,0.0,0.0
