TIMESTAMP,FREE_OPEN_PRICE_USD,FREE_HIGH_PRICE_USD,FREE_LOW_PRICE_USD,FREE_CLOSE_PRICE_USD,FREE_VOLUME_USD,FREE_DIVIDENDS_USD,FREE_STOCK_SPLITS_USD
2018-10-05 00:00:00+00:00,,,,0.0,1199,0.0,0.0
2018-10-06 00:00:00+00:00,,,,0.0,294,0.0,0.0
2018-10-07 00:00:00+00:00,,,,0.0,2509,0.0,0.0
2018-10-08 00:00:00+00:00,,,,0.0,1352,0.0,0.0
2018-10-09 00:00:00+00:00,,,,0.0,57,0.0,0.0
2018-10-10 00:00:00+00:00,,,,0.0,641,0.0,0.0
2018-10-11 00:00:00+00:00,,,,0.0,453,0.0,0.0
2018-10-12 00:00:00+00:00,,,,0.0,186,0.0,0.0
2018-10-13 00:00:00+00:00,,,,0.0,608,0.0,0.0
2018-10-14 00:00:00+00:00,,,,0.0,22,0.0,0.0
2018-10-15 00:00:00+00:00,0.0,1.9999999949504854e-06,0.0,1.9999999949504854e-06,672,0.0,0.0
2018-10-16 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,4027,0.0,0.0
2018-10-17 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,8455,0.0,0.0
2018-10-18 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,5378,0.0,0.0
2018-10-19 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,5783,0.0,0.0
2018-10-20 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,3800,0.0,0.0
2018-10-21 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,7520,0.0,0.0
2018-10-22 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,24973,0.0,0.0
2018-10-23 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,25433,0.0,0.0
2018-10-24 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,27538,0.0,0.0
2018-10-25 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,28327,0.0,0.0
2018-10-26 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,17393,0.0,0.0
2018-10-27 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,19066,0.0,0.0
2018-10-28 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,28550,0.0,0.0
2018-10-29 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,13543,0.0,0.0
2018-10-30 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,9841,0.0,0.0
2018-10-31 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,11605,0.0,0.0
2018-11-01 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,16231,0.0,0.0
2018-11-02 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,5261,0.0,0.0
2018-11-03 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,8545,0.0,0.0
2018-11-04 00:00:00+00:00,1.9999999949504854e-06,7.999999979801942e-06,1.9999999949504854e-06,6.000000212225132e-06,752,0.0,0.0
2018-11-05 00:00:00+00:00,6.000000212225132e-06,1.8000000636675395e-05,3.000000106112566e-06,1.8000000636675395e-05,553,0.0,0.0
2018-11-06 00:00:00+00:00,1.8000000636675395e-05,2.2000000171829015e-05,1.2000000424450263e-05,1.4999999621068127e-05,3175,0.0,0.0
2018-11-07 00:00:00+00:00,1.4999999621068127e-05,2.499999936844688e-05,9.000000318337698e-06,1.8999999156221747e-05,2953,0.0,0.0
2018-11-08 00:00:00+00:00,1.8999999156221747e-05,2.300000051036477e-05,9.999999747378752e-06,1.4999999621068127e-05,1292,0.0,0.0
2018-11-09 00:00:00+00:00,1.4999999621068127e-05,1.700000029813964e-05,1.9999999949504854e-06,1.9999999949504854e-06,15534,0.0,0.0
2018-11-10 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,56794,0.0,0.0
2018-11-11 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,26685,0.0,0.0
2018-11-12 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,17441,0.0,0.0
2018-11-13 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,7902,0.0,0.0
2018-11-14 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,17247,0.0,0.0
2018-11-15 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,13666,0.0,0.0
2018-11-16 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,9164,0.0,0.0
2018-11-17 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,8634,0.0,0.0
