TIMESTAMP,SHOGGOTH_OPEN_PRICE_USD,SHOGGOTH_HIGH_PRICE_USD,SHOGGOTH_LOW_PRICE_USD,SHOGGOTH_CLOSE_PRICE_USD,SHOGGOTH_VOLUME_USD,SHOGGOTH_DIVIDENDS_USD,SHOGGOTH_STOCK_SPLITS_USD
2024-10-23 00:00:00+00:00,0.0010430000256747007,0.001218999968841672,0.0008539999835193157,0.0009050000226125121,243754,0.0,0.0
2024-10-24 00:00:00+00:00,0.0008539999835193157,0.0009270000155083835,0.0003459999861661345,0.0003760000108741224,70767,0.0,0.0
2024-10-25 00:00:00+00:00,0.0003760000108741224,0.0003760000108741224,0.00020300000323913991,0.00020300000323913991,12000,0.0,0.0
2024-10-26 00:00:00+00:00,0.00020300000323913991,0.00023600000713486224,0.00016399999731220305,0.00016700000560376793,13193,0.0,0.0
2024-10-27 00:00:00+00:00,0.00016700000560376793,0.00017299999308306724,0.00016500000492669642,0.00016599999798927456,1908,0.0,0.0
2024-10-28 00:00:00+00:00,0.00016599999798927456,0.00016700000560376793,0.00015900000289548188,0.0001630000042496249,941,0.0,0.0
2024-10-29 00:00:00+00:00,0.0001630000042496249,0.00016500000492669642,0.00015999999595806003,0.00016199999663513154,847,0.0,0.0
2024-10-30 00:00:00+00:00,0.00016199999663513154,0.00018899999849963933,0.0001230000052601099,0.00012399999832268804,12865,0.0,0.0
2024-10-31 00:00:00+00:00,0.00012399999832268804,0.00012599999899975955,0.00011899999663000926,0.00011999999696854502,198,0.0,0.0
2024-11-01 00:00:00+00:00,0.00011999999696854502,0.00011999999696854502,0.00011600000289035961,0.00011700000322889537,43,0.0,0.0
2024-11-02 00:00:00+00:00,0.00011700000322889537,0.00011899999663000926,0.00011700000322889537,0.00011700000322889537,43,0.0,0.0
2024-11-03 00:00:00+00:00,0.00011700000322889537,0.0001250000059371814,0.00011200000153621659,0.0001140000022132881,5154,0.0,0.0
2024-11-04 00:00:00+00:00,0.0001140000022132881,0.0001140000022132881,8.299999899463728e-05,8.299999899463728e-05,2905,0.0,0.0
2024-11-05 00:00:00+00:00,8.299999899463728e-05,8.299999899463728e-05,8.299999899463728e-05,8.299999899463728e-05,0,0.0,0.0
2024-11-06 00:00:00+00:00,8.299999899463728e-05,9.600000339560211e-05,8.299999899463728e-05,9.600000339560211e-05,196,0.0,0.0
2024-11-07 00:00:00+00:00,9.600000339560211e-05,0.00010599999950500205,9.40000027185306e-05,0.00010599999950500205,907,0.0,0.0
2024-11-08 00:00:00+00:00,0.00010599999950500205,0.00010599999950500205,9.899999713525176e-05,0.00010099999781232327,693,0.0,0.0
2024-11-09 00:00:00+00:00,0.00010099999781232327,0.00010099999781232327,9.899999713525176e-05,0.00010099999781232327,77,0.0,0.0
2024-11-10 00:00:00+00:00,0.00010099999781232327,0.00010699999984353781,0.00010099999781232327,0.00010699999984353781,75,0.0,0.0
2024-11-11 00:00:00+00:00,0.00010699999984353781,0.00013499999477062374,0.0001049999991664663,0.00013499999477062374,4822,0.0,0.0
2024-11-12 00:00:00+00:00,0.00013499999477062374,0.00021600000036414713,0.00013099999341648072,0.00018600000475998968,30156,0.0,0.0
2024-11-13 00:00:00+00:00,0.00018600000475998968,0.00023099999816622585,0.00018099999579135329,0.00021399999968707561,14528,0.0,0.0
2024-11-14 00:00:00+00:00,0.00021399999968707561,0.0002770000137388706,0.00021100000594742596,0.00021699999342672527,14097,0.0,0.0
2024-11-15 00:00:00+00:00,0.00021699999342672527,0.0002460000105202198,0.00010699999984353781,0.00010699999984353781,19199,0.0,0.0
