TIMESTAMP,XDN_CLOSE_PRICE_USD,XDN_OPEN_PRICE_USD,XDN_HIGH_PRICE_USD,XDN_LOW_PRICE_USD
2018-01-30,0.024563,0.026957,0.027081,0.024
2018-01-31,0.025435,0.02451,0.025581,0.023636
2018-02-01,0.022051,0.025415,0.02683,0.020779
2018-02-02,0.017944,0.022051,0.022051,0.0137
2018-02-03,0.018457,0.017944,0.019545,0.015394
2018-02-04,0.017001,0.018457,0.019124,0.016052
2018-02-05,0.012909,0.017001,0.017555,0.012523
2018-02-06,0.01445,0.012909,0.014621,0.009638
2018-02-07,0.014795,0.01445,0.017177,0.013743
2018-02-08,0.016076,0.014792,0.017123,0.01475
2018-02-09,0.019843,0.016076,0.01995,0.015565
2018-02-10,0.020587,0.019786,0.023759,0.018927
2018-02-11,0.019546,0.020587,0.020875,0.018987
2018-02-12,0.021884,0.019538,0.022346,0.019525
2018-02-13,0.020802,0.021884,0.021959,0.020511
2018-02-14,0.022332,0.020802,0.022966,0.0205
2018-02-15,0.023186,0.022339,0.023402,0.021339
2018-02-16,0.022713,0.023157,0.024006,0.020191
2018-02-17,0.026506,0.022713,0.027,0.022619
2018-02-18,0.024904,0.026506,0.028257,0.024003
2018-02-19,0.025382,0.024904,0.026312,0.024746
2018-02-20,0.024374,0.025382,0.028556,0.023983
2018-02-21,0.022389,0.024365,0.024927,0.021373
2018-02-22,0.019877,0.022443,0.023659,0.0198
2018-02-23,0.021053,0.019917,0.022099,0.018763
2018-02-24,0.019212,0.021053,0.021461,0.018514
2018-02-25,0.019483,0.019212,0.021409,0.0187
2018-02-26,0.019799,0.019483,0.0201,0.018991
2018-02-27,0.019352,0.01985,0.020054,0.018824
2018-02-28,0.017104,0.019352,0.01974,0.017103
2018-03-01,0.019774,0.017104,0.021197,0.016455
2018-03-02,0.018796,0.019773,0.020031,0.018186
2018-03-03,0.018215,0.018802,0.018928,0.017975
2018-03-04,0.017687,0.018215,0.018397,0.016695
2018-03-05,0.0173,0.017682,0.017692,0.016439
2018-03-06,0.015512,0.0173,0.018184,0.015376
2018-03-07,0.014163,0.015512,0.016067,0.0138
2018-03-08,0.013122,0.014166,0.014825,0.013035
2018-03-09,0.01249,0.013122,0.013285,0.011683
2018-03-10,0.011429,0.01249,0.012813,0.0113
2018-03-11,0.011992,0.011429,0.012634,0.0111
2018-03-12,0.011683,0.011992,0.0125,0.01129
2018-03-13,0.011566,0.011689,0.012147,0.011313
2018-03-14,0.010601,0.011563,0.012149,0.010464
2018-03-15,0.009373,0.010601,0.010614,0.008942
2018-03-16,0.009467,0.009373,0.009951,0.009176
2018-03-17,0.008129,0.009467,0.009467,0.008093
2018-03-18,0.00808,0.008092,0.008092,0.006526
2018-03-19,0.008503,0.00808,0.008915,0.007558
2018-03-20,0.009209,0.008503,0.00945,0.008082
2018-03-21,0.009396,0.009209,0.010534,0.009053
2018-03-22,0.009262,0.009396,0.0094,0.008551
2018-03-23,0.008669,0.009262,0.009262,0.008169
2018-03-24,0.00847,0.008669,0.00883,0.008308
2018-03-25,0.009078,0.00847,0.009677,0.00819
2018-03-26,0.008299,0.009078,0.009532,0.007856
2018-03-27,0.008032,0.008302,0.008828,0.008032
2018-03-28,0.008083,0.008032,0.008594,0.007944
2018-03-29,0.007153,0.008083,0.008148,0.007118
2018-03-30,0.006662,0.007153,0.007253,0.00651
2018-03-31,0.006875,0.006662,0.007485,0.006628
2018-04-01,0.006682,0.006875,0.006905,0.00636
2018-04-02,0.006863,0.006682,0.007,0.006654
2018-04-03,0.008626,0.006863,0.008914,0.006806
2018-04-04,0.007363,0.008626,0.008746,0.007307
2018-04-05,0.007165,0.007344,0.007567,0.006872
2018-04-06,0.006978,0.007072,0.007301,0.006905
2018-04-07,0.00725,0.006978,0.00745,0.006916
2018-04-08,0.008047,0.00725,0.008273,0.007231
2018-04-09,0.007781,0.008002,0.008299,0.007409
2018-04-10,0.0082,0.007781,0.008279,0.007587
2018-04-11,0.00897,0.008142,0.009919,0.008009
