TIMESTAMP,UWU34172_OPEN_PRICE_USD,UWU34172_HIGH_PRICE_USD,UWU34172_LOW_PRICE_USD,UWU34172_CLOSE_PRICE_USD,UWU34172_VOLUME_USD,UWU34172_DIVIDENDS_USD,UWU34172_STOCK_SPLITS_USD
2024-12-01 00:00:00+00:00,4.199999966658652e-05,6.70000008540228e-05,3.9999998989515007e-05,4.600000102072954e-05,13681,0.0,0.0
2024-12-02 00:00:00+00:00,4.600000102072954e-05,4.999999873689376e-05,2.9000000722589903e-05,3.199999991920777e-05,17270,0.0,0.0
2024-12-03 00:00:00+00:00,3.199999991920777e-05,8.299999899463728e-05,2.9999999242136255e-05,7.300000288523734e-05,67899,0.0,0.0
2024-12-04 00:00:00+00:00,7.300000288523734e-05,7.79999973019585e-05,4.70000013592653e-05,4.8999998398358e-05,22584,0.0,0.0
2024-12-05 00:00:00+00:00,4.8999998398358e-05,5.199999941396527e-05,4.3000000005122274e-05,4.400000034365803e-05,3939,0.0,0.0
2024-12-06 00:00:00+00:00,4.5000000682193786e-05,4.8000001697801054e-05,4.199999966658652e-05,4.5000000682193786e-05,2474,0.0,0.0
2024-12-07 00:00:00+00:00,4.5000000682193786e-05,4.8000001697801054e-05,4.5000000682193786e-05,4.5000000682193786e-05,1675,0.0,0.0
2024-12-08 00:00:00+00:00,4.5000000682193786e-05,4.5000000682193786e-05,4.099999932805076e-05,4.5000000682193786e-05,1649,0.0,0.0
2024-12-09 00:00:00+00:00,4.5000000682193786e-05,4.5000000682193786e-05,3.400000059627928e-05,3.400000059627928e-05,1925,0.0,0.0
2024-12-10 00:00:00+00:00,3.400000059627928e-05,5.199999941396527e-05,3.199999991920777e-05,3.400000059627928e-05,14403,0.0,0.0
2024-12-11 00:00:00+00:00,3.400000059627928e-05,3.7999998312443495e-05,3.400000059627928e-05,3.7000001611886546e-05,2735,0.0,0.0
2024-12-12 00:00:00+00:00,3.7000001611886546e-05,4.999999873689376e-05,3.300000025774352e-05,3.600000127335079e-05,9001,0.0,0.0
2024-12-13 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,3.300000025774352e-05,3.5000000934815034e-05,1567,0.0,0.0
2024-12-14 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,3.099999958067201e-05,3.099999958067201e-05,282,0.0,0.0
2024-12-15 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,2.9999999242136255e-05,2.9999999242136255e-05,342,0.0,0.0
2024-12-16 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9000000722589903e-05,563,0.0,0.0
2024-12-17 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.700000004551839e-05,2.700000004551839e-05,532,0.0,0.0
2024-12-18 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.2000000171829015e-05,2.2000000171829015e-05,743,0.0,0.0
2024-12-19 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,1.8999999156221747e-05,1.8999999156221747e-05,649,0.0,0.0
2024-12-20 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.700000029813964e-05,1.8000000636675395e-05,37,0.0,0.0
2024-12-21 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.700000029813964e-05,1.700000029813964e-05,255,0.0,0.0
2024-12-22 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.700000029813964e-05,1.700000029813964e-05,134,0.0,0.0
2024-12-23 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,93,0.0,0.0
2024-12-24 00:00:00+00:00,1.700000029813964e-05,1.8999999156221747e-05,1.700000029813964e-05,1.8000000636675395e-05,147,0.0,0.0
2024-12-25 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,8,0.0,0.0
2024-12-26 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,19,0.0,0.0
2024-12-27 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.700000029813964e-05,95,0.0,0.0
2024-12-28 00:00:00+00:00,1.700000029813964e-05,2.8000000384054147e-05,1.700000029813964e-05,2.8000000384054147e-05,4455,0.0,0.0
