Lag,BAT,DASH,DCR,DOGE,ETC,ETH,GNO,IOTA,LTC,QTUM,USDT,XLM,XMR,XRP,ZEC
1,0.06953058616516836,0.18533665916126418,0.17886616065186156,0.4198423057378949,0.2093074773527733,0.2229235650623824,0.4370750948003581,0.5957042797593,0.24156381790535814,0.17810744792017522,0.12555912745747697,0.1572700967290248,0.042190124190700576,0.4290492373144985,0.2185363685248483
2,0.03420060834940677,0.1133013949839421,0.25457553104812625,0.5416012116634559,0.18908906117140414,0.2271063807271619,0.5154898199999423,0.3363203323267496,0.13116350738057714,0.19745049202088574,0.17763419072341818,0.0058652337308307614,0.10300263514757965,0.4812600708219567,0.175184461103305
3,0.05094572552903653,0.16756760659577036,0.24130340788349955,0.5740532919900714,0.19750639169844184,0.2711791651834122,0.1891124826142881,0.2505730998278581,0.126075681193583,0.1245666448605386,0.2380877513525989,0.014034232226244276,0.14523708220770976,0.4210696325163841,0.20396309564408466
4,0.034740486033915996,0.09486742843974252,0.24415048419906424,0.4820800410698156,0.09038860539790176,0.1560056587865105,0.1416223004878685,0.1680275005896187,0.012377279689628968,0.17974549540332774,0.24999743839146926,0.010585119541004726,0.11655095058263513,0.4075191648525494,0.08971084078777043
5,0.06504341188716843,0.12241713602666306,0.26942704289488184,0.3869002799761153,0.11279526745261322,0.19706515090463708,0.15880827984423324,0.06800268292421802,0.026900974636181577,0.11334282917148139,0.24106261125570733,0.022013305484243788,0.1638627170962224,0.3761382185459932,0.11476149904081101
6,0.04684682202975872,0.08875089023767996,0.2797297091654236,0.38813458175864207,0.10680035256552534,0.23464207723479485,0.10832841124516501,0.013100615644922632,0.03311490878999278,0.15625554485852383,0.2502405738770604,0.019443384560632666,0.19124986187751175,0.2561343556099552,0.1361321961882622
7,0.03202306367482993,0.08534621777680006,0.20465893048812175,0.39979109564496373,0.03928184168264802,0.21755136195796648,0.15568744267454476,0.022772039327470222,0.023956440420273593,0.14140373677610024,0.25129350231977304,0.030230697886020452,0.16096916726820848,0.2045465026658134,0.12889671851859705
8,0.002160017141198181,0.07750814119739122,0.21300706288999346,0.4082754474889407,0.037246242147780634,0.0780492848288232,0.18358935373731336,0.039190512669926535,0.014404970696964992,0.1829024061655637,0.2215205545803936,0.04129858107823999,0.03969805107603393,0.1637617852680568,0.10088915548081018
9,0.004567816725542826,0.04287633162034317,0.23579963818707633,0.47114589320148825,0.05108932082596322,0.05259154377728039,0.12420953995789649,0.05183552925363293,0.013005564820561262,0.10799815133371048,0.0665490337721763,0.047479933543899476,0.0298588369435223,0.16217880564296094,0.12318033644364651
10,0.004521979568606724,0.012628395242479674,0.18630503645632523,0.5503114978918199,0.05882682751285973,0.0688919112629175,0.16242764898595793,0.0744179949336475,0.0007728170897870894,0.015846870019351672,0.0632511095719009,0.06483668011662108,0.03911897634620847,0.15508533489120174,0.05481677567482463
11,0.015761330012174758,0.015243635180165712,0.19032699470632908,0.12113438931787057,0.06894203213554377,0.0696624659892508,0.12790282581985116,0.10152043738047051,0.0013143060955675032,0.07066154957488324,0.029436479752789076,0.02454106895354658,0.04604561471212631,0.10374844017920477,0.03589064596591955
12,0.022062441752579345,0.018079279833235595,0.22452750825036505,0.1016419829497516,0.07533669063865926,0.10407295415913459,0.1232542763663697,0.1351796173110076,0.0010764676723956231,0.08045968048967718,0.05481107835739213,0.032635752027984355,0.0697321684470373,0.12344932831178955,0.03137736863680222
13,0.027137723471846953,0.021609139057982736,0.2554133817306267,0.13447415406188323,0.07532321487874617,0.11159942166995439,0.13846883134132829,0.1616955010995321,0.0009259960960863678,0.08911194823382558,0.0781983043535057,0.0434877098652114,0.10120960775750673,0.09800341716057262,0.0396260882722871
14,0.02654653350692304,0.015170378802151559,0.2722765450421909,0.15641133054565182,0.08342165292716965,0.1455954190513581,0.16488319170084745,0.19105458740850695,0.0004856999008460238,0.08134529691945439,0.1042685906827021,0.014760265933759282,0.12216888018875269,0.08151679503283281,0.051085638891680184
15,0.03177971782930303,0.016229186024404374,0.2524437712294991,0.18368285670930512,0.08664370618024218,0.15415525150277715,0.18838930285398411,0.10865446515467017,0.0008483280938923759,0.08425716061580897,0.1354050751156685,0.02740940663047655,0.16052396821358086,0.08886340118680472,0.0712541949844519
16,0.043485851295067296,0.02064035994181457,0.14567855205943792,0.17479940462024174,0.052730547203914284,0.17822144656844693,0.18071090751387384,0.10210081243248759,0.0018519478836815672,0.0402984846793655,0.09109495683084871,0.03296232879084577,0.11853835402330608,0.09654316900202863,0.07569560808109015
17,0.023211272384388252,0.01855093932002272,0.1496105184364379,0.20029731015282962,0.04283702690162341,0.1572518066722554,0.1925897423130989,0.10880097487045458,0.0009701891347020931,0.032674717161879044,0.10100788851235976,0.030652300610055076,0.09128543294489583,0.055654235365556776,0.07448078981777202
18,0.02792366353131546,0.02270752329511932,0.13804687680231226,0.1573462804799049,0.056846938478316664,0.08147185055737882,0.20270417947836727,0.09185978210802087,0.0007073618990546385,0.030057311520540468,0.07923404509296758,0.010667725651338437,0.1219086171851763,0.023919592553228602,0.06370296505169108
19,0.023027727421165652,0.025725513958092378,0.14640793358877147,0.17668351096249876,0.04726977892789242,0.07930329380448939,0.20054091016781617,0.10208146251304151,0.0009999097728808114,0.03707847577682876,0.049024720262762514,0.014982212656374531,0.1268575128218077,0.03151729787256057,0.06421757866811578
20,0.029113056217110068,0.018002805762318677,0.11644250369179937,0.1410580069514748,0.022889804107025864,0.06567253459720541,0.1980001583889949,0.12397627924111194,0.0009433871825202291,0.04660829445452004,0.05616814239727029,0.022339602653292604,0.08875411035338539,0.037840315815556344,0.04996513610694446
21,0.03600122341732881,0.02306018878419734,0.12085294815209399,0.17051148690874868,0.02414844780781201,0.06354059907669014,0.16182526435693945,0.13329769749873205,0.001033590494290012,0.04444076094492473,0.06407801463538038,0.02286249561588382,0.09692154957174076,0.020397160891537734,0.06036726132707913
22,0.043967129637278425,0.02898642701313309,0.12275995519708749,0.19687180152168077,0.019421882933205754,0.0478499454860984,0.18587372186472967,0.15772018465241366,0.0009367396742090951,0.05157376501925542,0.07556944684191191,0.024262102118976104,0.10620859716973974,0.017582856772984042,0.056019668770558265
23,0.03774134483235957,0.034597012045539555,0.13644109081860117,0.22541755809311734,0.018353064117597778,0.021274465724650065,0.23736012732492623,0.15445769618777516,0.0011106536787103295,0.05530484309972902,0.09049237356670423,0.005748298252449591,0.10334139700305886,0.022710488608788562,0.06626593951523352
24,0.04414264227817728,0.03938502703014143,0.14358330972104172,0.22900144079984475,0.018790658095443964,0.016350221662393808,0.263982195795056,0.16641112841566078,0.0007150332791384885,0.0677553130988871,0.03792419322353326,0.004472657403873021,0.11835943005966149,0.0248027959983754,0.07599192993906928
25,0.039557024843091045,0.03666937218935626,0.1519494988389333,0.07870190923438429,0.011903678437955345,0.010640847918672586,0.2949286661960667,0.12437892673066187,0.0009227056294369866,0.07970835922102174,0.028421838062252347,0.005173240813935439,0.10263690306709355,0.023240503357425866,0.08980661655905772
26,0.0500480939712229,0.04232246757929033,0.17062651167901063,0.08204643295077296,0.010634538112314889,0.01269458080849002,0.3003967225312504,0.12428367055389161,0.00158904689048596,0.09322326057651016,0.029896513811166942,0.0040360574327278735,0.12485146370792209,0.025000761546187914,0.07774392232429059
27,0.04481772407555587,0.04400177292145533,0.13867842882007794,0.09819088158413548,0.012255395350479365,0.005585936609947626,0.3113492161920507,0.1478857656158833,0.0014765890646917723,0.1434546463470514,0.03584518382812345,0.005873598319566521,0.0655140182690322,0.026779449855801697,0.059376935054194745
28,0.049965102887604786,0.04949115151743458,0.13153362054242212,0.06966508241227623,0.013738211206427786,0.007473620623124972,0.3166780986822946,0.09537965601339801,0.0013807086807932946,0.1423362540346051,0.048103837159658915,0.006486122539930417,0.08209789730680632,0.03326715148205051,0.07193140381210998
29,0.05335615037541469,0.05272716989530701,0.10962635692477016,0.029146184368492395,0.01830149747901618,0.0022750839855797942,0.21875461037042002,0.11149453722490454,0.0007930051811934323,0.08138966205073052,0.035610099015836685,0.007723089397289881,0.02584423982676651,0.028563005105213073,0.08025813492871789
30,0.055158624021273875,0.055439315738064,0.112421129187371,0.026835606042715666,0.015517373990995256,0.002988265240001112,0.14704767484780007,0.0789613033554525,0.0009971385602568247,0.04657252284563682,0.01198046208345053,0.006702124151002818,0.033121036719571624,0.00769699418093509,0.08805361610361778
