Lag,BAT,DASH,DCR,DOGE,ETC,ETH,GNO,IOTA,LTC,QTUM,USDT,XLM,XMR,XRP,ZEC
1,0.20923920943975519,0.1635600473233712,0.4443055122835372,0.5738025266773934,2.3470437733345505e-06,0.0003111915218279783,0.39272827764141105,0.9487546593631091,0.002959950639054394,0.17433459857559847,0.11047134814690691,0.31185132454500303,0.0506705522565129,0.00029577225794029984,0.0006196080677842118
2,0.06611934113024946,0.08467596959119499,0.7427374422140011,0.8286439734713584,1.7454972327969644e-05,0.0016009666147359903,0.4740250959015704,0.33589218906065715,0.011568740709203494,0.08435123485900944,0.034348564880519204,0.0036657876045096123,0.12560188926819368,4.294597755281563e-05,0.0029360684511111315
3,0.14009617945882522,0.11905661231119373,0.8751614964750682,0.8018519820701565,6.460777917562624e-05,0.004339382556377814,0.035953704484584514,0.14571486553482743,0.028914829191240905,0.14097630573385525,0.030954293466391374,0.008808744539605033,0.14687355909699595,9.819738444336391e-05,0.007994517362391875
4,0.13834090965981885,0.036850285525095595,0.8307855774360571,0.6648715365116283,4.635129201750566e-05,0.00034988169985312046,0.06711698687103289,0.031071525674604503,0.00053629800224189,0.19651134083876365,0.021552825628962522,0.011752533479733646,0.050085681046164336,0.00025730862703139115,0.002749495981551014
5,0.25825115916443425,0.022629101587216486,0.9460458622548813,0.42917673761018604,5.845398058374834e-05,0.00016960485120593393,0.08255921812943517,0.06740179473023665,0.0008593649414548411,0.032283912242141784,0.0020396298017202052,0.027531153545124937,0.060674613021253855,0.0007574265760244279,0.0032303170566813787
6,0.18412438205445278,0.004961932493867065,0.9767123778963506,0.5532335242212174,4.6708891293416765e-06,8.114185812994052e-05,0.02432631654950443,0.02374366114415156,0.0003808360181724895,0.06272024122911964,0.004253293783281749,0.008191136686858587,0.043117057177391775,0.00036239672605678914,0.0003903488789983101
7,0.12651326385325803,0.009459572500195168,0.7176761496393976,0.550548383622492,2.294353520470768e-07,6.906520358123477e-05,0.04332063381213794,0.046649746474507904,7.198433674743504e-05,0.03433951373706487,0.005550307767039121,0.008193265887884105,0.03396040097312101,0.00044045263385207264,0.00011974381266003498
8,0.00752766645254085,0.01530617322686457,0.7726535726099124,0.6208735141068988,3.3630844675971936e-07,8.885771155051205e-06,0.037592615222474694,0.0803288068226015,1.935213516988901e-05,0.0550666642671121,0.0008575005841740341,0.0024983993304421226,0.016546022153353785,4.9128974811766535e-06,6.050602825824468e-05
9,0.015760757818510242,0.020745622358599513,0.8333167748523257,0.6892119450133587,8.302432569072293e-07,7.903868773986736e-07,0.010504271967874006,0.10262218824278485,3.642884011247615e-05,0.04261039835337517,0.0013269053649331106,0.00028737201899260115,0.027797511589061807,5.127804901452115e-07,9.494187609731511e-05
10,0.01592661387985899,0.0011165918151614192,0.5898382962910441,0.7581931176639604,1.1957593909828364e-06,1.7119474501327026e-06,0.018952163944982423,0.14083813540349352,2.2259587925824833e-06,5.448615527666775e-05,0.0012746754217094966,0.0003977342251815965,0.04215102799084941,8.954358157384298e-08,8.779192512473146e-05
11,0.06082088539849359,0.001986751154874255,0.5853687740570308,0.1807750561339852,1.7665004390369634e-06,2.894026862226294e-06,0.005277844256011619,0.2064065183459159,3.8871625209224166e-06,0.0004664869532270403,0.0014332231387808052,4.064693861243377e-05,0.054949268874836636,3.4041354713052563e-09,3.699695375210479e-05
