TIMESTAMP,ZHOUKING_OPEN_PRICE_USD,ZHOUKING_HIGH_PRICE_USD,ZHOUKING_LOW_PRICE_USD,ZHOUKING_CLOSE_PRICE_USD,ZHOUKING_VOLUME_USD,ZHOUKING_DIVIDENDS_USD,ZHOUKING_STOCK_SPLITS_USD
2025-04-01 00:00:00+00:00,,,,0.0,16663,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,27348,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,22119,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,21514,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,43069,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,78534,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,281518,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,109489,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,28209,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,14901,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,32340,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,33265,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,8335,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,11801,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,7087,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,15707,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,8823,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,15749,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,3776,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,3701,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,37184,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,72334,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,86957,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,46756,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,34354,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,29659,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,17406,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,25394,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,19935,0.0,0.0
2025-05-06 00:00:00+00:00,,,,0.0,35647,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,17564,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,27264,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,47190,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,21001,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,11432,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,17587,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,58855,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,22213,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,23235,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,57523,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,28252,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,23281,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,52078,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,18119,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,9643,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,23041,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,6762,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,16822,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,16674,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,10825,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,21769,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,6342,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,1860,0.0,0.0
2025-06-01 00:00:00+00:00,9.134541301136778e-08,9.325807326376889e-08,8.928392247753436e-08,9.321856708766063e-08,3429,0.0,0.0
