TIMESTAMP,RATS33659_OPEN_PRICE_USD,RATS33659_HIGH_PRICE_USD,RATS33659_LOW_PRICE_USD,RATS33659_CLOSE_PRICE_USD,RATS33659_VOLUME_USD,RATS33659_DIVIDENDS_USD,RATS33659_STOCK_SPLITS_USD
2024-10-28 00:00:00+00:00,,,,0.0,286725,0.0,0.0
2024-10-29 00:00:00+00:00,,,,0.0,331450,0.0,0.0
2024-10-30 00:00:00+00:00,,,,0.0,204580,0.0,0.0
2024-10-31 00:00:00+00:00,,,,0.0,240370,0.0,0.0
2024-11-01 00:00:00+00:00,,,,0.0,176470,0.0,0.0
2024-11-02 00:00:00+00:00,,,,0.0,112660,0.0,0.0
2024-11-03 00:00:00+00:00,,,,0.0,38280,0.0,0.0
2024-11-04 00:00:00+00:00,,,,0.0,18337,0.0,0.0
2024-11-05 00:00:00+00:00,,,,0.0,5288,0.0,0.0
2024-11-06 00:00:00+00:00,,,,0.0,9822,0.0,0.0
2024-11-07 00:00:00+00:00,,,,0.0,2645,0.0,0.0
2024-11-08 00:00:00+00:00,,,,0.0,959,0.0,0.0
2024-11-09 00:00:00+00:00,,,,0.0,2932,0.0,0.0
2024-11-10 00:00:00+00:00,,,,0.0,7866,0.0,0.0
2024-11-11 00:00:00+00:00,,,,0.0,21352,0.0,0.0
2024-11-12 00:00:00+00:00,,,,0.0,1021,0.0,0.0
2024-11-13 00:00:00+00:00,,,,0.0,1444,0.0,0.0
2024-11-14 00:00:00+00:00,,,,0.0,1315,0.0,0.0
2024-11-15 00:00:00+00:00,,,,0.0,3163,0.0,0.0
2024-11-16 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,316339,0.0,0.0
2024-11-17 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,217904,0.0,0.0
2024-11-18 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,71191,0.0,0.0
2024-11-19 00:00:00+00:00,,,,0.0,53173,0.0,0.0
2024-11-20 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,231601,0.0,0.0
2024-11-21 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,204646,0.0,0.0
2024-11-22 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,119145,0.0,0.0
2024-11-23 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,165516,0.0,0.0
2024-11-24 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,156292,0.0,0.0
2024-11-25 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,187989,0.0,0.0
2024-11-26 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,152118,0.0,0.0
2024-11-27 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,99614,0.0,0.0
2024-11-28 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,83166,0.0,0.0
2024-11-29 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,88000,0.0,0.0
2024-11-30 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,3.000000106112566e-06,526199,0.0,0.0
2024-12-01 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,9.999999974752427e-07,9.999999974752427e-07,358774,0.0,0.0
2024-12-02 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,204593,0.0,0.0
