TIMESTAMP,ZOOT_OPEN_PRICE_USD,ZOOT_HIGH_PRICE_USD,ZOOT_LOW_PRICE_USD,ZOOT_CLOSE_PRICE_USD,ZOOT_VOLUME_USD,ZOOT_DIVIDENDS_USD,ZOOT_STOCK_SPLITS_USD
2021-05-22 00:00:00+00:00,,,,0.0,15990844,0.0,0.0
2021-05-23 00:00:00+00:00,,,,0.0,14313317,0.0,0.0
2021-05-24 00:00:00+00:00,,,,0.0,9033901,0.0,0.0
2021-05-25 00:00:00+00:00,,,,0.0,6815226,0.0,0.0
2021-05-26 00:00:00+00:00,,,,0.0,6192787,0.0,0.0
2021-05-27 00:00:00+00:00,,,,0.0,6752987,0.0,0.0
2021-05-28 00:00:00+00:00,,,,0.0,3905826,0.0,0.0
2021-05-29 00:00:00+00:00,,,,0.0,3932787,0.0,0.0
2021-05-30 00:00:00+00:00,,,,0.0,3267820,0.0,0.0
2021-05-31 00:00:00+00:00,,,,0.0,2905281,0.0,0.0
2021-06-01 00:00:00+00:00,,,,0.0,2372955,0.0,0.0
2021-06-02 00:00:00+00:00,,,,0.0,2442782,0.0,0.0
2021-06-03 00:00:00+00:00,,,,0.0,2136959,0.0,0.0
2021-06-04 00:00:00+00:00,,,,0.0,13438683,0.0,0.0
2021-06-05 00:00:00+00:00,,,,0.0,7899452,0.0,0.0
2021-06-06 00:00:00+00:00,,,,0.0,6098577,0.0,0.0
2021-06-07 00:00:00+00:00,,,,0.0,5056029,0.0,0.0
2021-06-08 00:00:00+00:00,,,,0.0,4315392,0.0,0.0
2021-06-09 00:00:00+00:00,,,,0.0,3784835,0.0,0.0
2021-06-10 00:00:00+00:00,,,,0.0,2245182,0.0,0.0
2021-06-11 00:00:00+00:00,,,,0.0,3499045,0.0,0.0
2021-06-12 00:00:00+00:00,,,,0.0,2115134,0.0,0.0
2021-06-13 00:00:00+00:00,,,,0.0,1655583,0.0,0.0
2021-06-14 00:00:00+00:00,,,,0.0,1630638,0.0,0.0
2021-06-15 00:00:00+00:00,,,,0.0,1876574,0.0,0.0
2021-06-16 00:00:00+00:00,,,,0.0,2531382,0.0,0.0
2021-06-17 00:00:00+00:00,,,,0.0,2275379,0.0,0.0
2021-06-18 00:00:00+00:00,,,,0.0,1800703,0.0,0.0
2021-06-19 00:00:00+00:00,,,,0.0,1090710,0.0,0.0
2021-06-20 00:00:00+00:00,,,,0.0,2648456,0.0,0.0
2021-06-21 00:00:00+00:00,,,,0.0,1605341,0.0,0.0
2021-06-22 00:00:00+00:00,,,,0.0,1633793,0.0,0.0
2021-06-23 00:00:00+00:00,,,,0.0,1784457,0.0,0.0
2021-06-24 00:00:00+00:00,,,,0.0,1601989,0.0,0.0
2021-06-25 00:00:00+00:00,,,,0.0,1038707,0.0,0.0
2021-06-26 00:00:00+00:00,,,,0.0,1823014,0.0,0.0
2021-06-27 00:00:00+00:00,,,,0.0,553599,0.0,0.0
2021-06-28 00:00:00+00:00,,,,0.0,476346,0.0,0.0
2021-06-29 00:00:00+00:00,,,,0.0,238424,0.0,0.0
2021-06-30 00:00:00+00:00,,,,0.0,1315060,0.0,0.0
2021-07-01 00:00:00+00:00,,,,0.0,1694890,0.0,0.0
2021-07-02 00:00:00+00:00,,,,0.0,1822407,0.0,0.0
2021-07-03 00:00:00+00:00,,,,0.0,1086015,0.0,0.0
2021-07-04 00:00:00+00:00,,,,0.0,201653,0.0,0.0
2021-07-05 00:00:00+00:00,,,,0.0,697338,0.0,0.0
2021-07-06 00:00:00+00:00,,,,0.0,429718,0.0,0.0
2021-07-07 00:00:00+00:00,,,,0.0,1080597,0.0,0.0
2021-07-08 00:00:00+00:00,,,,0.0,133691,0.0,0.0
2021-07-09 00:00:00+00:00,,,,0.0,240579,0.0,0.0
2021-07-10 00:00:00+00:00,,,,0.0,269939,0.0,0.0
2021-07-11 00:00:00+00:00,,,,0.0,71762,0.0,0.0
2021-07-12 00:00:00+00:00,,,,0.0,365879,0.0,0.0
2021-07-13 00:00:00+00:00,,,,0.0,81992,0.0,0.0
2021-07-14 00:00:00+00:00,,,,0.0,146151,0.0,0.0
2021-07-15 00:00:00+00:00,,,,0.0,151621,0.0,0.0
2021-07-16 00:00:00+00:00,,,,0.0,146395,0.0,0.0
2021-07-17 00:00:00+00:00,,,,0.0,112558,0.0,0.0
2021-07-18 00:00:00+00:00,,,,0.0,62918,0.0,0.0
