TIMESTAMP,OPERATOR_OPEN_PRICE_USD,OPERATOR_HIGH_PRICE_USD,OPERATOR_LOW_PRICE_USD,OPERATOR_CLOSE_PRICE_USD,OPERATOR_VOLUME_USD,OPERATOR_DIVIDENDS_USD,OPERATOR_STOCK_SPLITS_USD
2025-03-02 00:00:00+00:00,,,,0.0,2049,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,470,0.0,0.0
2025-03-04 00:00:00+00:00,,,,0.0,323,0.0,0.0
2025-03-08 00:00:00+00:00,,,,0.0,78,0.0,0.0
2025-03-09 00:00:00+00:00,,,,0.0,482,0.0,0.0
2025-03-12 00:00:00+00:00,,,,0.0,53,0.0,0.0
2025-03-19 00:00:00+00:00,,,,0.0,571,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,322,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,339,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,109,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,190,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,148,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,129,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,26,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,102,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,155,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,691,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,14,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,15,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,148,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,77,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,21,0.0,0.0
2025-06-01 00:00:00+00:00,1.3147789280909539e-11,1.4500798131700243e-11,1.3147789280909539e-11,1.4328413455722e-11,233,0.0,0.0
