Lag,BAT,BTC,DASH,DCR,DOGE,ETC,ETH,GNO,IOTA,QTUM,USDT,XLM,XMR,XRP,ZEC
1,0.1365523685914401,0.7145018789873482,0.5951261149877962,0.23258526581684844,0.13087823929307335,0.1302292059067932,0.1751944474994278,0.39810520276052097,0.4953072615073204,0.019912283640804836,0.21576899617921985,0.2766225777211852,0.25482645407201004,0.38460096511488195,0.13995325467778785
2,0.2077153097270668,0.34694599783061597,0.25445435307623937,0.22084502146927767,0.18352045984260792,0.025948291106409418,0.09710228068347279,0.3011334446109208,0.10495049791195565,0.09162313126569452,0.13021554584997236,0.2799059645814364,0.08891133307086993,0.2745995579271293,0.1753188227653241
3,0.1877882048337512,0.4541434049380386,0.2556057813543355,0.24124164011643082,0.30256493203038554,0.01043410047498915,0.12596275901338055,0.2504761945972021,0.19125642804194332,0.06428724194449542,0.21051296502260802,0.32847320253592543,0.13764221175271063,0.3395895211484033,0.1766782293621385
4,0.19046950107872307,0.47071436561262414,0.2587393485359899,0.21516814829375802,0.4331256316290976,0.007941629292968374,0.1572332715939077,0.26939349894475967,0.13713247658680208,0.07096631158815431,0.1866235021727146,0.3561087336638171,0.1720671990305649,0.19493659342709296,0.1804549581827808
5,0.1498436035320818,0.1486418587311715,0.31298556196367366,0.2100702959720632,0.305604132479713,0.005429471122696226,0.21368102151337556,0.27004792255448945,0.028834702331088403,0.10279327977410423,0.13248049441665358,0.3821378921035062,0.16088018850941682,0.31262212560174585,0.1996995980373307
6,0.1976782684729761,0.036199269686930886,0.1334740648459761,0.18464179754090937,0.23890147297442849,0.009319334407367616,0.21897035033590956,0.2208973854794591,0.0020841900465737428,0.1438709344829172,0.13512721380331816,0.35420892261394954,0.0029306751774158053,0.30679256100588526,0.11088887470764426
7,0.14588157656874193,0.03433371256122029,0.1581525923028222,0.1441068281633646,0.2639916283623999,0.016141781269110173,0.1313365036498743,0.24459940500063343,7.172604531896273e-05,0.16270453561994663,0.15307129617224596,0.3070335294494163,0.005676806322059915,0.3289494258684701,0.1383930487628005
8,0.14367827692488902,0.04046831729322648,0.17774341807571636,0.06426724971128647,0.2948915840386049,0.012234644895462686,0.08301579605157507,0.26153042180622604,2.652929047404166e-05,0.19175914762368704,0.16083585713838958,0.33793106281148877,0.0068204734900576885,0.28759114353156245,0.15709115611101823
9,0.13127047688312962,0.005519610317465052,0.1956254954313727,0.0839334421930264,0.261309870057021,0.01163404545040451,0.056969356748422344,0.274380367883537,3.9664889862925505e-05,0.15341948628942295,0.06109741740274864,0.3826188131636301,0.006490526762335279,0.04920954235235523,0.1510449851982369
10,0.149855031339429,0.0021160218352997235,0.2337458687404011,0.11176442652469912,0.2788784494388164,0.016633662562196776,0.04822018199795746,0.30410815132771357,7.51116223968695e-05,0.17137867418873473,0.04281570183095879,0.2339797461660929,0.0026365750474586372,0.05764366888761305,0.1800806006086557
