Lag,BAT,BTC,DASH,DCR,DOGE,ETC,ETH,GNO,IOTA,QTUM,USDT,XLM,XMR,XRP,ZEC
1,0.010181609122449406,0.9049924140912776,0.08756038262698133,0.006758423146158708,0.34215830417709503,0.0006845992515405429,0.2640990967645166,0.22851776784310707,0.7250679808494864,1.1734277090802073e-09,0.2700051518869542,4.466761186363742e-05,0.0010640021089838828,0.9531038400311902,0.002217259078967953
2,0.0007239996481702006,0.3944587414163991,0.1466600978988306,0.010619424667986708,0.3142484716482792,0.0012081774790785992,0.006379692245749626,0.04546806799191733,0.012318813750632252,8.958971553915039e-09,0.40610463604620606,9.964860671574826e-06,0.0035532724376402727,0.6401113954713107,0.0042219708858020925
3,0.0005413781260150171,0.4793937106701358,0.03626986091793982,0.026293465008823527,0.4658918197394001,0.0017704839343458726,0.002655186416012679,0.03210832176047271,0.024125908527196583,1.7350530603217637e-08,0.6996465908224967,9.857383910497e-06,0.004781897847517272,0.7762854606360738,0.002395044880941733
4,6.318587293658658e-06,0.4343066545815937,0.05575591692153063,0.007832822407177305,0.6715957067873535,0.004457662310888943,0.00022782533033284254,0.058621611812504026,0.09632332947192658,2.9582628314074872e-08,0.506133944897213,6.017126023218954e-07,0.009994110482025855,0.2819943695943678,0.0073044615764176445
5,1.3633116996016265e-05,0.5867230030390064,0.041384271295925125,0.015249777176071875,0.8167699737174157,0.0071116628985293815,0.00068528465911891,0.06094024464356718,0.020309613524830177,2.5157483246615823e-08,0.37394556136754836,2.281531984406869e-07,0.01952042907381037,0.36724075035280546,0.010034416740416502
6,4.818306027943226e-08,0.13598993134570783,0.06195534503456044,0.0032439952396729485,0.3494949084851302,0.0107167118354736,0.00019874784010357163,0.044654531741377,0.0003248768362400593,1.739300298360546e-08,0.47783014670391555,4.274295978385299e-08,0.007984883310220304,0.16700267425513707,0.01841636988475389
7,1.2381114391260752e-07,0.12661580998125777,0.08521200611606726,0.0056460314728757925,0.4482852800918412,0.016708818218743524,0.00036242816695281294,0.06341455897705996,1.034983055756002e-05,3.0608400790793844e-08,0.5711595352967986,6.047248112131816e-08,0.013477340418262242,0.07821857101184024,0.033093275445775304
8,3.6033625287945966e-07,0.15082973561694624,0.13728008463663932,0.016343048136542526,0.4572261484906551,0.01851292440577584,0.0011265326275850503,0.08179459976523283,1.9617831175736462e-05,6.556788018954755e-08,0.5846848706862995,2.526265980288987e-08,0.01450813429489948,0.04619029707204315,0.04915618479818684
9,9.890674888457596e-07,0.0018737753553741273,0.19589023974976355,0.0029099458108021677,0.6109957865660423,0.007506487350452826,0.0018655019053278182,0.11972983041446633,2.2784530402144146e-05,1.799617007245956e-07,0.1621882089226008,9.70968428428079e-08,0.017944029016023134,0.02075304662512703,0.06622901689609824
10,1.5049580596737336e-06,0.0017602611514991977,0.3018250479588314,0.004961852165357262,0.6145941675178209,0.01198610811962311,0.0026810438156071774,0.16927980038449195,3.870298060644741e-05,3.318702990988477e-07,0.1431087553568328,1.374735931465316e-07,0.0076796662723176735,0.017787990671804747,0.058527645060543004
11,1.4021786612907454e-06,0.004402363494165735,0.3627500838871486,0.003384992175695716,0.5718184553771055,0.015709539086782152,0.006580697617020704,0.0933928470736437,2.3612214738804247e-05,7.932018903150398e-08,0.0801388766014148,1.3167892723877525e-07,0.0014736664234030585,0.020780976657870404,0.036740896435275804
12,2.737686267583297e-06,0.002611262441789392,0.3516759376577179,0.005540193776896465,0.18116986219512474,0.0168952436285281,0.010729102305598835,0.1403623654343837,5.336542234474446e-05,5.7828185921942e-08,0.13270404515178835,8.391871087134236e-08,0.0005148796523991878,0.0024830558202596207,0.04219371938460195
13,6.805503326866262e-06,0.004653511641574482,0.4381196797540255,0.0045810524353056626,0.17449448795606803,0.017948106262157808,0.013326032692661914,0.18578298168581664,1.8003741087303703e-05,1.7529514293688133e-07,0.192590716131276,8.897576698525204e-08,0.0004369567444303824,0.00137386263642584,0.07641536659396178
14,3.3385400516881895e-11,0.005902181172672898,0.06820507910776882,0.007213865598711183,0.1626423512441496,0.03283418815028404,0.018444605066423564,0.20309029705967074,2.9040388719877535e-05,1.2823258576227021e-08,0.1974992844345455,1.973703811690105e-07,0.0009368854319968973,0.002025833208391218,0.01380049821451485
15,6.428389904016495e-11,0.0059425786008129155,0.09601561231531225,0.004400963736332435,0.1330122562592747,0.018514968514958863,0.01300179796986045,0.2373878192418516,5.956192107839419e-05,1.4880525408639436e-09,0.16406852057911728,1.2351284261688879e-07,0.001526076991938005,0.004060009045331186,0.016923085268283015
16,5.4441164342078256e-11,0.005097470335838702,0.08411444191360126,0.0002732788501709657,0.05518585351334508,0.030394951007204234,0.020567842507610852,0.3055797150493436,2.5366912012512566e-05,5.404853576483742e-09,0.1622375683802445,9.211491460552835e-08,0.0030703199492754995,0.0005863776546763587,0.022892181759218384
17,1.6319762536871409e-10,0.001374641914131214,0.046073651937426414,0.0005274229191544552,0.07102551663550641,0.03381309047202166,0.02129616588962388,0.2599894254614291,3.914706100362904e-10,7.65203081523235e-09,0.05512404954345748,2.9246814581544476e-08,0.0020287250904861133,0.000526086861127056,0.01000222373346443
18,1.0852565422202559e-09,0.0006838637083849626,0.04552104573747896,0.001012988802015651,0.0899568245837322,0.02920659872307821,0.028297217056192155,0.2284988557763287,1.7435119751356375e-09,2.0780659152025325e-06,0.06573932917122771,1.2766854516921102e-07,0.0052171304042865655,0.0005497911356286485,0.021420150547676844
19,1.7707042806194418e-09,0.0008065642939739862,0.05407634465956246,0.0020203542426979588,0.09985389850156179,0.038022065192153676,0.04481759873836489,0.26354056480309357,2.5252636159936856e-09,1.8656639560350374e-06,0.0731811221977095,2.2589174197437144e-07,0.00605489180754817,0.0001389129409509595,0.020018788024830775
20,3.173698146346684e-09,0.000688103858612063,0.01654409605465013,0.0012278674059042808,0.0014240881377963427,0.02102755887486817,0.05490111175147093,0.3149792670925231,2.0721130054343404e-09,1.4917016473531378e-06,0.08956275889509943,2.835720452837556e-07,0.010396442128827687,0.00027212890293025786,0.028099771556555943
21,2.353798297197797e-09,0.0009775041115029108,0.01418542503052222,0.0008608875708780837,0.0020005905172412104,0.02981864006824069,0.06624545605606155,0.34194729722620115,6.423506820029012e-09,1.5931592258447513e-06,0.07170236415974314,4.301342071352264e-07,0.01084988770927587,0.0003367975901233825,0.018548853178787253
22,4.719187053602974e-09,0.0006367430168986353,0.008501312003487834,0.0013411902836985038,0.0015508779378294456,0.04506689371517253,0.07305230520747044,0.5100786801484838,7.587957603806394e-09,3.6031252368138546e-07,0.09344685898406484,6.403032154429576e-07,0.016459201702906358,9.445372951341037e-05,0.01831841552417924
23,7.901846544830295e-09,0.0008740564538071211,0.01121642960531424,0.0017011199281476573,0.001935830776244519,0.057393344662679674,0.04270425625659345,0.5791835819644999,9.153533630371982e-09,4.315636828812192e-07,0.11029828483759443,1.1127051323156813e-06,0.005456175514683113,0.00014758433505172592,0.02203142103473684
24,2.7964471303567638e-08,0.00020779227717188407,0.001168427991924287,0.0024494333162797654,0.0023078222989651115,0.05789993540499147,0.07845500240147892,0.4629528296709886,1.879219024576572e-09,4.800678240241723e-07,0.0016995983237914594,2.457098528944007e-06,0.006146347618766733,0.0002761240292569723,0.0315076934305879
25,3.444090529011004e-08,0.0002131300963340767,0.0016203133611442891,0.003111255738360576,0.0004554260390066078,0.031319168139288,0.009918607119406557,0.2818319440321467,7.496865781482904e-10,4.7481470587463714e-07,0.0031545008236735506,4.160678285317637e-06,0.009411719880570487,0.000446161778896574,0.03843895425068859
26,5.445908587093835e-08,0.000244566096836822,0.003040257838829436,0.00417220798013546,0.0002668146521164498,0.021817430498363762,0.0366813148858293,0.30472608787877964,4.3874906831321847e-10,2.453138716227989e-07,0.005742834691491175,6.818955273566124e-06,0.014638326042588804,0.0007439149871559288,0.034479363007966085
27,7.92916828307659e-08,0.00030135595628461595,0.004240422132919078,0.0013200218132626148,0.0003472841597539896,0.018392217392932304,0.002639933379727682,0.3436781576466935,1.766310350408121e-09,1.669759182622881e-05,0.007419990388642934,1.1105758843893775e-05,0.019407784905295513,0.0010853513262163697,0.006649502991594758
28,4.874215877728508e-07,0.00030010284842486016,0.006708197811558633,0.0010423610494920774,0.0006182621927029638,0.011883602579998159,0.005496927096150234,0.2687225927882722,1.352218797809972e-09,0.0005896600716783656,0.012414946470705181,1.4370156156646194e-05,0.02102959106689564,0.0004961050878755014,0.009742589882789365
29,8.448898748924498e-07,0.00025879999345198576,0.007022272863269217,0.0013846505514168816,0.0007552856671893193,0.016281598806790063,0.0066954123447971695,0.3130430211914069,2.452389243753491e-09,0.0002786730561949968,0.006429770995844108,1.1029999634042347e-05,0.002481426134817032,0.0006824034069556412,0.012905265200656277
30,2.201455983856668e-06,0.0002759285154941938,0.0012120749216563568,0.0015638354026119665,0.00027773197237902547,0.017474274139109444,0.00402571260239883,0.2847242682952392,3.0681454345246677e-09,0.00044433454946754726,0.004847121719439653,7.2717798055738656e-06,0.0017782599609799407,0.0009758912573887336,0.01471307547287277
