Lag,BAT,BTC,DASH,DCR,DOGE,ETC,ETH,GNO,IOTA,LTC,QTUM,USDT,XLM,XMR,ZEC
1,0.21304745587446852,0.09455334350175691,0.5869530204372975,0.5296330221999501,0.09303015609050663,0.00010882952607877813,0.5743101086367326,0.14632857911890915,0.06440490748706812,0.4127731366740641,0.7721468560311544,0.19301393052275698,0.022509840985437922,0.10371596717919317,0.07290930413600125
2,0.5252116372818283,0.2136131369390828,0.8530058347777031,0.7777933841957025,9.451577385184894e-06,0.00021768861649167892,0.4118219757225703,0.2106036036459717,0.20554987968176885,0.0010720898770589604,0.2075044372135823,2.2078585503632924e-05,0.08641638983434373,0.1714451228563321,0.1485307796026618
3,0.21667618142763573,0.21586499347062893,0.9480313785440598,0.863451664534276,3.44250018904636e-05,0.0005523543598975987,0.4371721436051318,0.13512637696748286,0.34184846774577654,0.00020140379167155238,0.1912683821896859,8.04489019294112e-05,0.01662242239342156,0.26459796822737575,0.2740688742130456
4,0.14029835671380025,0.27707525341882383,0.8455530253379866,0.7767291713123502,2.5817437852747064e-05,0.0010436317513541663,0.35598158086720133,0.1433327339785458,0.14582142256264424,0.00021740030395480664,0.19086959907793685,7.36330532018277e-06,0.028990572345434496,0.38925546199269123,0.3144209167267515
5,0.16424477489883446,0.41941963567033724,0.6864179618366053,0.8244729078970404,3.095155800971544e-05,0.0016312571760906925,0.35432696191663005,0.223872247778759,0.0637316926960159,0.00037461010818621454,0.05466448335280705,1.93541203814439e-08,0.05445858789024551,0.31857147929327834,0.2533422316994292
6,0.16578940220365224,0.5298343621083719,0.8142365490057996,0.7630264696518767,6.548721402797893e-05,0.0033377255351979946,0.4791341704691424,0.19449497481817057,0.056129930995692925,0.0007113321800319109,9.098041537654787e-05,7.882994058639709e-09,0.08552883840855931,0.5091809012490867,0.40920356069898933
7,0.017923151588425296,0.636460835577879,0.1757292922947428,0.002275728938072028,0.00015634801644712353,2.486382396757643e-06,0.035014333303257164,0.25440290850242614,0.03761534474237567,3.6401955336387786e-07,0.00010123262214606166,1.7688681399790222e-10,0.040707645923966695,0.1339047817063037,0.010116967907099634
8,0.017941278461602428,0.7550372612226198,0.03785913936120677,0.0016102995831801731,0.00015619581590905284,9.823213873229053e-07,0.034359927733185636,0.30929415549302164,0.028642166536319527,7.041163384326459e-08,0.0001070643129210696,3.4722921871787686e-10,0.06114232336215629,0.1525471748257013,0.019890680708343426
9,0.04112819369167724,0.6567125939447386,0.011337594174910051,0.0026826947322129992,0.00011603779165918652,3.0038560107128918e-06,0.061334899435281164,0.4042331969157044,0.004337703720800597,2.037657876848589e-07,0.0002688894788377342,5.890908322683328e-10,0.09394812528275764,0.08528872300206128,0.03198514483634127
10,0.012073462129101608,0.5465289602760818,0.025226726330082966,0.004330088147613466,5.061983946922591e-05,2.5482272289367626e-06,0.00446194573437836,0.40622984761755837,5.74409391307135e-05,4.483369857102674e-07,0.0005788966464542676,4.995627923455205e-10,0.13958254750311774,0.06176341833125402,0.034593766904063274
11,0.008350607370496742,0.5556277572208042,0.01841662236156098,0.007118631235645946,9.544997707019015e-06,1.187462787384939e-06,0.002417645178952564,0.42720928098771715,6.0320784505673286e-05,4.958403362323703e-07,1.1208075087672408e-06,1.0322687235201058e-10,0.1855427498643558,0.040699205462402376,0.04887944165774518
