Lag,BAT,BTC,DASH,DCR,DOGE,ETC,ETH,GNO,IOTA,LTC,QTUM,USDT,XLM,XMR,ZEC
1,2.2491451299167537e-05,0.03664344461832683,0.010886953849923697,0.9429825751246229,0.07834183411314893,1.605525617527148e-08,0.3144614603495097,0.12307281745132401,0.2653585539385492,0.10000850517379178,3.576879284622621e-07,0.8560133063300751,0.000570361857385739,0.001965441271066102,1.7098426528163813e-05
2,2.8309918857877184e-06,0.0012931038499029387,0.03046922669631419,0.022462922564715326,0.000323781222872954,3.7771610718592615e-09,0.0012976537342021834,0.036413507631755514,0.00032269746428748703,0.14007501378583156,2.6795624642687673e-06,0.8478126781137832,0.001258436833110383,0.002094698658337272,0.00012987205510436793
3,1.1802577084891795e-05,0.00349737087171291,0.019047809079668517,0.05122167229323777,0.0005167711442670816,1.4741674462054794e-08,0.0034475676224392897,0.0440003861927696,0.0014888789150941514,0.24620240872627802,7.810849274507443e-06,0.9337764148225809,0.0017177057796109983,0.005826225838475665,0.00028927175483203576
4,9.59247101999582e-07,0.004576949231353365,0.0008397756954249824,0.039279071004110704,0.0014082526890414008,2.679993066679094e-09,0.007427115104245869,0.05244600409382481,0.0027510843911666095,0.00012004547295509643,3.170594818718423e-05,0.0673967846522852,0.004675962965591802,0.002633805147506089,0.0004799750085887564
5,9.243301096546234e-07,4.189308590955664e-05,0.00012738908744921413,0.043910363503583565,0.0030570941262682136,1.2028507634347272e-09,0.005501230112778923,0.031332246616159604,0.003686072376045369,1.1184255445520481e-05,0.0001452971174558499,0.08708820315123829,0.010784720702009594,1.1297116045666212e-05,0.0006149920278128801
6,2.3679688228419227e-08,0.00012379796709571984,0.00026260771869324157,0.023951444971602336,0.0055907228932216045,1.6235879642898755e-09,0.010089707407150263,0.057563331712324785,0.0023966542886269247,2.69728061616046e-05,0.00040373939168794837,0.2773300811501927,0.014021801330726098,2.6961888455158217e-05,0.000961885152388286
7,9.004957007480851e-08,0.00030681100386810564,0.00011888042680836236,0.04324607745644929,0.007836457113608636,4.206901585039119e-09,0.013294555764143642,0.07831517360486592,0.00406655724356048,6.483319564046598e-05,0.0007355566642985073,0.3146000259013302,0.01919254294221073,8.17536362708973e-05,0.0020089567711574527
8,2.0887817939318395e-07,2.26394402382514e-05,1.0934775802836038e-05,0.0018350567742763414,0.0005607011763551995,3.1251250479748916e-11,0.0008409776092788562,0.1019020630922098,0.0075452093203034025,2.2501743173323453e-07,0.0013083458545994089,0.12225001306184911,0.033076682574068456,9.927662664026162e-07,0.00011336255765242302
9,1.0536222752588435e-09,1.1714087718249361e-05,1.8420063102356402e-05,0.0017215173150760428,0.0010970506723854165,4.629655316940454e-11,0.0005987154592785402,0.08501806930213875,0.007403886774410591,4.5319862499961163e-07,0.0014702710773342646,0.03976392125686135,0.05528183861429234,1.3019700209091683e-07,0.00014882223357525314
10,2.6853133813477682e-09,2.3786283829256494e-05,2.4495980290600137e-05,0.0027765338128072268,0.0002452749682648995,1.1952986243228156e-11,0.0008305047242565038,0.13269362752727623,0.001417885922877917,2.1660356870240283e-07,0.0020422446527816438,0.046171774482411394,0.054437634363030896,1.0683324715423447e-07,0.00019529978748467083
11,1.0824622523225314e-09,3.34552390076749e-05,2.008619876337548e-05,0.0045582578657318825,9.783422360946931e-06,4.770370124164674e-12,0.0004960160292256699,0.07754471202890859,0.0008353267995717956,2.1092633858090901e-07,0.0004051248917830981,0.021138101527945933,0.017380322895566302,1.7877842086170517e-08,0.0002624502739807949
12,3.382835947315347e-09,1.202953814933107e-05,1.5626235792718957e-05,0.008781529117431842,3.69448151100439e-07,4.098142140491127e-11,0.0015681355251361063,0.09627461631882182,0.0010713275967828765,1.4647903696787373e-07,0.0008100193843678278,0.034342748070643817,0.0045462272832791206,1.3454842562393964e-08,7.465539308989651e-05
13,1.0553582973805925e-08,6.682976260512617e-06,2.6610312301441453e-05,0.008627284384954144,1.2913119898997883e-07,3.8789202858253117e-11,0.0006513894953951493,0.12013713017004193,0.003069196688913997,2.591067834872032e-07,0.001151322408182816,0.057684451176281674,0.005360603626361302,9.408526758292777e-10,9.602359276174064e-05
14,1.4097193970219378e-08,5.71252214396834e-06,7.076220400439705e-05,0.010191998368692886,1.7396786236313095e-07,5.858836625408915e-10,0.0008014150073055391,0.11066440750008592,0.0031895088377753736,3.5301030990051505e-07,0.0021389061602712298,0.09258792920265929,0.006580266493864174,1.6208153526910228e-09,0.00014023288518317959
15,2.3077988771138646e-08,7.42137503007748e-06,0.00013011011203805297,0.014669516008085004,1.7446314444697075e-07,3.0157415126162673e-10,0.0004459009261293836,0.14689654650464115,0.006135221052871875,3.452719211971811e-07,2.6537689450484263e-05,0.14898928348605922,0.00906034740175339,8.253221891455588e-10,0.0001745493197565089
16,6.4649924589535e-08,1.88871509615468e-05,0.00016070926024231469,0.014943600096147378,4.283170550378317e-07,5.681873518531496e-10,0.0007909097195837243,0.19327538345602044,0.004086608912831447,2.636018879667497e-07,3.792311210464693e-05,0.1388865025729824,0.007141875051997581,1.4374931423682455e-09,0.000262547113045406
17,1.285134664104105e-07,1.0158557758801516e-07,7.164420756218072e-05,0.006668618347188574,4.658167185624252e-07,6.1014454702309e-10,0.0004928864034489317,0.11972251775751487,3.37774787549959e-07,1.238933403565439e-09,1.3009193922906018e-05,0.1636963795135117,0.00025044908125995745,4.771710092560492e-10,0.00015713713899402404
18,3.0085033974427214e-07,8.302958988415961e-09,7.282932706979284e-05,0.005035143486558634,8.691147185382164e-07,9.063539539814873e-10,0.0001943770467563998,0.17760043007918655,1.1950860971172518e-07,2.9935071781663046e-09,1.1498156552420359e-05,0.18618230354773127,0.00014191337216408494,8.267489689561921e-10,0.00022589389649466124
19,5.145496880857306e-07,1.2972994911963771e-08,4.043500394872795e-05,0.00730316404195318,1.8678433804017157e-06,9.532325151471345e-10,0.00027742491919250913,0.21383268459110408,6.416476800780705e-08,3.2807826279395765e-09,1.302110135161874e-05,0.23969881424166145,0.00015134987456256527,8.465979065624028e-10,0.00019011704096737796
20,7.073979890140722e-07,9.705147854465476e-09,7.542836351065983e-05,0.012219609182455338,9.439119419151273e-07,3.1726784154871493e-10,0.0004540545276032727,0.2367545753026047,3.93963045285969e-08,9.726110096703498e-09,0.00015136104478587358,0.2992438323951985,0.00023079093681710472,2.9903614201723502e-09,0.0003910039021879029
21,6.46347247925638e-07,1.5520795502419414e-08,9.347577248749325e-05,0.017740825011568984,2.230883974277878e-06,1.0547687520385606e-09,0.0006038326517384424,0.27746666410102067,5.672958516135211e-08,9.696148797472729e-09,0.0002762597331540049,0.299422857498739,0.000328469297886351,8.6425158775959e-09,0.0009567535666717357
22,8.492625392641572e-07,4.014886721140189e-08,0.00011191754932274724,0.029618617017532118,1.3166157929915526e-06,8.904758731418955e-11,0.0006157809330665833,0.40891364561753146,1.3282006755449373e-07,1.1284397997182017e-08,0.00018354775414126327,0.044421260758428886,0.00046625548692697205,1.4424216362736915e-08,0.00044723088375526364
23,7.654030772976346e-07,1.092576424977506e-08,0.00013810728022026377,0.04086180827232343,1.7720346318797632e-06,2.000489574902453e-10,0.00043983008825586295,0.3885703038044381,4.2605690106763624e-08,2.010122079674504e-08,8.506697509333752e-05,0.06317332451854768,0.00036876471172112994,2.8898162999007844e-08,0.0005837043409833169
