TIMESTAMP,DRINK29749_OPEN_PRICE_USD,DRINK29749_HIGH_PRICE_USD,DRINK29749_LOW_PRICE_USD,DRINK29749_CLOSE_PRICE_USD,DRINK29749_VOLUME_USD,DRINK29749_DIVIDENDS_USD,DRINK29749_STOCK_SPLITS_USD
2024-10-02 00:00:00+00:00,0.020994000136852264,0.0292579997330904,0.01806499995291233,0.019207000732421875,598422,0.0,0.0
2024-10-03 00:00:00+00:00,0.019207000732421875,0.026626000180840492,0.013063999824225903,0.019204000011086464,482503,0.0,0.0
2024-10-04 00:00:00+00:00,0.018988000229001045,0.020186999812722206,0.01596600003540516,0.01629599928855896,326381,0.0,0.0
2024-10-05 00:00:00+00:00,0.01629599928855896,0.020177999511361122,0.014848999679088593,0.01783600077033043,359736,0.0,0.0
2024-10-06 00:00:00+00:00,0.017823999747633934,0.01783600077033043,0.015564000234007835,0.015644000843167305,56844,0.0,0.0
2024-10-07 00:00:00+00:00,0.015644000843167305,0.01564599946141243,0.014093000441789627,0.014174000360071659,112077,0.0,0.0
2024-10-08 00:00:00+00:00,0.014174000360071659,0.014209999702870846,0.01082799956202507,0.011141999624669552,149092,0.0,0.0
2024-10-09 00:00:00+00:00,0.0111480001360178,0.011513999663293362,0.007934000343084335,0.008053000085055828,295532,0.0,0.0
2024-10-10 00:00:00+00:00,0.00811699964106083,0.00873200036585331,0.007162999827414751,0.00788199994713068,43862,0.0,0.0
2024-10-11 00:00:00+00:00,0.00788199994713068,0.008035000413656235,0.007089000195264816,0.007459000218659639,74790,0.0,0.0
2024-10-12 00:00:00+00:00,0.007459000218659639,0.00776199996471405,0.006961999926716089,0.0070500001311302185,16306,0.0,0.0
2024-10-13 00:00:00+00:00,0.0070500001311302185,0.008240999653935432,0.0070489998906850815,0.007575000170618296,23473,0.0,0.0
2024-10-14 00:00:00+00:00,0.007575000170618296,0.010551000013947487,0.0065310001373291016,0.0073990002274513245,182694,0.0,0.0
2024-10-15 00:00:00+00:00,0.0073990002274513245,0.012071000412106514,0.0065910001285374165,0.008294999599456787,146590,0.0,0.0
2024-10-16 00:00:00+00:00,0.008097000420093536,0.008390000090003014,0.0073640001937747,0.007672000210732222,60439,0.0,0.0
2024-10-17 00:00:00+00:00,0.007672000210732222,0.00938700046390295,0.007098000030964613,0.008209999650716782,135266,0.0,0.0
2024-10-18 00:00:00+00:00,0.008209999650716782,0.011946000158786774,0.007952000014483929,0.009176000021398067,111184,0.0,0.0
2024-10-19 00:00:00+00:00,0.009171999990940094,0.012272000312805176,0.008387000299990177,0.011064999736845493,116944,0.0,0.0
2024-10-20 00:00:00+00:00,0.011064999736845493,0.011675000190734863,0.010060999542474747,0.010130999609827995,91373,0.0,0.0
2024-10-21 00:00:00+00:00,0.010122999548912048,0.011014999821782112,0.009723999537527561,0.009727000258862972,148364,0.0,0.0
2024-10-22 00:00:00+00:00,0.009673000313341618,0.010072999633848667,0.008985999971628189,0.009258000180125237,178557,0.0,0.0
2024-10-23 00:00:00+00:00,0.009258000180125237,0.009592000395059586,0.008320000022649765,0.008320000022649765,115743,0.0,0.0
2024-10-24 00:00:00+00:00,0.008155000396072865,0.008684000000357628,0.007679999805986881,0.007972000166773796,112891,0.0,0.0
2024-10-25 00:00:00+00:00,0.008108999580144882,0.008108999580144882,0.007832000032067299,0.007880999706685543,24242,0.0,0.0
