TIMESTAMP,FUCKTRUMP_OPEN_PRICE_USD,FUCKTRUMP_HIGH_PRICE_USD,FUCKTRUMP_LOW_PRICE_USD,FUCKTRUMP_CLOSE_PRICE_USD,FUCKTRUMP_VOLUME_USD,FUCKTRUMP_DIVIDENDS_USD,FUCKTRUMP_STOCK_SPLITS_USD
2025-04-03 00:00:00+00:00,,,,0.0,1233,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,3022,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,2914,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,3888,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,3295,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,836,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,1698,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,457,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,71,0.0,0.0
2025-06-01 00:00:00+00:00,1.1051900226152073e-13,1.1051927331206385e-13,1.1051900226152073e-13,1.1051927331206385e-13,0,0.0,0.0
