,BTC,Lag
XRP,1.9490199153801072e-10,12
VEC2,8.880568598963617e-10,26
WYZ,3.180549267141271e-09,30
QBC,4.775257499722165e-09,3
ACES,9.949884134353346e-09,29
ETH,5.566767802987589e-08,13
IBANK,5.84420112705349e-08,7
XEM,1.032722255239171e-07,5
QTUM,7.053052674791671e-07,19
RBT,9.430034337310092e-07,30
UNIT,1.3211892551311046e-06,29
USDT,1.4422540743713168e-06,18
IFC,2.318733703676394e-06,30
LTCR,2.731969543980046e-06,26
LTC,1.0511050135256266e-05,10
VLT,1.1610198343467829e-05,26
WBB,1.30288900247807e-05,30
TAJ,1.3491084966790536e-05,27
DOGE,1.583343366507501e-05,30
XWC,1.756517821924782e-05,30
PXI,1.75691154500697e-05,30
GAS,1.8062154591555785e-05,7
KURT,1.846128761927296e-05,30
SWING,2.06979948668645e-05,14
FRN,2.13500870715484e-05,29
ZET,2.320163545691486e-05,25
CETI,3.318996659180686e-05,12
PIVX,3.4852212408452695e-05,1
SC,6.570547346015842e-05,3
DGB,6.637908232368951e-05,29
KMD,7.250086319878659e-05,7
CJ,7.266152542627646e-05,14
KOBO,8.036358906604567e-05,13
ETC,0.0001362063959179,26
ARK,0.0001598299716856,7
XLM,0.0001971720845603,13
EVIL,0.0003431726319649,23
DASH,0.0003721082267814,25
IMS,0.0005401633100762,30
ICON,0.000543813659648,4
RLC,0.0005769689080343,10
OZO,0.000621629088398,1
XMS,0.0007224335539427,10
ZEN,0.0008470826713437,27
MONA,0.0009698592719095,27
ZEC,0.0009914146390691,10
VIDZ,0.0010112314452878,27
CREVA,0.001182668537464,10
LOG,0.0011981637325489,3
C2,0.0013400188015826,8
POST,0.0016078088798084,24
WGR,0.0016426459459172,23
XMR,0.0018438870637643,30
NOBL,0.0020868855125411,26
ZCL,0.0021167292743343,1
SKULL,0.0023032801565874,12
MST,0.0024549886733666,1
LOOK,0.0026622471858707,29
BLK,0.0034182444107667,23
NMC,0.0039647503548184,4
SYS,0.0042483453690757,6
ENT,0.0044600483705489,30
COOL,0.0044721251823034,16
XHI,0.0044759244184797,24
EDRC,0.0046941476097557,16
ZUR,0.0049036740218749,30
AE,0.0058785063097281,23
LSK,0.0081614974030733,10
GNO,0.0087889079477588,27
2GIVE,0.0089618837909615,28
LMC,0.0092035959089403,20
BAT,0.0092050952173911,8
IRL,0.0107971512817619,24
EUC,0.0110007514515266,27
PPC,0.0113889637294377,14
JLP,0.0131169341859756,28
ANT,0.0131356617929501,9
GBYTE,0.0138140294891632,29
HUSH,0.0141000398628461,3
CAB,0.015014311110966,29
FRC,0.0152023606116737,11
CARBON,0.0152706247494366,3
XPY,0.0156036935872787,4
ACOIN,0.0161582124498208,2
DEM,0.0170003934599675,17
XPX,0.0174422098535009,4
AV,0.0185466763204809,28
HBD,0.0206239020512768,28
TRST,0.021300929354711,26
MAID,0.0233463912930103,25
42,0.0244160537549147,1
LDOGE,0.0245290384856435,10
FOREX,0.0247151189108916,16
VAL,0.0293446229270214,30
GRS,0.0299549898696142,23
PZM,0.0303641978017949,2
TAB,0.0313736066210787,27
SPR,0.0334826370135191,3
NXS,0.035142021890935,28
FIRO,0.0354714471937764,19
XDN,0.0362450149806539,30
OPAL,0.0371591541610111,22
BTCS,0.0385960403421727,1
BS,0.0406316412882881,12
SKR,0.0447245436659337,30
PLU,0.0456725425408162,10
WC,0.0503446548126326,7
NAV,0.0515248161176779,2
CKC,0.0523909677781731,29
SILK,0.0538968724510525,3
DCT,0.0555085061816615,25
CF,0.0591586669317416,14
CSC,0.0603941102921443,2
VERI,0.0616384172176623,3
ZOOM,0.0670678345224877,4
NVC,0.0723696257770191,2
WAVES,0.0788436050196859,1
ZER,0.0798116992741529,18
BTB,0.0854137016445019,9
ZYD,0.0855448974387762,30
STEEM,0.0860264489222586,30
NEWB,0.0868210649959551,22
VTC,0.0895147461587581,1
ADZ,0.0934327875161568,20
LUN,0.0945429055351884,22
DCR,0.0976753856102583,1
EQB,0.1023216083060066,2
XST,0.1041796063461629,30
ADC,0.1064275916972423,4
SWT,0.1065673072631408,28
GLC,0.1072267780906509,18
QTZ,0.1099105640069792,21
RBY,0.1136018783093691,20
BLAZR,0.1142347099751973,7
LUNC,0.1148592524105236,30
NEVA,0.1220517526976323,3
BCN,0.1237586123405126,3
KIN,0.1249725375832191,1
NXT,0.1311737845131391,1
PUT,0.1314417459042145,2
PKB,0.1360012553109767,2
SNRG,0.1422079643347491,10
SXC,0.1441504580676287,19
MCN,0.1469628399331108,9
RBIES,0.1476895728101545,4
SIB,0.152686674950666,6
CYT,0.1526950297798432,1
XCP,0.1602859447895394,27
IOTA,0.1656237290230668,3
AMS,0.1737200478114667,29
ARGUS,0.1754717657073241,6
CLAM,0.1763900820991372,5
PXC,0.1863455222464241,26
MNTC,0.1872227396528925,1
XQN,0.1875700993127708,26
BCDN,0.1888844406276751,6
RRT,0.1992437023940199,3
NETKO,0.1996445916510024,5
LBC,0.2029516087842997,6
WINGS,0.2130017064921249,1
CLUB,0.2186171351229373,30
PIE,0.225484305591459,1
XTO,0.2344370228738069,29
LAMB,0.2414115347972338,6
BTS,0.2644145900644227,29
PASC,0.2647981434171914,20
TECH,0.2697658840871774,17
