TIMESTAMP,NEILUO_OPEN_PRICE_USD,NEILUO_HIGH_PRICE_USD,NEILUO_LOW_PRICE_USD,NEILUO_CLOSE_PRICE_USD,NEILUO_VOLUME_USD,NEILUO_DIVIDENDS_USD,NEILUO_STOCK_SPLITS_USD
2024-09-19 00:00:00+00:00,,,,0.0,409187,0.0,0.0
2024-09-20 00:00:00+00:00,,,,0.0,143364,0.0,0.0
2024-09-21 00:00:00+00:00,,,,0.0,18226,0.0,0.0
2024-09-22 00:00:00+00:00,,,,0.0,18064,0.0,0.0
2024-09-23 00:00:00+00:00,,,,0.0,101769,0.0,0.0
2024-09-24 00:00:00+00:00,,,,0.0,68046,0.0,0.0
2024-09-25 00:00:00+00:00,,,,0.0,35433,0.0,0.0
2024-09-26 00:00:00+00:00,,,,0.0,17183,0.0,0.0
2024-09-27 00:00:00+00:00,,,,0.0,4721,0.0,0.0
2024-09-28 00:00:00+00:00,,,,0.0,5554,0.0,0.0
2024-09-29 00:00:00+00:00,,,,0.0,4022,0.0,0.0
2024-09-30 00:00:00+00:00,,,,0.0,10838,0.0,0.0
2024-10-01 00:00:00+00:00,,,,0.0,590,0.0,0.0
2024-10-02 00:00:00+00:00,,,,0.0,1687,0.0,0.0
2024-10-03 00:00:00+00:00,,,,0.0,1235,0.0,0.0
2024-10-04 00:00:00+00:00,,,,0.0,2631,0.0,0.0
2024-10-05 00:00:00+00:00,,,,0.0,432,0.0,0.0
2024-10-06 00:00:00+00:00,,,,0.0,1626,0.0,0.0
2024-10-07 00:00:00+00:00,,,,0.0,18095,0.0,0.0
2024-10-08 00:00:00+00:00,,,,0.0,5096,0.0,0.0
2024-10-09 00:00:00+00:00,,,,0.0,7713,0.0,0.0
2024-10-10 00:00:00+00:00,,,,0.0,4457,0.0,0.0
2024-10-11 00:00:00+00:00,,,,0.0,1374,0.0,0.0
2024-10-12 00:00:00+00:00,,,,0.0,4457,0.0,0.0
2024-10-13 00:00:00+00:00,,,,0.0,1439,0.0,0.0
2024-10-14 00:00:00+00:00,,,,0.0,618,0.0,0.0
2024-10-15 00:00:00+00:00,,,,0.0,1901,0.0,0.0
2024-10-16 00:00:00+00:00,,,,0.0,2512,0.0,0.0
2024-10-17 00:00:00+00:00,,,,0.0,1083,0.0,0.0
2024-10-18 00:00:00+00:00,,,,0.0,231,0.0,0.0
2024-10-19 00:00:00+00:00,,,,0.0,88,0.0,0.0
2024-10-20 00:00:00+00:00,,,,0.0,101,0.0,0.0
2024-10-21 00:00:00+00:00,,,,0.0,319,0.0,0.0
2024-10-22 00:00:00+00:00,,,,0.0,1145,0.0,0.0
