TIMESTAMP,SASHA_OPEN_PRICE_USD,SASHA_HIGH_PRICE_USD,SASHA_LOW_PRICE_USD,SASHA_CLOSE_PRICE_USD,SASHA_VOLUME_USD,SASHA_DIVIDENDS_USD,SASHA_STOCK_SPLITS_USD
2024-10-06 00:00:00+00:00,,,,0.0,242578,0.0,0.0
2024-10-07 00:00:00+00:00,,,,0.0,141555,0.0,0.0
2024-10-08 00:00:00+00:00,,,,0.0,705466,0.0,0.0
2024-10-09 00:00:00+00:00,,,,0.0,454630,0.0,0.0
2024-10-10 00:00:00+00:00,,,,0.0,44208,0.0,0.0
2024-10-11 00:00:00+00:00,,,,0.0,19983,0.0,0.0
2024-10-12 00:00:00+00:00,,,,0.0,18202,0.0,0.0
2024-10-13 00:00:00+00:00,,,,0.0,14956,0.0,0.0
2024-10-14 00:00:00+00:00,,,,0.0,13225,0.0,0.0
2024-10-15 00:00:00+00:00,,,,0.0,9226,0.0,0.0
2024-10-16 00:00:00+00:00,,,,0.0,7455,0.0,0.0
2024-10-17 00:00:00+00:00,,,,0.0,8064,0.0,0.0
2024-10-18 00:00:00+00:00,,,,0.0,15548,0.0,0.0
2024-10-19 00:00:00+00:00,,,,0.0,4439,0.0,0.0
2024-10-20 00:00:00+00:00,,,,0.0,20119,0.0,0.0
2024-10-21 00:00:00+00:00,,,,0.0,5936,0.0,0.0
2024-10-22 00:00:00+00:00,,,,0.0,5803,0.0,0.0
2024-10-23 00:00:00+00:00,,,,0.0,10108,0.0,0.0
2024-10-24 00:00:00+00:00,,,,0.0,8485,0.0,0.0
2024-10-25 00:00:00+00:00,,,,0.0,7923,0.0,0.0
2024-10-26 00:00:00+00:00,,,,0.0,3675,0.0,0.0
2024-10-27 00:00:00+00:00,,,,0.0,956,0.0,0.0
2024-10-28 00:00:00+00:00,,,,0.0,1994,0.0,0.0
2024-10-29 00:00:00+00:00,,,,0.0,6309,0.0,0.0
2024-10-30 00:00:00+00:00,,,,0.0,455,0.0,0.0
2024-10-31 00:00:00+00:00,,,,0.0,836,0.0,0.0
2024-11-01 00:00:00+00:00,,,,0.0,291,0.0,0.0
2024-11-02 00:00:00+00:00,,,,0.0,1829,0.0,0.0
2024-11-03 00:00:00+00:00,,,,0.0,265,0.0,0.0
2024-11-04 00:00:00+00:00,,,,0.0,270,0.0,0.0
2024-11-05 00:00:00+00:00,,,,0.0,143,0.0,0.0
2024-11-06 00:00:00+00:00,,,,0.0,3957,0.0,0.0
2024-11-07 00:00:00+00:00,,,,0.0,3378,0.0,0.0
2024-11-08 00:00:00+00:00,,,,0.0,1509,0.0,0.0
2024-11-09 00:00:00+00:00,,,,0.0,2789,0.0,0.0
2024-11-10 00:00:00+00:00,,,,0.0,425,0.0,0.0
2024-11-11 00:00:00+00:00,,,,0.0,4176,0.0,0.0
2024-11-12 00:00:00+00:00,,,,0.0,8575,0.0,0.0
2024-11-13 00:00:00+00:00,,,,0.0,2536,0.0,0.0
2024-11-14 00:00:00+00:00,,,,0.0,3156,0.0,0.0
2024-11-15 00:00:00+00:00,,,,0.0,5816,0.0,0.0
