TIMESTAMP,SHIK_OPEN_PRICE_USD,SHIK_HIGH_PRICE_USD,SHIK_LOW_PRICE_USD,SHIK_CLOSE_PRICE_USD,SHIK_VOLUME_USD,SHIK_DIVIDENDS_USD,SHIK_STOCK_SPLITS_USD
2022-12-25 00:00:00+00:00,,,,0.0,22936,0.0,0.0
2022-12-26 00:00:00+00:00,,,,0.0,18180,0.0,0.0
2022-12-27 00:00:00+00:00,,,,0.0,44532,0.0,0.0
2022-12-28 00:00:00+00:00,,,,0.0,104842,0.0,0.0
2022-12-29 00:00:00+00:00,,,,0.0,98690,0.0,0.0
2022-12-30 00:00:00+00:00,,,,0.0,484142,0.0,0.0
2022-12-31 00:00:00+00:00,,,,0.0,288389,0.0,0.0
2023-01-01 00:00:00+00:00,,,,0.0,368235,0.0,0.0
2023-01-02 00:00:00+00:00,,,,0.0,645117,0.0,0.0
2023-01-03 00:00:00+00:00,,,,0.0,1828357,0.0,0.0
2023-01-04 00:00:00+00:00,,,,0.0,5200944,0.0,0.0
2023-01-05 00:00:00+00:00,,,,0.0,6309435,0.0,0.0
2023-01-06 00:00:00+00:00,,,,0.0,1201005,0.0,0.0
2023-01-07 00:00:00+00:00,,,,0.0,675196,0.0,0.0
2023-01-08 00:00:00+00:00,,,,0.0,775591,0.0,0.0
2023-01-09 00:00:00+00:00,,,,0.0,920424,0.0,0.0
2023-01-10 00:00:00+00:00,,,,0.0,542949,0.0,0.0
2023-01-11 00:00:00+00:00,,,,0.0,685409,0.0,0.0
2023-01-12 00:00:00+00:00,,,,0.0,437014,0.0,0.0
2023-01-13 00:00:00+00:00,,,,0.0,381291,0.0,0.0
2023-01-14 00:00:00+00:00,,,,0.0,263743,0.0,0.0
2023-01-15 00:00:00+00:00,,,,0.0,334950,0.0,0.0
2023-01-16 00:00:00+00:00,,,,0.0,543200,0.0,0.0
2023-01-17 00:00:00+00:00,,,,0.0,278269,0.0,0.0
2023-01-18 00:00:00+00:00,,,,0.0,204519,0.0,0.0
2023-01-19 00:00:00+00:00,,,,0.0,266166,0.0,0.0
2023-01-20 00:00:00+00:00,,,,0.0,408270,0.0,0.0
2023-01-21 00:00:00+00:00,,,,0.0,155698,0.0,0.0
2023-01-22 00:00:00+00:00,,,,0.0,110032,0.0,0.0
2023-01-23 00:00:00+00:00,,,,0.0,110304,0.0,0.0
2023-01-24 00:00:00+00:00,,,,0.0,120748,0.0,0.0
2023-01-25 00:00:00+00:00,,,,0.0,152864,0.0,0.0
2023-01-26 00:00:00+00:00,,,,0.0,81417,0.0,0.0
2023-01-27 00:00:00+00:00,,,,0.0,70268,0.0,0.0
2023-01-28 00:00:00+00:00,,,,0.0,115841,0.0,0.0
2023-01-29 00:00:00+00:00,,,,0.0,68695,0.0,0.0
2023-01-30 00:00:00+00:00,,,,0.0,131295,0.0,0.0
2023-01-31 00:00:00+00:00,,,,0.0,31493,0.0,0.0
2023-02-01 00:00:00+00:00,,,,0.0,65013,0.0,0.0
2023-02-02 00:00:00+00:00,,,,0.0,79455,0.0,0.0
2023-02-03 00:00:00+00:00,,,,0.0,29325,0.0,0.0
2023-02-04 00:00:00+00:00,,,,0.0,155217,0.0,0.0
2023-02-05 00:00:00+00:00,,,,0.0,81358,0.0,0.0
2023-02-06 00:00:00+00:00,,,,0.0,38419,0.0,0.0
2023-02-07 00:00:00+00:00,,,,0.0,33520,0.0,0.0
2023-02-08 00:00:00+00:00,,,,0.0,41830,0.0,0.0
2023-02-09 00:00:00+00:00,,,,0.0,856177,0.0,0.0
2023-02-10 00:00:00+00:00,,,,0.0,1386773,0.0,0.0
2023-02-11 00:00:00+00:00,,,,0.0,1756897,0.0,0.0
2023-02-12 00:00:00+00:00,,,,0.0,597783,0.0,0.0
2023-02-13 00:00:00+00:00,,,,0.0,143737,0.0,0.0
2023-02-14 00:00:00+00:00,,,,0.0,123023,0.0,0.0
2023-02-15 00:00:00+00:00,,,,0.0,216198,0.0,0.0
2023-02-16 00:00:00+00:00,,,,0.0,225574,0.0,0.0
2023-02-17 00:00:00+00:00,,,,0.0,59967,0.0,0.0
2023-02-18 00:00:00+00:00,,,,0.0,99911,0.0,0.0
2023-02-19 00:00:00+00:00,,,,0.0,50474,0.0,0.0
2023-02-20 00:00:00+00:00,,,,0.0,97782,0.0,0.0
