TIMESTAMP,MINIFOOTBALL_OPEN_PRICE_USD,MINIFOOTBALL_HIGH_PRICE_USD,MINIFOOTBALL_LOW_PRICE_USD,MINIFOOTBALL_CLOSE_PRICE_USD,MINIFOOTBALL_VOLUME_USD,MINIFOOTBALL_DIVIDENDS_USD,MINIFOOTBALL_STOCK_SPLITS_USD
2021-08-13 00:00:00+00:00,,,,0.0,1277271,0.0,0.0
2021-08-14 00:00:00+00:00,,,,0.0,4097046,0.0,0.0
2021-08-15 00:00:00+00:00,,,,0.0,4283727,0.0,0.0
2021-08-16 00:00:00+00:00,,,,0.0,2156591,0.0,0.0
2021-08-17 00:00:00+00:00,,,,0.0,963581,0.0,0.0
2021-08-18 00:00:00+00:00,,,,0.0,881349,0.0,0.0
2021-08-19 00:00:00+00:00,,,,0.0,2384741,0.0,0.0
2021-08-20 00:00:00+00:00,,,,0.0,6989613,0.0,0.0
2021-08-21 00:00:00+00:00,,,,0.0,12980427,0.0,0.0
2021-08-22 00:00:00+00:00,,,,0.0,10688350,0.0,0.0
2021-08-23 00:00:00+00:00,,,,0.0,11902685,0.0,0.0
2021-08-24 00:00:00+00:00,,,,0.0,12507536,0.0,0.0
2021-08-25 00:00:00+00:00,,,,0.0,7114938,0.0,0.0
2021-08-26 00:00:00+00:00,,,,0.0,10909762,0.0,0.0
2021-08-27 00:00:00+00:00,,,,0.0,9746054,0.0,0.0
2021-08-28 00:00:00+00:00,,,,0.0,1998872,0.0,0.0
2021-08-29 00:00:00+00:00,,,,0.0,2807878,0.0,0.0
2021-08-30 00:00:00+00:00,,,,0.0,2995598,0.0,0.0
2021-08-31 00:00:00+00:00,,,,0.0,1448753,0.0,0.0
2021-09-01 00:00:00+00:00,,,,0.0,1381327,0.0,0.0
2021-09-02 00:00:00+00:00,,,,0.0,1271556,0.0,0.0
2021-09-03 00:00:00+00:00,,,,0.0,973714,0.0,0.0
2021-09-04 00:00:00+00:00,,,,0.0,874818,0.0,0.0
2021-09-05 00:00:00+00:00,,,,0.0,758212,0.0,0.0
2021-09-06 00:00:00+00:00,,,,0.0,662761,0.0,0.0
2021-09-07 00:00:00+00:00,,,,0.0,660319,0.0,0.0
2021-09-08 00:00:00+00:00,,,,0.0,647353,0.0,0.0
2021-09-09 00:00:00+00:00,,,,0.0,477261,0.0,0.0
2021-09-10 00:00:00+00:00,,,,0.0,457984,0.0,0.0
2021-09-11 00:00:00+00:00,,,,0.0,397257,0.0,0.0
2021-09-12 00:00:00+00:00,,,,0.0,660593,0.0,0.0
2021-09-13 00:00:00+00:00,,,,0.0,725596,0.0,0.0
2021-09-14 00:00:00+00:00,,,,0.0,416410,0.0,0.0
2021-09-15 00:00:00+00:00,,,,0.0,330647,0.0,0.0
2021-09-16 00:00:00+00:00,,,,0.0,215306,0.0,0.0
2021-09-17 00:00:00+00:00,,,,0.0,210518,0.0,0.0
2021-09-18 00:00:00+00:00,,,,0.0,235590,0.0,0.0
2021-09-19 00:00:00+00:00,,,,0.0,189087,0.0,0.0
2021-09-20 00:00:00+00:00,,,,0.0,169134,0.0,0.0
2021-09-21 00:00:00+00:00,,,,0.0,238210,0.0,0.0
2021-09-22 00:00:00+00:00,,,,0.0,289242,0.0,0.0
2021-09-23 00:00:00+00:00,,,,0.0,240266,0.0,0.0
2021-09-24 00:00:00+00:00,,,,0.0,232524,0.0,0.0
2021-09-25 00:00:00+00:00,,,,0.0,241252,0.0,0.0
2021-09-26 00:00:00+00:00,,,,0.0,169977,0.0,0.0
2021-09-27 00:00:00+00:00,,,,0.0,97996,0.0,0.0
2021-09-28 00:00:00+00:00,,,,0.0,78094,0.0,0.0
2021-09-29 00:00:00+00:00,,,,0.0,107470,0.0,0.0
2021-09-30 00:00:00+00:00,,,,0.0,111410,0.0,0.0
2021-10-01 00:00:00+00:00,,,,0.0,221349,0.0,0.0
2021-10-02 00:00:00+00:00,,,,0.0,267432,0.0,0.0
2021-10-03 00:00:00+00:00,,,,0.0,191996,0.0,0.0
2021-10-04 00:00:00+00:00,,,,0.0,167411,0.0,0.0
2021-10-05 00:00:00+00:00,,,,0.0,150142,0.0,0.0
2021-10-06 00:00:00+00:00,,,,0.0,155316,0.0,0.0
2021-10-07 00:00:00+00:00,,,,0.0,246704,0.0,0.0
2021-10-08 00:00:00+00:00,,,,0.0,1258123,0.0,0.0
2021-10-09 00:00:00+00:00,,,,0.0,1534724,0.0,0.0
2021-10-10 00:00:00+00:00,,,,0.0,797438,0.0,0.0
2021-10-11 00:00:00+00:00,,,,0.0,738809,0.0,0.0
2021-10-12 00:00:00+00:00,,,,0.0,559566,0.0,0.0
2021-10-13 00:00:00+00:00,,,,0.0,316197,0.0,0.0
2021-10-14 00:00:00+00:00,,,,0.0,331442,0.0,0.0
2021-10-15 00:00:00+00:00,,,,0.0,400441,0.0,0.0
2021-10-16 00:00:00+00:00,,,,0.0,248017,0.0,0.0
2021-10-17 00:00:00+00:00,,,,0.0,150454,0.0,0.0
2021-10-18 00:00:00+00:00,,,,0.0,227253,0.0,0.0
2021-10-19 00:00:00+00:00,,,,0.0,210904,0.0,0.0
2021-10-20 00:00:00+00:00,,,,0.0,192126,0.0,0.0
2021-10-21 00:00:00+00:00,,,,0.0,217397,0.0,0.0
2021-10-22 00:00:00+00:00,,,,0.0,212454,0.0,0.0
2021-10-23 00:00:00+00:00,,,,0.0,158033,0.0,0.0
2021-10-24 00:00:00+00:00,,,,0.0,166063,0.0,0.0
2021-10-25 00:00:00+00:00,,,,0.0,208994,0.0,0.0
2021-10-26 00:00:00+00:00,,,,0.0,200589,0.0,0.0
2021-10-27 00:00:00+00:00,,,,0.0,190032,0.0,0.0
2021-10-28 00:00:00+00:00,,,,0.0,348560,0.0,0.0
2021-10-29 00:00:00+00:00,,,,0.0,432916,0.0,0.0
2021-10-30 00:00:00+00:00,,,,0.0,249566,0.0,0.0
2021-10-31 00:00:00+00:00,,,,0.0,422703,0.0,0.0
2021-11-01 00:00:00+00:00,,,,0.0,552216,0.0,0.0
2021-11-02 00:00:00+00:00,,,,0.0,1168133,0.0,0.0
2021-11-03 00:00:00+00:00,,,,0.0,2310752,0.0,0.0
2021-11-04 00:00:00+00:00,,,,0.0,2902755,0.0,0.0
2021-11-05 00:00:00+00:00,,,,0.0,1825911,0.0,0.0
2021-11-06 00:00:00+00:00,,,,0.0,1204331,0.0,0.0
2021-11-07 00:00:00+00:00,,,,0.0,1741590,0.0,0.0
2021-11-08 00:00:00+00:00,,,,0.0,1350483,0.0,0.0
2021-11-09 00:00:00+00:00,,,,0.0,1286029,0.0,0.0
2021-11-10 00:00:00+00:00,,,,0.0,2737442,0.0,0.0
2021-11-11 00:00:00+00:00,,,,0.0,2435158,0.0,0.0
2021-11-12 00:00:00+00:00,,,,0.0,1390924,0.0,0.0
2021-11-13 00:00:00+00:00,,,,0.0,1363487,0.0,0.0
2021-11-14 00:00:00+00:00,,,,0.0,180654,0.0,0.0
2021-11-15 00:00:00+00:00,,,,0.0,785050,0.0,0.0
2021-11-16 00:00:00+00:00,,,,0.0,2502715,0.0,0.0
2021-11-17 00:00:00+00:00,,,,0.0,2463597,0.0,0.0
2021-11-18 00:00:00+00:00,,,,0.0,1542488,0.0,0.0
2021-11-19 00:00:00+00:00,,,,0.0,1135429,0.0,0.0
2021-11-20 00:00:00+00:00,,,,0.0,1470535,0.0,0.0
2021-11-21 00:00:00+00:00,,,,0.0,1245028,0.0,0.0
2021-11-22 00:00:00+00:00,,,,0.0,151304,0.0,0.0
2021-11-23 00:00:00+00:00,,,,0.0,4693428,0.0,0.0
2021-11-24 00:00:00+00:00,,,,0.0,5169233,0.0,0.0
2021-11-25 00:00:00+00:00,,,,0.0,893592,0.0,0.0
2021-11-26 00:00:00+00:00,,,,0.0,164473,0.0,0.0
2021-11-27 00:00:00+00:00,,,,0.0,118180,0.0,0.0
2021-11-28 00:00:00+00:00,,,,0.0,74840,0.0,0.0
2021-11-29 00:00:00+00:00,,,,0.0,48663,0.0,0.0
2021-11-30 00:00:00+00:00,,,,0.0,44772,0.0,0.0
2021-12-01 00:00:00+00:00,,,,0.0,66884,0.0,0.0
2021-12-02 00:00:00+00:00,,,,0.0,64955,0.0,0.0
2021-12-03 00:00:00+00:00,,,,0.0,50650,0.0,0.0
2021-12-04 00:00:00+00:00,,,,0.0,36965,0.0,0.0
2021-12-05 00:00:00+00:00,,,,0.0,55719,0.0,0.0
2021-12-06 00:00:00+00:00,,,,0.0,69081,0.0,0.0
2021-12-07 00:00:00+00:00,,,,0.0,141160,0.0,0.0
2021-12-08 00:00:00+00:00,,,,0.0,143949,0.0,0.0
2021-12-09 00:00:00+00:00,,,,0.0,163347,0.0,0.0
2021-12-10 00:00:00+00:00,,,,0.0,198251,0.0,0.0
2021-12-11 00:00:00+00:00,,,,0.0,85499,0.0,0.0
2021-12-12 00:00:00+00:00,,,,0.0,28150,0.0,0.0
