TIMESTAMP,DOGEBASE_OPEN_PRICE_USD,DOGEBASE_HIGH_PRICE_USD,DOGEBASE_LOW_PRICE_USD,DOGEBASE_CLOSE_PRICE_USD,DOGEBASE_VOLUME_USD,DOGEBASE_DIVIDENDS_USD,DOGEBASE_STOCK_SPLITS_USD
2025-05-15 00:00:00+00:00,4.999999873689376e-06,2.700000004551839e-05,3.999999989900971e-06,2.700000004551839e-05,9142,0.0,0.0
2025-05-16 00:00:00+00:00,2.700000004551839e-05,4.3000000005122274e-05,1.9999999494757503e-05,2.2000000171829015e-05,13033,0.0,0.0
2025-05-17 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,7.999999979801942e-06,1.4000000192027073e-05,0,0.0,0.0
2025-05-18 00:00:00+00:00,1.4000000192027073e-05,2.700000004551839e-05,1.2999999853491317e-05,2.700000004551839e-05,0,0.0,0.0
2025-05-19 00:00:00+00:00,2.700000004551839e-05,2.9999999242136255e-05,1.9999999494757503e-05,2.499999936844688e-05,0,0.0,0.0
2025-05-20 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,1.4999999621068127e-05,1.5999999959603883e-05,0,0.0,0.0
2025-05-21 00:00:00+00:00,1.5999999959603883e-05,1.8000000636675395e-05,9.999999747378752e-06,1.2000000424450263e-05,65045,0.0,0.0
2025-05-22 00:00:00+00:00,1.2000000424450263e-05,2.700000004551839e-05,9.999999747378752e-06,1.700000029813964e-05,0,0.0,0.0
2025-05-23 00:00:00+00:00,1.700000029813964e-05,3.400000059627928e-05,6.000000212225132e-06,9.999999747378752e-06,13432,0.0,0.0
2025-05-24 00:00:00+00:00,9.999999747378752e-06,1.4000000192027073e-05,7.000000096013537e-06,9.000000318337698e-06,0,0.0,0.0
2025-05-25 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,0,0.0,0.0
2025-05-26 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,6.000000212225132e-06,7.999999979801942e-06,967,0.0,0.0
2025-05-27 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,0,0.0,0.0
2025-05-28 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,0,0.0,0.0
2025-05-29 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,0,0.0,0.0
2025-05-30 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,0,0.0,0.0
2025-05-31 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,79,0.0,0.0
2025-06-01 00:00:00+00:00,7.050609383441042e-06,7.070333140291041e-06,6.969498372200178e-06,7.065308182063745e-06,42,0.0,0.0
