TIMESTAMP,WSG_OPEN_PRICE_USD,WSG_HIGH_PRICE_USD,WSG_LOW_PRICE_USD,WSG_CLOSE_PRICE_USD,WSG_VOLUME_USD,WSG_DIVIDENDS_USD,WSG_STOCK_SPLITS_USD
2021-05-24 00:00:00+00:00,,,,0.0,3784861,0.0,0.0
2021-05-25 00:00:00+00:00,,,,0.0,3673145,0.0,0.0
2021-05-26 00:00:00+00:00,,,,0.0,4204689,0.0,0.0
2021-05-27 00:00:00+00:00,,,,0.0,3656912,0.0,0.0
2021-05-28 00:00:00+00:00,,,,0.0,2727694,0.0,0.0
2021-05-29 00:00:00+00:00,,,,0.0,1393332,0.0,0.0
2021-05-30 00:00:00+00:00,,,,0.0,1304785,0.0,0.0
2021-05-31 00:00:00+00:00,,,,0.0,2495856,0.0,0.0
2021-06-01 00:00:00+00:00,,,,0.0,1899909,0.0,0.0
2021-06-02 00:00:00+00:00,,,,0.0,1489800,0.0,0.0
2021-06-03 00:00:00+00:00,,,,0.0,1397678,0.0,0.0
2021-06-04 00:00:00+00:00,,,,0.0,1542003,0.0,0.0
2021-06-05 00:00:00+00:00,,,,0.0,1196255,0.0,0.0
2021-06-06 00:00:00+00:00,,,,0.0,768013,0.0,0.0
2021-06-07 00:00:00+00:00,,,,0.0,1110809,0.0,0.0
2021-06-08 00:00:00+00:00,,,,0.0,771554,0.0,0.0
2021-06-09 00:00:00+00:00,,,,0.0,994764,0.0,0.0
2021-06-10 00:00:00+00:00,,,,0.0,835669,0.0,0.0
2021-06-11 00:00:00+00:00,,,,0.0,377090,0.0,0.0
2021-06-12 00:00:00+00:00,,,,0.0,269413,0.0,0.0
2021-06-13 00:00:00+00:00,,,,0.0,284854,0.0,0.0
2021-06-14 00:00:00+00:00,,,,0.0,208807,0.0,0.0
2021-06-15 00:00:00+00:00,,,,0.0,310389,0.0,0.0
2021-06-16 00:00:00+00:00,,,,0.0,1693101,0.0,0.0
2021-06-17 00:00:00+00:00,,,,0.0,1468546,0.0,0.0
2021-06-18 00:00:00+00:00,,,,0.0,973877,0.0,0.0
2021-06-19 00:00:00+00:00,,,,0.0,1241446,0.0,0.0
2021-06-20 00:00:00+00:00,,,,0.0,1138351,0.0,0.0
2021-06-21 00:00:00+00:00,,,,0.0,1297422,0.0,0.0
2021-06-22 00:00:00+00:00,,,,0.0,1011692,0.0,0.0
2021-06-23 00:00:00+00:00,,,,0.0,1136654,0.0,0.0
2021-06-24 00:00:00+00:00,,,,0.0,1083831,0.0,0.0
2021-06-25 00:00:00+00:00,,,,0.0,1340152,0.0,0.0
2021-06-26 00:00:00+00:00,,,,0.0,1544825,0.0,0.0
2021-06-27 00:00:00+00:00,,,,0.0,1515067,0.0,0.0
2021-06-28 00:00:00+00:00,,,,0.0,1937520,0.0,0.0
2021-06-29 00:00:00+00:00,,,,0.0,2370740,0.0,0.0
2021-06-30 00:00:00+00:00,,,,0.0,2237250,0.0,0.0
2021-07-01 00:00:00+00:00,,,,0.0,2184525,0.0,0.0
