,Observation Count,Mean,Median,Standard Deviation,Min,1%,5%,10%,25%,50%,75%,90%,95%,99%,Max
XRP Opening Price ($),1826.0,0.508833587075575,0.35245,0.3629662991840221,0.13536,0.1618475,0.18761,0.20031,0.2506875,0.35245,0.6870499999999999,1.03205,1.188275,1.786505,2.78
XRP High Price ($),1826.0,0.5344226122672509,0.37,0.39119248299207016,0.14938,0.17052499999999998,0.19265,0.20483,0.2587375,0.37,0.7221875,1.0826500000000001,1.252775,1.916,3.29
XRP Low Price ($),1826.0,0.48131145673603504,0.334495,0.3331209236283015,0.10129,0.15162,0.1793525,0.19440000000000002,0.2423475,0.334495,0.6476700000000001,0.9472,1.11605,1.5551074999999999,2.58
XRP Close Price ($),1826.0,0.5092055750273823,0.35252,0.36339500753941745,0.13549,0.16182249999999998,0.1875925,0.20032,0.25089249999999996,0.35252,0.6887075,1.0321,1.1882,1.7865350000000002,2.78
