TIMESTAMP,AZIT_OPEN_PRICE_USD,AZIT_HIGH_PRICE_USD,AZIT_LOW_PRICE_USD,AZIT_CLOSE_PRICE_USD,AZIT_VOLUME_USD,AZIT_DIVIDENDS_USD,AZIT_STOCK_SPLITS_USD
2022-03-21 00:00:00+00:00,0.51282799243927,0.5169119834899902,0.497065007686615,0.4985730051994324,257629,0.0,0.0
2022-03-22 00:00:00+00:00,0.49857398867607117,0.49857398867607117,0.489766001701355,0.49256598949432373,174236,0.0,0.0
2022-03-23 00:00:00+00:00,0.49257200956344604,0.5013949871063232,0.485150009393692,0.4859989881515503,126405,0.0,0.0
2022-03-24 00:00:00+00:00,0.4860199987888336,0.488413006067276,0.48197001218795776,0.48388999700546265,116316,0.0,0.0
2022-03-25 00:00:00+00:00,0.4838919937610626,0.4941740036010742,0.4821290075778961,0.4843960106372833,183372,0.0,0.0
2022-03-26 00:00:00+00:00,0.4844050109386444,0.4852289855480194,0.4742569923400879,0.4742709994316101,57815,0.0,0.0
2022-03-27 00:00:00+00:00,0.4742709994316101,0.4787740111351013,0.44972699880599976,0.45957300066947937,74958,0.0,0.0
2022-03-28 00:00:00+00:00,0.45956799387931824,0.4660860002040863,0.44926899671554565,0.4512859880924225,88573,0.0,0.0
2022-03-29 00:00:00+00:00,0.4512830078601837,0.4572420120239258,0.4340690076351166,0.43409499526023865,84860,0.0,0.0
2022-03-30 00:00:00+00:00,0.43408599495887756,0.43838000297546387,0.42112499475479126,0.4224179983139038,88783,0.0,0.0
2022-03-31 00:00:00+00:00,0.42241498827934265,0.423678994178772,0.4159899950027466,0.42042800784111023,43984,0.0,0.0
2022-04-01 00:00:00+00:00,0.420428991317749,0.42044198513031006,0.4097039997577667,0.4123480021953583,20552,0.0,0.0
2022-04-02 00:00:00+00:00,0.4123519957065582,0.42107701301574707,0.4110279977321625,0.4116419851779938,12845,0.0,0.0
2022-04-03 00:00:00+00:00,0.41164299845695496,0.4160569906234741,0.40977999567985535,0.4110119938850403,11279,0.0,0.0
2022-04-04 00:00:00+00:00,0.41101300716400146,0.4123519957065582,0.3972949981689453,0.3974910080432892,16205,0.0,0.0
2022-04-05 00:00:00+00:00,0.397487998008728,0.3975130021572113,0.3923630118370056,0.39237600564956665,12799,0.0,0.0
2022-04-06 00:00:00+00:00,0.3923780024051666,0.39414700865745544,0.36294201016426086,0.3640559911727905,29173,0.0,0.0
2022-04-07 00:00:00+00:00,0.36405399441719055,0.36623498797416687,0.34274500608444214,0.35009199380874634,30523,0.0,0.0
2022-04-08 00:00:00+00:00,0.35009101033210754,0.35009700059890747,0.32058000564575195,0.32259300351142883,24389,0.0,0.0
2022-04-09 00:00:00+00:00,0.32259199023246765,0.3311930000782013,0.31416499614715576,0.32302001118659973,19286,0.0,0.0
2022-04-10 00:00:00+00:00,0.3230139911174774,0.3230139911174774,0.3008120059967041,0.3073900043964386,15375,0.0,0.0
2022-04-11 00:00:00+00:00,0.3073920011520386,0.3130500018596649,0.2826550006866455,0.2840990126132965,17907,0.0,0.0
2022-04-12 00:00:00+00:00,0.2840999960899353,0.2935819923877716,0.28220099210739136,0.2890259921550751,12467,0.0,0.0
2022-04-13 00:00:00+00:00,0.28902798891067505,0.29268699884414673,0.2696489989757538,0.27107399702072144,16343,0.0,0.0
2022-04-14 00:00:00+00:00,0.2710750102996826,0.2829670011997223,0.26935699582099915,0.2757349908351898,12379,0.0,0.0
2022-04-15 00:00:00+00:00,0.27573299407958984,0.2802349925041199,0.2657580077648163,0.270565003156662,12144,0.0,0.0
2022-04-16 00:00:00+00:00,0.2705639898777008,0.2730650007724762,0.2606610059738159,0.266279011964798,13688,0.0,0.0
2022-04-17 00:00:00+00:00,0.2662769854068756,0.2697870135307312,0.24895800650119781,0.2520790100097656,13864,0.0,0.0
2022-04-18 00:00:00+00:00,0.2520810067653656,0.2528730034828186,0.23865599930286407,0.2400519996881485,14320,0.0,0.0
