TIMESTAMP,BORGY_OPEN_PRICE_USD,BORGY_HIGH_PRICE_USD,BORGY_LOW_PRICE_USD,BORGY_CLOSE_PRICE_USD,BORGY_VOLUME_USD,BORGY_DIVIDENDS_USD,BORGY_STOCK_SPLITS_USD
2025-03-27 00:00:00+00:00,9.500000305706635e-05,0.00010199999815085903,9.40000027185306e-05,9.899999713525176e-05,6873,0.0,0.0
2025-03-28 00:00:00+00:00,9.899999713525176e-05,9.899999713525176e-05,9.100000170292333e-05,9.100000170292333e-05,0,0.0,0.0
2025-03-29 00:00:00+00:00,9.100000170292333e-05,9.200000204145908e-05,8.800000068731606e-05,9.100000170292333e-05,4671,0.0,0.0
2025-03-30 00:00:00+00:00,9.100000170292333e-05,9.699999645818025e-05,9.100000170292333e-05,9.200000204145908e-05,6178,0.0,0.0
2025-03-31 00:00:00+00:00,9.200000204145908e-05,9.40000027185306e-05,9.100000170292333e-05,9.40000027185306e-05,4321,0.0,0.0
2025-04-01 00:00:00+00:00,9.40000027185306e-05,9.7999996796716e-05,9.300000237999484e-05,9.600000339560211e-05,6194,0.0,0.0
2025-04-02 00:00:00+00:00,9.600000339560211e-05,9.999999747378752e-05,8.900000102585182e-05,8.900000102585182e-05,7240,0.0,0.0
2025-04-03 00:00:00+00:00,8.900000102585182e-05,0.00011700000322889537,8.299999899463728e-05,8.900000102585182e-05,0,0.0,0.0
2025-04-04 00:00:00+00:00,8.900000102585182e-05,9.600000339560211e-05,8.900000102585182e-05,9.500000305706635e-05,4790,0.0,0.0
2025-04-05 00:00:00+00:00,9.500000305706635e-05,9.500000305706635e-05,9.100000170292333e-05,9.200000204145908e-05,0,0.0,0.0
2025-04-06 00:00:00+00:00,9.200000204145908e-05,9.300000237999484e-05,8.099999831756577e-05,8.099999831756577e-05,6737,0.0,0.0
2025-04-07 00:00:00+00:00,8.099999831756577e-05,8.600000001024455e-05,7.000000186963007e-05,8.499999967170879e-05,11057,0.0,0.0
2025-04-08 00:00:00+00:00,8.499999967170879e-05,8.800000068731606e-05,7.699999696342275e-05,7.699999696342275e-05,4593,0.0,0.0
2025-04-09 00:00:00+00:00,7.699999696342275e-05,8.600000001024455e-05,7.500000356230885e-05,8.299999899463728e-05,0,0.0,0.0
2025-04-10 00:00:00+00:00,8.299999899463728e-05,8.399999933317304e-05,7.500000356230885e-05,7.79999973019585e-05,8449,0.0,0.0
2025-04-11 00:00:00+00:00,7.79999973019585e-05,8.399999933317304e-05,7.500000356230885e-05,7.599999662488699e-05,31953,0.0,0.0
2025-04-12 00:00:00+00:00,7.599999662488699e-05,7.699999696342275e-05,7.400000322377309e-05,7.500000356230885e-05,0,0.0,0.0
2025-04-13 00:00:00+00:00,7.500000356230885e-05,7.500000356230885e-05,6.900000153109431e-05,7.000000186963007e-05,0,0.0,0.0
2025-04-14 00:00:00+00:00,7.000000186963007e-05,7.300000288523734e-05,6.600000051548705e-05,6.70000008540228e-05,10379,0.0,0.0
2025-04-15 00:00:00+00:00,6.70000008540228e-05,7.000000186963007e-05,6.500000017695129e-05,6.500000017695129e-05,2079,0.0,0.0
2025-04-16 00:00:00+00:00,6.500000017695129e-05,7.000000186963007e-05,6.399999983841553e-05,6.900000153109431e-05,0,0.0,0.0
2025-04-17 00:00:00+00:00,6.900000153109431e-05,6.900000153109431e-05,6.600000051548705e-05,6.800000119255856e-05,2080,0.0,0.0
2025-04-18 00:00:00+00:00,6.800000119255856e-05,7.200000254670158e-05,6.70000008540228e-05,7.000000186963007e-05,6317,0.0,0.0
2025-04-19 00:00:00+00:00,7.000000186963007e-05,7.400000322377309e-05,7.000000186963007e-05,7.400000322377309e-05,10423,0.0,0.0
2025-04-20 00:00:00+00:00,7.400000322377309e-05,7.400000322377309e-05,7.100000220816582e-05,7.200000254670158e-05,0,0.0,0.0
2025-04-21 00:00:00+00:00,7.200000254670158e-05,7.500000356230885e-05,6.900000153109431e-05,6.900000153109431e-05,5648,0.0,0.0
2025-04-22 00:00:00+00:00,6.900000153109431e-05,7.500000356230885e-05,6.900000153109431e-05,7.200000254670158e-05,10467,0.0,0.0
2025-04-23 00:00:00+00:00,7.200000254670158e-05,7.999999797903001e-05,7.100000220816582e-05,7.400000322377309e-05,0,0.0,0.0
2025-04-24 00:00:00+00:00,7.400000322377309e-05,7.500000356230885e-05,7.100000220816582e-05,7.400000322377309e-05,3424,0.0,0.0
2025-04-25 00:00:00+00:00,7.400000322377309e-05,9.300000237999484e-05,7.000000186963007e-05,7.200000254670158e-05,38696,0.0,0.0
2025-04-26 00:00:00+00:00,7.200000254670158e-05,7.300000288523734e-05,6.299999949987978e-05,6.70000008540228e-05,8660,0.0,0.0
