TIMESTAMP,PENGY_OPEN_PRICE_USD,PENGY_HIGH_PRICE_USD,PENGY_LOW_PRICE_USD,PENGY_CLOSE_PRICE_USD,PENGY_VOLUME_USD,PENGY_DIVIDENDS_USD,PENGY_STOCK_SPLITS_USD
2023-08-16 00:00:00+00:00,0.00010099999781232327,0.00010399999882793054,7.699999696342275e-05,9.000000136438757e-05,49171,0.0,0.0
2023-08-17 00:00:00+00:00,9.000000136438757e-05,9.000000136438757e-05,5.8000001445179805e-05,6.800000119255856e-05,23939,0.0,0.0
2023-08-18 00:00:00+00:00,6.800000119255856e-05,7.79999973019585e-05,6.800000119255856e-05,7.500000356230885e-05,5514,0.0,0.0
2023-08-19 00:00:00+00:00,7.500000356230885e-05,7.500000356230885e-05,6.900000153109431e-05,6.900000153109431e-05,3321,0.0,0.0
2023-08-20 00:00:00+00:00,6.900000153109431e-05,7.000000186963007e-05,5.0999999075429514e-05,5.400000009103678e-05,11948,0.0,0.0
2023-08-21 00:00:00+00:00,5.400000009103678e-05,7.000000186963007e-05,5.400000009103678e-05,5.999999848427251e-05,11048,0.0,0.0
2023-08-22 00:00:00+00:00,5.999999848427251e-05,5.999999848427251e-05,4.400000034365803e-05,4.600000102072954e-05,8881,0.0,0.0
2023-08-23 00:00:00+00:00,4.600000102072954e-05,5.2999999752501026e-05,4.600000102072954e-05,4.999999873689376e-05,9270,0.0,0.0
2023-08-24 00:00:00+00:00,4.999999873689376e-05,5.8000001445179805e-05,4.999999873689376e-05,5.700000110664405e-05,5920,0.0,0.0
2023-08-25 00:00:00+00:00,5.700000110664405e-05,6.299999949987978e-05,5.400000009103678e-05,5.999999848427251e-05,7562,0.0,0.0
2023-08-26 00:00:00+00:00,5.999999848427251e-05,6.399999983841553e-05,4.70000013592653e-05,5.0999999075429514e-05,23470,0.0,0.0
2023-08-27 00:00:00+00:00,5.0999999075429514e-05,6.800000119255856e-05,6.000000212225132e-06,6.000000212225132e-06,61648,0.0,0.0
2023-08-28 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,1571,0.0,0.0
2023-08-29 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,812,0.0,0.0
2023-08-30 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,323,0.0,0.0
2023-08-31 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,56,0.0,0.0
2023-09-01 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,0,0.0,0.0
2023-09-02 00:00:00+00:00,3.999999989900971e-06,6.500000017695129e-05,3.999999989900971e-06,6.199999916134402e-05,7331,0.0,0.0
2023-09-03 00:00:00+00:00,6.199999916134402e-05,6.299999949987978e-05,5.6000000768108293e-05,5.6000000768108293e-05,2596,0.0,0.0
2023-09-04 00:00:00+00:00,5.6000000768108293e-05,8.199999865610152e-05,5.6000000768108293e-05,6.900000153109431e-05,11475,0.0,0.0
2023-09-05 00:00:00+00:00,6.900000153109431e-05,6.900000153109431e-05,4.8999998398358e-05,4.8999998398358e-05,6899,0.0,0.0
2024-11-29 00:00:00+00:00,0.00019700000120792538,0.0001990000018849969,8.499999967170879e-05,0.00010199999815085903,63180,0.0,0.0
2024-11-30 00:00:00+00:00,0.00010199999815085903,0.00012099999730708078,9.500000305706635e-05,0.00010800000018207356,23838,0.0,0.0
2024-12-01 00:00:00+00:00,0.00010800000018207356,0.00011200000153621659,9.899999713525176e-05,0.0001049999991664663,10643,0.0,0.0
