TIMESTAMP,UNCOMMONGOODS_OPEN_PRICE_USD,UNCOMMONGOODS_HIGH_PRICE_USD,UNCOMMONGOODS_LOW_PRICE_USD,UNCOMMONGOODS_CLOSE_PRICE_USD,UNCOMMONGOODS_VOLUME_USD,UNCOMMONGOODS_DIVIDENDS_USD,UNCOMMONGOODS_STOCK_SPLITS_USD
2024-05-22 00:00:00+00:00,0.7794229984283447,0.8423870205879211,0.7700790166854858,0.8423870205879211,34650,0.0,0.0
2024-05-23 00:00:00+00:00,0.8374069929122925,0.8850200176239014,0.8083480000495911,0.8316100239753723,83021,0.0,0.0
2024-05-24 00:00:00+00:00,0.7969480156898499,0.8576020002365112,0.7345629930496216,0.7393760085105896,41978,0.0,0.0
2024-05-25 00:00:00+00:00,0.7393760085105896,0.8583049774169922,0.737841010093689,0.8122169971466064,39012,0.0,0.0
2024-05-26 00:00:00+00:00,0.7935180068016052,0.8052219748497009,0.7381839752197266,0.7495139837265015,34856,0.0,0.0
2024-05-27 00:00:00+00:00,0.7512540221214294,0.7788900136947632,0.6805019974708557,0.7267090082168579,43331,0.0,0.0
2024-05-28 00:00:00+00:00,0.7308589816093445,0.7575950026512146,0.700842022895813,0.7241489887237549,22889,0.0,0.0
2024-05-29 00:00:00+00:00,0.7368209958076477,0.8377479910850525,0.7243859767913818,0.8326780200004578,47982,0.0,0.0
2024-05-30 00:00:00+00:00,0.8303020000457764,0.838765025138855,0.731814980506897,0.8294039964675903,130459,0.0,0.0
2024-05-31 00:00:00+00:00,0.8516160249710083,0.9099100232124329,0.784400999546051,0.8217819929122925,108459,0.0,0.0
2024-06-01 00:00:00+00:00,0.8278040289878845,0.8504530191421509,0.782696008682251,0.7941589951515198,38671,0.0,0.0
2024-06-02 00:00:00+00:00,0.794979989528656,1.1577370166778564,0.7949730157852173,0.9345269799232483,62629,0.0,0.0
2024-06-03 00:00:00+00:00,0.8595790266990662,1.2416820526123047,0.8541399836540222,1.1509100198745728,113937,0.0,0.0
2024-06-04 00:00:00+00:00,1.115759015083313,1.880439043045044,1.0246649980545044,1.6384869813919067,182020,0.0,0.0
2024-06-05 00:00:00+00:00,1.6761289834976196,1.9304560422897339,1.500022053718567,1.8290530443191528,151649,0.0,0.0
