TIMESTAMP,RBY_OPEN_PRICE_USD,RBY_HIGH_PRICE_USD,RBY_LOW_PRICE_USD,RBY_CLOSE_PRICE_USD,RBY_VOLUME_USD,RBY_DIVIDENDS_USD,RBY_STOCK_SPLITS_USD
2017-11-09 00:00:00+00:00,0.7649049758911133,0.8190749883651733,0.7186700105667114,0.7604950070381165,313709,0.0,0.0
2017-11-10 00:00:00+00:00,0.7635369896888733,0.7833660244941711,0.6518200039863586,0.6770650148391724,65140,0.0,0.0
2017-11-11 00:00:00+00:00,0.6754429936408997,0.7466869950294495,0.6192520260810852,0.6369019746780396,552333,0.0,0.0
2017-11-12 00:00:00+00:00,0.6384680271148682,0.6384680271148682,0.5380290150642395,0.5605260133743286,53911,0.0,0.0
2017-11-13 00:00:00+00:00,0.5619300007820129,0.6628530025482178,0.5594320297241211,0.65904301404953,65770,0.0,0.0
2017-11-14 00:00:00+00:00,0.6604390144348145,0.7089459896087646,0.6565629839897156,0.6691150069236755,160805,0.0,0.0
2017-11-15 00:00:00+00:00,0.6743590235710144,0.7075080275535583,0.6743590235710144,0.6966990232467651,46679,0.0,0.0
2017-11-16 00:00:00+00:00,0.700348973274231,0.7563369870185852,0.6840090155601501,0.7481150031089783,44572,0.0,0.0
2017-11-17 00:00:00+00:00,0.7495549917221069,0.7641140222549438,0.7144780158996582,0.7249450087547302,44149,0.0,0.0
2017-11-18 00:00:00+00:00,0.7221649885177612,0.7656360268592834,0.7025989890098572,0.7408040165901184,46601,0.0,0.0
2017-11-19 00:00:00+00:00,0.7409039735794067,0.7621650099754333,0.7267810106277466,0.7549809813499451,19622,0.0,0.0
2017-11-20 00:00:00+00:00,0.7546290159225464,0.7746269702911377,0.7442520260810852,0.7636430263519287,35015,0.0,0.0
2017-11-21 00:00:00+00:00,0.7637810111045837,0.7932569980621338,0.7245720028877258,0.7909759879112244,282768,0.0,0.0
2017-11-22 00:00:00+00:00,0.794359028339386,0.9835960268974304,0.7905240058898926,0.891264021396637,1639020,0.0,0.0
2017-11-23 00:00:00+00:00,0.8783230185508728,0.8884260058403015,0.778656005859375,0.7943320274353027,330680,0.0,0.0
2017-11-24 00:00:00+00:00,0.7932469844818115,0.8010429739952087,0.7613480091094971,0.7841579914093018,76581,0.0,0.0
2017-11-25 00:00:00+00:00,0.7825829982757568,0.8271510004997253,0.7762899994850159,0.8271510004997253,50944,0.0,0.0
2017-11-26 00:00:00+00:00,0.8268740177154541,0.9024670124053955,0.8218460083007812,0.8804280161857605,60038,0.0,0.0
2017-11-27 00:00:00+00:00,0.8805029988288879,0.9240570068359375,0.8448010087013245,0.8854449987411499,282158,0.0,0.0
2017-11-28 00:00:00+00:00,0.8877390027046204,0.8889560103416443,0.7801960110664368,0.7908660173416138,765155,0.0,0.0
2017-11-29 00:00:00+00:00,0.7927510142326355,0.8919020295143127,0.7046869993209839,0.7468850016593933,85195,0.0,0.0
2017-11-30 00:00:00+00:00,0.7583569884300232,0.8273959755897522,0.6838809847831726,0.7685390114784241,46514,0.0,0.0
2017-12-01 00:00:00+00:00,0.7805609703063965,0.864022970199585,0.7477009892463684,0.8473569750785828,99840,0.0,0.0
2017-12-02 00:00:00+00:00,0.8466370105743408,0.8653380274772644,0.8279939889907837,0.8506399989128113,43050,0.0,0.0
2017-12-03 00:00:00+00:00,0.8514580130577087,0.915008008480072,0.8272250294685364,0.8690099716186523,163211,0.0,0.0
2017-12-04 00:00:00+00:00,0.8718900084495544,0.9454339742660522,0.8541439771652222,0.9454339742660522,110730,0.0,0.0
2017-12-05 00:00:00+00:00,0.9453970193862915,1.081030011177063,0.912276029586792,0.9434990286827087,2272090,0.0,0.0
