TIMESTAMP,ELONDOGE_OPEN_PRICE_USD,ELONDOGE_HIGH_PRICE_USD,ELONDOGE_LOW_PRICE_USD,ELONDOGE_CLOSE_PRICE_USD,ELONDOGE_VOLUME_USD,ELONDOGE_DIVIDENDS_USD,ELONDOGE_STOCK_SPLITS_USD
2023-11-29 00:00:00+00:00,,,,0.0,99196,0.0,0.0
2023-11-30 00:00:00+00:00,,,,0.0,144447,0.0,0.0
2023-12-01 00:00:00+00:00,,,,0.0,46869,0.0,0.0
2023-12-02 00:00:00+00:00,,,,0.0,18465,0.0,0.0
2023-12-03 00:00:00+00:00,,,,0.0,9721,0.0,0.0
2023-12-04 00:00:00+00:00,,,,0.0,29209,0.0,0.0
2023-12-05 00:00:00+00:00,,,,0.0,27145,0.0,0.0
2023-12-06 00:00:00+00:00,,,,0.0,22219,0.0,0.0
2023-12-07 00:00:00+00:00,,,,0.0,25099,0.0,0.0
2023-12-08 00:00:00+00:00,,,,0.0,173132,0.0,0.0
2023-12-09 00:00:00+00:00,,,,0.0,873832,0.0,0.0
2023-12-10 00:00:00+00:00,,,,0.0,489759,0.0,0.0
2023-12-11 00:00:00+00:00,,,,0.0,132120,0.0,0.0
2023-12-12 00:00:00+00:00,,,,0.0,168993,0.0,0.0
2023-12-13 00:00:00+00:00,,,,0.0,54210,0.0,0.0
2023-12-14 00:00:00+00:00,,,,0.0,39545,0.0,0.0
2023-12-15 00:00:00+00:00,,,,0.0,45368,0.0,0.0
2023-12-16 00:00:00+00:00,,,,0.0,44523,0.0,0.0
2023-12-17 00:00:00+00:00,,,,0.0,24968,0.0,0.0
2023-12-18 00:00:00+00:00,,,,0.0,27175,0.0,0.0
2023-12-19 00:00:00+00:00,,,,0.0,20569,0.0,0.0
2023-12-20 00:00:00+00:00,,,,0.0,12583,0.0,0.0
2023-12-21 00:00:00+00:00,,,,0.0,6986,0.0,0.0
2023-12-22 00:00:00+00:00,,,,0.0,19878,0.0,0.0
2023-12-23 00:00:00+00:00,,,,0.0,17179,0.0,0.0
2023-12-24 00:00:00+00:00,,,,0.0,7794,0.0,0.0
2023-12-25 00:00:00+00:00,,,,0.0,7109,0.0,0.0
2023-12-26 00:00:00+00:00,,,,0.0,7648,0.0,0.0
2023-12-27 00:00:00+00:00,,,,0.0,8099,0.0,0.0
2023-12-28 00:00:00+00:00,,,,0.0,6795,0.0,0.0
2023-12-29 00:00:00+00:00,,,,0.0,2955,0.0,0.0
2023-12-30 00:00:00+00:00,,,,0.0,18528,0.0,0.0
2023-12-31 00:00:00+00:00,,,,0.0,9522,0.0,0.0
2024-01-01 00:00:00+00:00,,,,0.0,4131,0.0,0.0
2024-01-02 00:00:00+00:00,,,,0.0,6406,0.0,0.0
2024-01-03 00:00:00+00:00,,,,0.0,7988,0.0,0.0
2024-01-04 00:00:00+00:00,,,,0.0,1842,0.0,0.0
2024-01-05 00:00:00+00:00,,,,0.0,3122,0.0,0.0
2024-01-06 00:00:00+00:00,,,,0.0,1391,0.0,0.0
2024-01-07 00:00:00+00:00,,,,0.0,901,0.0,0.0
2024-01-08 00:00:00+00:00,,,,0.0,4530,0.0,0.0
2024-01-09 00:00:00+00:00,,,,0.0,5197,0.0,0.0
2024-01-10 00:00:00+00:00,,,,0.0,4432,0.0,0.0
2024-01-11 00:00:00+00:00,,,,0.0,4693,0.0,0.0
2024-01-12 00:00:00+00:00,,,,0.0,1084,0.0,0.0
2024-01-13 00:00:00+00:00,,,,0.0,3244,0.0,0.0
2024-01-14 00:00:00+00:00,,,,0.0,1872,0.0,0.0
2024-01-15 00:00:00+00:00,,,,0.0,1975,0.0,0.0
